coef,rank
-0.0149,5412
-0.149,8681
-0.0402,6870
0.144,3067
-0.554,7820
-0.145,5873
-0.173,6909
0.173,1693
0.195,588
-0.157,8591
-0.0162,5563
-0.13,7656
-0.076,7420
-0.0828,8514
0.173,1346
0.112,3124
-0.198,7285
-0.108,5915
-0.042,7345
0.159,253
-0.188,9899
0.0897,2584
0.421,988
-0.191,7967
-0.0819,7658
-0.15,8399
0.00125,5056
0.398,359
-0.0633,8011
0.366,2396
-0.229,9770
-0.105,8545
0.124,2995
0.0413,4475
0.015,4830
0.127,3183
0.127,2286
-0.0402,7046
-0.203,9970
-0.228,8682
0.169,2162
-0.0811,6956
0.0182,4717
-0.0494,8165
-0.31,10564
0.163,1542
-0.00665,5512
0.0661,3838
-0.097,9552
0.0153,4557
0.00675,5141
0.0874,3290
-0.193,8826
-0.157,8383
-0.176,8672
0.106,1612
-0.0447,6442
-0.252,8950
0.0282,4774
0.0919,3551
-0.087,8991
0.147,1463
0.25,1597
-0.181,8753
0.0206,4624
0.116,1073
-0.0779,7374
0.118,1632
0.0742,3424
-0.127,9310
0.108,2785
0.297,2470
-0.0581,7016
-0.121,8753
0.183,1696
0.396,596
-0.363,9560
0.0898,2701
-0.0752,7535
-0.0921,8388
-0.296,10892
-0.122,8443
-0.185,7549
-0.126,7037
-0.0783,8430
0.0814,2780
0.18,1619
0.481,444
-0.235,9880
0.0407,4379
-0.142,10097
-0.0749,8842
-0.241,9840
0.231,1331
-0.0594,6078
-0.0973,6983
-0.0888,6988
-0.15,9842
-0.477,10690
0.219,279
-0.0194,5731
0.286,841
-0.107,8822
0.123,1892
-0.099,8112
0.186,1901
-0.123,6932
-0.407,10645
-0.154,8381
0.263,876
0.145,2415
-0.0605,6822
-1.03,11001
-0.196,8669
-0.0319,6744
-0.0955,9341
0.224,1923
-0.16,9548
-0.133,9854
-0.306,10400
0.000152,5374
0.201,349
0.0122,4936
0.0835,2548
-0.219,8738
-0.179,7112
0.0799,2538
0.257,1036
0.0643,4222
-0.096,7440
0.546,184
0.102,3323
-0.00394,5554
0.263,486
