coef,rank
-0.153,7560
-0.194,9449
-0.0512,7248
-0.185,7932
-0.537,7696
-0.224,6644
-0.37,8997
-0.129,8637
-0.197,10488
0.0333,4268
-0.12,7780
-0.115,7382
0.314,296
0.0383,3770
-0.147,9412
-0.1,7652
-0.245,7878
-0.418,9450
-0.0542,7856
-0.0408,7873
0.312,289
-0.0477,6877
0.128,3342
-0.413,10239
-0.0532,6887
0.223,1309
-0.281,9503
0.103,3080
0.127,1548
-0.578,9645
0.0069,5164
-0.148,9506
-0.12,7894
0.438,1135
0.457,168
0.305,1290
0.0627,3732
0.111,1456
0.26,645
0.0913,3708
-0.0218,5820
0.022,4685
0.0438,3862
0.0953,1141
0.203,1631
-0.0291,5985
0.425,366
-0.36,10113
0.052,2773
0.0135,4662
-0.101,7254
0.0843,3359
0.0759,3768
0.0832,3632
0.141,2376
-0.122,9651
-0.142,8951
-0.126,7044
-0.105,6475
-0.211,8746
0.0424,3440
-0.146,9880
-0.126,7645
-0.126,7761
-0.0328,6672
0.112,1166
-0.0883,7656
-0.0591,7758
-0.0765,7771
0.00979,4990
-0.0588,6721
-0.336,8506
0.209,718
-0.0982,8156
-0.0422,6535
0.128,3005
0.497,889
-0.0554,7375
-0.0356,6366
0.13,1779
0.172,1505
-0.139,8788
-0.201,7762
0.203,2519
-0.137,9986
-0.161,9947
-0.216,10196
0.207,2292
-0.013,5364
-0.0939,6612
0.174,711
0.0587,2714
0.371,442
-0.385,10827
-0.008,5203
-0.108,7168
0.0458,4316
-0.0609,7491
0.0275,4640
-0.122,9923
-0.213,9865
0.0731,3716
0.225,581
0.154,1344
-0.228,10431
-0.472,11004
0.631,327
-0.133,7704
-0.142,8161
-0.107,7749
-0.19,9003
0.233,895
0.413,2055
-0.16,8059
-0.121,9431
0.0467,3469
-0.388,10614
0.0648,3732
-0.0318,6630
0.133,2802
-0.154,9036
0.111,1566
-0.155,10100
-0.0785,8296
0.545,311
-0.194,7269
-0.104,9026
-0.144,8450
-0.0101,5670
-0.0872,7223
-0.217,9393
-0.0502,6309
-0.106,8901
0.00488,5372
0.4,717
-0.0434,6850
-0.42,7007
0.266,2411
-0.165,10139
-0.21,10395
0.227,2238
0.0344,4210
0.263,1589
0.57,44
0.321,382
-0.0939,8246
-0.149,7688
-0.0793,7202
-0.0487,7324
-0.114,7206
0.174,1135
-0.0689,8013
-0.491,7017
-0.0451,6096
-0.61,10769
0.16,2069
-0.0459,6958
-0.0575,6975
0.14,3146
-0.0729,7203
0.261,703
0.174,1287
0.0929,3359
0.0277,3934
0.181,1516
0.167,2061
0.0129,4945
-0.206,10779
0.0125,5248
-0.0727,7971
-0.0684,6991
0.309,1656
-0.102,8668
-0.0612,7465
0.0281,3690
-0.00646,5281
-0.0875,8261
-0.274,10161
-0.103,6333
-0.0343,6902
0.107,2523
0.193,1774
-0.044,6486
-0.121,8536
0.0794,2296
0.016,4157
-0.0289,6294
0.018,4872
0.2,1957
-0.125,9068
0.191,3183
0.12,2025
-0.204,10462
0.0722,2033
0.084,2757
-0.119,7857
-0.413,10320
0.237,525
-0.156,8418
-0.426,10948
-0.0206,6214
-0.326,10352
0.25,532
-0.216,8410
0.0686,2607
0.0651,3644
-0.0229,5898
-0.235,7945
-0.267,10488
0.0944,3465
-0.151,9639
-0.0698,8204
-0.204,10130
-0.0818,6900
-0.0503,6212
0.215,1485
-0.164,10918
-0.18,10263
-0.0526,6653
-0.235,9942
-0.241,8987
-0.0518,5918
-0.225,9842
-0.176,10474
-0.0239,6439
0.068,3962
0.268,1756
-0.0317,6375
0.259,233
-0.0223,6418
-0.109,9498
