coef,rank
0.0845,3930
-0.22,9773
-0.134,9598
0.143,3075
-0.43,6966
0.0917,4108
0.0618,4337
-0.141,8913
0.000231,5143
0.139,2300
0.133,2582
-0.048,6113
0.296,362
0.0938,2063
-0.155,9545
-0.0391,6360
0.237,2681
-0.41,9381
-0.0762,8732
0.0462,3172
0.283,407
-0.154,9816
-0.054,5784
0.379,1240
-0.00318,5463
-0.0631,6529
0.584,211
0.111,2971
-0.0648,8063
-0.00605,4607
0.156,2265
-0.0871,8034
-0.112,7734
-0.0802,6020
-0.234,9742
-0.122,7457
-0.1,8334
0.284,39
-0.0152,5707
-0.395,10431
-0.04,6197
-0.218,9392
-0.167,10060
0.0938,1175
-0.15,8527
-0.197,9884
0.186,2155
-0.0438,5588
0.126,780
0.0385,3411
-0.127,7742
-0.165,9688
0.266,1271
-0.134,7975
-0.00185,5031
0.0552,3117
0.0617,3378
0.254,1803
-0.132,6848
-0.0075,5206
-0.143,10325
-0.0217,6385
-0.198,8822
-0.0524,6256
0.00585,5182
0.0183,4408
-0.134,8715
0.103,2017
-0.144,9313
-0.0888,8353
-0.23,10086
-0.382,8914
-0.139,9203
-0.11,8441
-0.296,10694
0.0562,4157
-0.367,9603
0.0752,3082
0.109,2411
-0.105,8730
0.0598,3949
0.323,383
-0.426,9920
0.438,786
0.0482,3684
-0.253,10844
-0.0367,6474
0.0944,3818
-0.185,9186
0.284,1557
-0.00685,5749
-0.00714,5786
0.0876,3436
0.133,2615
0.203,2242
0.0843,3708
-0.0853,6921
-0.178,10256
-0.19,7928
-0.00231,5730
-0.00868,5466
0.256,1083
-0.145,9655
0.0765,2984
-0.268,10717
-0.193,9341
0.114,3516
-0.231,9165
-0.112,7630
0.0938,3191
0.438,233
0.0332,4373
-0.624,10276
0.188,2435
-0.00016,5559
-0.211,10919
0.386,653
0.208,1093
0.0979,2001
0.0393,4483
-0.092,7642
-0.0654,7946
-0.142,9871
0.187,586
-0.179,8156
-0.24,7830
0.0569,3271
-0.0393,6181
-0.44,10902
-0.0017,5133
-0.35,10649
-0.0245,5745
-0.0179,6038
0.0824,3139
-0.206,8603
-0.093,8477
-0.928,9900
0.368,1708
0.169,812
0.0847,2851
0.0757,4295
-0.0544,7688
0.146,2915
0.0193,5010
-0.069,7073
0.0432,4351
-0.0142,5262
-0.0933,7525
-0.0635,7818
-0.0913,6792
0.155,1380
0.0557,3423
0.134,3839
0.0407,4198
0.0618,4368
0.0507,4108
-0.216,10623
0.433,110
0.59,253
-0.0477,6580
-0.146,9074
0.407,48
-0.28,10487
-0.0107,5907
-0.0544,6594
-0.0808,7584
0.0141,4885
0.0647,2991
0.207,1726
-0.0797,8171
-0.068,6985
0.305,1689
-0.089,8286
-0.0633,7543
0.0669,1846
0.331,139
0.0691,3038
-0.415,10904
-0.381,9283
0.0462,3183
-0.17,9931
-0.211,9782
0.179,1616
0.308,448
0.0809,2243
-0.0453,7915
-0.0176,5921
-0.0591,7161
-0.125,7622
0.176,1111
0.295,2477
-0.0665,7564
-0.0219,6176
0.035,3683
-0.121,8970
0.0632,3844
0.0469,4181
0.0758,3148
0.279,1175
0.122,2848
-0.175,10461
0.166,2332
0.401,72
0.322,1638
0.0318,3924
0.0971,2870
0.102,3205
-0.223,7788
0.375,223
-0.285,10356
-0.141,9463
-0.116,9615
-0.0989,8106
0.107,3301
0.0949,3595
0.337,590
-0.161,10902
-0.0377,6788
-0.114,8112
0.115,3008
-0.0912,6573
-0.0286,5519
-0.0439,6399
-0.0962,8892
0.0947,1587
-0.0655,6513
-0.0611,6093
0.0468,4390
0.0247,4552
-0.0427,7278
-0.0899,8967
0.0785,3630
0.186,1850
-0.111,7834
-0.369,10455
0.0581,2507
0.107,2784
0.0248,4738
0.62,343
0.123,2504
0.187,2080
-0.399,6956
-0.0678,6055
0.18,1326
0.0844,3127
0.128,2865
0.0968,2240
0.047,4315
0.0733,3836
0.131,2220
0.489,2868
