coef,rank
0.041,4523
0.265,930
-0.0106,5836
0.647,224
0.423,2395
-0.379,8349
0.0868,4099
-0.209,10020
-0.0959,8408
0.143,2218
0.0575,3922
-0.245,9473
-0.15,9262
0.0131,4807
0.0232,4804
-0.0256,6026
-0.33,8800
-0.0302,5075
-0.00069,5538
0.075,1910
-0.116,8490
0.00688,5057
-0.326,9330
-0.275,9028
0.208,1106
0.0427,4196
-0.407,10539
-0.0656,6406
0.0284,4515
-0.116,5545
-0.351,10752
0.19,904
0.133,2837
-0.141,6803
0.148,2329
-0.0261,5783
-0.039,6652
-0.0641,8007
0.072,3396
-0.314,9768
-0.146,8400
0.0119,4898
0.272,256
-0.0317,7285
-0.0342,6060
0.0656,3434
-0.0773,6957
0.075,3720
0.0249,3951
0.00174,5281
0.361,761
-0.262,10701
-0.133,7829
-0.0191,5641
-0.105,7266
0.0217,4325
0.294,331
0.205,2235
0.397,1419
-0.386,10567
-0.0661,8255
0.266,254
0.837,12
0.0901,3439
-0.167,10405
-0.049,7572
-0.055,6754
0.151,1031
0.216,889
0.0937,2391
0.139,2208
-0.167,6695
0.118,2010
0.191,1028
-0.0579,6927
0.113,3229
-0.0191,5395
-0.111,8945
-0.0519,6831
0.0801,2952
-0.0157,6148
0.257,787
-0.157,7198
-0.379,10119
0.104,1990
-0.118,9039
0.247,857
0.119,3452
0.0755,3378
0.449,615
0.0848,2441
-0.0773,8941
-0.222,9601
0.215,1503
-0.179,8072
-0.264,9541
-0.111,7422
-0.061,7497
-0.217,8293
0.00498,5401
-0.137,8566
-0.124,8056
0.188,930
0.0862,2721
0.217,754
0.0141,4981
0.289,1774
-0.212,8917
-0.0669,6697
-0.0241,5823
0.114,2905
0.22,1014
-0.214,6776
-0.0556,6270
-0.0508,7390
-0.0307,6972
0.0178,5026
-0.147,9272
0.114,1609
0.279,1077
-0.00235,5428
0.216,263
-0.098,8874
-0.0311,6650
-0.127,7339
-0.241,7833
0.00987,4963
-0.212,9525
-0.114,7663
-0.0404,6089
-0.112,7576
-0.0562,6446
0.0131,4915
0.0358,4412
-0.199,8479
-0.0326,6474
-0.864,9652
-0.528,10530
-0.00802,5480
-0.0949,8288
0.0394,4855
0.0436,3865
-0.0128,5461
0.00975,5252
-0.18,9489
0.255,586
-0.0982,6811
-0.36,10881
-0.128,9535
-0.318,10032
-0.0981,8341
0.0143,4892
0.602,2379
0.00522,4920
0.164,3323
0.0862,3377
-0.0657,7640
0.0235,4838
-0.352,10217
-0.0251,5991
-0.0334,6354
-0.0802,7835
-0.013,5706
-0.0354,7234
-0.0327,6022
0.0559,4279
0.0657,3162
0.135,1270
-0.00115,5532
0.0139,4902
-0.148,8691
-0.14,7074
0.24,311
-0.257,10936
-0.0983,10094
0.033,4085
-0.0397,6694
-0.132,8058
-0.119,6519
0.0162,4507
-0.0187,6146
-0.2,9618
0.338,343
-0.164,9405
-0.0623,7566
0.0869,1070
0.218,554
-0.0101,5700
-0.137,7837
-0.188,10189
-0.0936,5751
0.127,1876
0.0778,2967
0.0146,4791
0.166,1111
-0.156,8576
0.198,2415
-0.21,10377
0.048,4348
-0.0235,5768
0.134,1295
-0.129,7655
-0.172,9522
-0.0253,5692
0.0959,1836
-0.057,7083
-0.102,7687
-0.0703,5822
0.0211,4877
0.202,1806
0.0472,3752
-0.0872,8779
-0.106,8301
0.0821,3731
0.257,1527
-0.122,7640
0.0248,4169
0.0697,3271
-0.0451,6470
0.0424,4457
0.0313,4484
0.0686,4032
0.308,730
-0.162,10276
-0.102,9466
0.612,97
-0.115,7005
-0.00933,5782
-0.183,10409
-0.0395,7149
0.156,847
-0.243,10103
-0.0628,7128
0.0533,4248
0.0442,4470
-0.00362,5655
0.497,58
0.109,3047
0.0314,4775
0.152,2085
0.04,4361
-0.339,6382
-0.0338,5618
-0.0749,7616
-0.0573,6596
-0.345,10742
0.0394,3880
-0.00645,5656
-0.237,9890
0.331,269
1.8,274
-0.085,6629
0.0992,1940
0.0505,3307
-0.00469,5248
0.102,3892
-0.495,10534
-0.119,5847
0.0438,4166
0.207,777
0.0845,3029
-0.116,8639
0.027,4962
-0.145,8701
-0.00122,5441
-0.106,7791
0.151,2891
-0.235,10441
-0.128,8709
0.154,2682
-0.162,9329
-0.0197,6422
-0.0613,6881
-0.117,7957
0.101,3530
0.12,2366
0.0327,4268
0.0812,3581
0.154,2288
-0.219,9703
-0.0532,6498
-0.132,8987
0.0184,4738
0.0561,4471
0.128,2620
0.631,96
-0.206,8964
0.13,2467
0.104,1711
-0.00869,5642
-0.164,8539
0.81,30
-0.0179,5661
-0.237,9583
0.118,1525
0.322,70
-0.21,8247
-0.201,9860
0.279,1610
-0.0863,6306
-0.102,8027
-0.144,9433
0.103,2646
-0.0292,5721
-0.295,10609
0.0801,3800
-0.0446,7250
-0.0527,6214
0.233,686
-0.306,9418
-0.203,8299
0.128,1609
0.0596,2980
-0.0435,6658
0.108,2757
-0.381,9714
-0.302,9894
0.00909,5249
-0.0927,6773
0.157,2905
0.162,2873
-0.2,9860
-0.239,9131
1.1,167
0.00644,5057
0.0681,3591
0.258,385
-0.15,8813
0.023,4224
-0.28,9032
0.163,658
0.007,5165
-0.209,8856
