coef,rank
-0.166,7738
-0.0236,5913
0.125,1752
0.34,1317
-0.649,8376
0.281,3025
-0.566,10350
-0.0278,6185
-0.107,8738
-0.053,6248
-0.266,10135
-0.264,9725
0.425,67
0.086,2268
0.0271,4698
0.00876,5245
0.0211,4763
0.884,313
-0.0855,9061
-0.0638,8914
0.0843,3046
0.296,189
0.108,3584
0.0398,4723
0.0603,3759
0.215,1385
0.232,1916
0.0155,4750
-0.0921,8860
0.111,3774
0.228,1328
0.223,600
-0.166,8785
-0.0228,5279
-0.0147,5422
-0.16,8071
0.262,545
-0.054,7633
0.314,354
0.0585,4133
-0.0438,6270
-0.288,10223
-0.0441,6877
-0.0288,7123
0.0341,4507
-0.0434,6394
0.107,3348
0.257,1678
-0.138,10477
0.0251,4027
0.221,1858
0.103,2927
-0.407,10769
-0.225,9376
-0.0753,6651
0.0747,2494
-0.146,9039
0.319,1285
0.402,1396
-0.00667,5191
-0.197,10908
-0.246,10881
-0.488,10941
0.0207,4702
-0.144,10035
-0.00958,5710
-0.0761,7329
0.0723,2872
-0.183,10022
-0.0513,7125
0.0148,4837
-0.572,10234
0.00612,4921
-0.0929,8020
0.0376,4510
0.185,2270
0.424,1208
-0.167,10051
0.189,1087
-0.009,5740
0.00871,5399
0.178,1622
-0.328,9133
0.105,3661
-0.00413,5704
-0.021,6009
-0.0196,6022
-0.291,9773
0.0373,4206
0.0824,3769
0.178,653
0.168,374
0.119,2883
0.231,1324
-0.297,9619
-0.121,7380
-0.0665,6549
0.0453,3703
0.337,1402
0.0222,4677
-0.111,7986
0.0175,4869
-0.0496,7099
0.128,1771
0.0528,3690
-0.00327,5379
0.117,3480
-0.185,8509
0.0118,4995
-0.462,11012
0.134,2571
0.0319,4403
-0.28,7481
-0.189,8569
0.193,650
-0.11,9721
-0.181,8618
-0.0246,6231
-0.0377,6875
-0.0102,5579
-0.0252,5978
0.0235,4311
0.00487,5202
0.0264,4493
-0.25,9129
0.132,3573
-0.0447,7015
