coef,rank
0.62,237
0.0703,3761
-0.172,10235
0.454,707
-0.257,5819
2.07,47
0.0942,4017
-0.074,7416
0.0627,3017
-0.0442,5998
0.0907,3256
-0.0961,7016
0.0235,4520
0.0418,3653
-0.0812,7886
-0.0112,5669
-0.49,10172
0.264,2541
0.0485,3369
0.0046,5371
-0.111,8383
0.0145,4786
-0.279,8793
-0.171,7685
-0.0843,7724
-0.0653,6585
0.00836,4929
0.156,2299
0.0413,4023
0.747,1069
-0.0475,6402
-0.0218,6047
-0.125,7988
-0.0763,5952
-0.147,8281
-0.0247,5752
-0.0569,7161
-0.0162,6011
-0.132,8718
0.125,3254
-0.142,8311
0.209,1651
-0.213,10624
-0.0606,8691
0.268,1021
-0.038,6240
-0.0923,7273
-0.21,8275
0.0518,2780
0.112,879
0.28,1287
0.016,5156
0.131,2880
0.334,773
-0.276,10088
-0.0761,8304
-0.0375,6226
0.0201,4652
-0.342,9455
-0.238,9153
-0.0887,9043
0.116,2068
-0.172,8462
0.0565,4010
-0.136,9884
-0.0568,7941
-0.238,10326
-0.0216,6354
-0.245,10675
0.363,44
-0.202,9729
-0.138,6380
0.0884,2647
0.292,262
0.0398,4473
-0.142,7853
-0.321,9158
0.241,442
-0.0503,6789
-0.0534,7207
0.0043,5540
0.0714,3468
0.592,671
3.83e-05,5108
-0.0611,7837
-0.132,9362
0.0134,5137
0.0347,4748
-0.154,8595
0.542,342
0.0922,2238
-0.0914,9417
0.114,2978
-0.137,8205
0.254,1761
0.429,536
0.0569,4129
0.0579,3358
0.0496,4344
0.131,1206
-0.0651,6862
0.259,1053
-0.12,9085
-0.128,9145
-0.0466,6611
-0.0647,6740
0.0193,4768
0.321,1114
-0.186,8942
0.0478,4167
0.0769,3543
0.0392,4233
-0.254,7194
0.0691,4042
-0.0271,6580
0.155,680
0.116,3358
0.156,1794
-0.0547,7522
-0.222,9553
-0.317,10789
0.0706,2659
-0.0898,8643
0.185,614
-0.0637,6292
-0.43,9740
-0.0467,7099
-0.0624,6695
0.149,2799
0.17,1701
0.0804,3826
-0.0296,5850
0.0696,3077
-0.0599,7316
0.448,519
0.053,3496
4.57,14
0.0845,4184
-0.0968,8606
-0.082,7928
-0.243,9178
0.0797,2627
-0.126,7523
0.0133,5164
0.0679,3612
0.0907,3043
-0.263,9388
-0.0973,7615
0.00941,5263
-0.0148,5453
-0.219,10459
0.0203,4669
-0.037,4615
-0.245,9956
-0.389,9603
0.283,817
-0.0431,6861
-0.0375,6462
-0.0708,6489
-0.116,8187
0.104,2903
-0.147,9454
-0.172,9188
0.0593,2545
0.211,1147
-0.0944,7904
0.0665,3132
-0.0493,7280
0.0408,4601
-0.0266,6401
-0.0367,6245
0.0826,3901
-0.00532,5388
0.0252,4187
-0.0203,6575
-0.0922,7941
0.0697,3018
0.669,41
1.73,14
0.013,4650
-0.0959,8401
0.155,2321
-0.0712,7174
0.0138,4985
0.0452,3394
0.0767,1385
0.156,1231
0.062,3603
-0.12,7534
0.175,1131
0.273,2618
0.202,735
-0.0723,7820
-0.0361,7621
0.0952,2488
0.00796,4998
0.303,1513
-0.0887,8105
-0.0271,5866
0.0622,3922
0.00752,5053
-0.00577,5260
-0.0768,7210
-0.172,7826
0.252,116
0.125,2263
0.14,2480
-0.296,8669
-0.01,5598
-0.186,9195
-0.0451,6768
0.0868,2144
0.0311,4421
0.445,338
0.0144,4969
0.00726,4863
0.0542,2706
0.0948,2618
0.0398,4286
0.101,3276
-0.258,9232
-0.306,9635
0.328,621
0.00446,5141
0.0523,2988
-0.324,10262
0.675,157
0.109,2930
-0.143,9782
-0.0974,9169
-0.0227,6451
-0.00966,5507
-0.161,9150
-0.176,9120
-0.363,10414
0.0375,3440
-0.0185,5489
0.108,3067
-0.267,9024
-0.164,8623
-0.163,8225
-0.392,6897
0.354,1761
-0.14,9224
0.458,57
0.0705,3949
0.00635,5031
-0.0919,7788
0.153,2484
0.193,1258
0.666,2228
-0.246,9061
-0.265,10976
0.168,552
-0.08,6423
-0.466,10518
-0.199,7864
-0.44,9351
-0.0293,6218
-0.00262,5305
-0.175,9839
0.159,1685
-0.0787,7392
-0.0175,5785
0.121,2274
0.058,3854
0.0227,4631
0.195,1344
-0.102,8161
-0.147,7680
0.0136,5250
0.0294,4033
-0.0105,5394
-0.27,10339
-0.0192,5797
0.0491,3940
0.132,2214
-0.0224,5521
-0.306,10617
-0.0424,6227
-0.279,10053
-0.132,9007
-0.00866,5522
0.193,2206
-0.101,7608
0.274,1388
0.282,1119
0.262,799
0.0535,3324
-0.0636,7053
0.384,374
-0.235,9204
-0.211,9157
-0.158,8352
0.00348,5427
