coef,rank
0.409,870
0.266,926
-0.144,9792
0.113,3465
-0.105,4808
0.161,3707
-0.361,8901
0.175,1663
-0.0755,7808
-0.0676,6654
0.0117,4893
-0.16,8166
0.0518,3734
-0.0395,6921
0.0309,4579
0.02,4975
0.234,2719
0.446,1504
0.136,945
-0.0136,6379
-0.133,8870
0.236,468
-0.113,6641
0.395,1152
0.058,3815
0.445,198
-0.27,9384
0.203,1671
-0.073,8314
-0.705,10303
0.0276,4710
-0.0206,6005
0.113,3176
0.0798,4024
0.00596,5007
-0.213,8849
-0.0967,8252
-0.0321,6705
0.113,2529
-0.229,8695
0.102,3238
0.672,28
-0.0499,7072
-0.0147,6308
0.185,1854
0.192,1147
-0.0765,6940
0.0361,4291
0.0728,2031
0.0877,1510
0.0323,4662
0.0855,3324
0.258,1329
-0.206,9111
-0.155,8263
0.00619,4953
-0.127,8645
-0.0318,5526
-0.371,9717
-0.351,10331
-0.092,9151
-0.101,8893
-0.116,7450
0.334,692
0.066,3009
0.00739,4896
-0.0306,6151
0.154,968
-0.00057,5492
0.106,2105
0.131,2348
-0.318,8356
-0.236,10610
0.175,1234
-0.144,8886
-0.119,7463
-0.283,8697
-0.0667,7735
0.116,2281
0.134,1709
-0.115,8884
0.032,4425
-0.298,8842
-0.222,8445
-0.0432,7204
0.0229,4579
-0.15,9181
0.306,1345
0.0463,3993
-0.162,7734
0.111,1771
0.0483,3138
0.0293,4643
0.0429,4275
0.355,1012
0.147,2845
-0.106,7322
0.0538,3471
-0.0981,6552
-0.19,10777
0.0653,3632
-0.0857,7233
-0.246,10811
0.0949,2506
-0.0523,6767
0.158,2287
0.577,449
0.157,2690
-0.254,9899
-0.218,9794
-0.125,7802
-0.0668,6984
0.505,1581
-0.238,9248
-0.175,10398
-0.0631,8279
0.223,1937
0.107,2765
-0.179,10540
-0.0861,7177
0.273,749
0.178,527
-0.0798,8324
-0.0211,6277
0.138,3184
0.0377,4540
0.0342,4055
-0.0235,5839
0.1,3589
-0.00579,5232
-0.0667,6661
0.0247,4739
0.246,319
-0.0617,7363
0.0288,4653
0.0644,3138
-0.202,5496
-0.128,6739
-0.123,9322
0.144,1610
-0.389,10410
-0.0694,8233
-0.155,7980
-0.0187,5934
0.114,2637
0.207,992
0.386,654
-0.0625,6799
0.0794,2962
0.171,2579
-0.181,10012
0.0625,3219
-0.000771,4467
-0.231,9783
-0.25,8159
-0.0207,5721
-0.332,11008
-0.0152,5841
-0.193,8372
-0.0242,5970
0.106,2857
-0.147,9449
-0.389,10925
-0.109,9996
-0.0891,7470
-0.0966,7967
-0.0468,7056
0.000991,5295
0.274,1030
-0.0229,6266
0.0158,4979
-0.326,9533
0.00619,4980
-0.0656,7633
-0.0223,6730
0.0221,4427
-0.174,10204
-0.202,9274
0.52,1362
0.0328,3796
-0.0374,6729
0.117,3024
0.19,1442
-0.151,9178
-0.0121,5601
-0.0361,7401
-0.122,9190
-0.00331,5492
0.343,794
0.369,79
-0.509,9962
-0.161,9853
0.132,1704
0.122,727
0.0178,4664
-0.284,10320
-0.219,8143
-0.249,10738
0.143,2725
-0.282,10343
-0.0671,7991
0.0821,3593
-0.143,8911
0.0415,4685
-0.124,9766
0.178,1409
0.0263,4790
-0.366,9410
0.102,3037
-0.175,8995
0.00863,4953
-0.0419,7099
0.0723,3405
0.028,4719
-0.208,9067
-0.233,9578
-0.0882,9822
0.116,2097
-0.181,9399
-0.0897,7498
0.638,130
-0.041,5713
-0.157,8817
0.0896,2287
-0.098,9360
0.178,2336
-0.21,8601
-0.208,9998
0.127,1637
-0.0969,9152
-0.00543,5707
0.0512,4146
0.13,2795
-0.364,10833
-0.331,10183
0.000444,5424
-0.00128,5075
0.343,524
-0.0277,5661
0.0388,4060
-0.238,9457
0.00836,3675
0.232,2639
0.114,2380
-0.0783,7119
0.05,4397
-0.0929,8527
-0.044,6593
0.0982,3388
-0.0303,6124
1.43,638
-0.0146,5487
0.0122,4799
-0.0861,8945
0.0989,3819
-0.173,7515
-0.306,9133
-0.281,7725
0.195,1162
-0.207,10264
0.0928,2840
0.0035,5319
-0.23,9983
0.0981,3265
0.102,2674
0.0322,4461
-0.229,8419
-0.216,10243
0.111,2832
-0.334,10215
-0.149,9100
-0.0281,6848
0.25,599
0.16,2007
0.0523,4399
0.0936,2906
-0.195,9635
-0.331,10349
-0.229,9971
0.185,1739
-0.0344,6125
0.0254,4681
0.00724,5059
-0.0217,6004
0.0695,3752
-0.205,8976
-0.124,7510
-0.233,10211
0.0104,5031
0.0233,4798
0.129,2610
-0.102,7021
0.423,406
0.112,3166
0.0439,3773
0.0112,5001
