coef,rank
0.142,3178
-0.158,8832
-0.0541,7345
0.0626,4169
-0.712,8725
-0.669,10502
0.166,3434
0.043,4247
0.0642,2987
-0.197,9247
-0.13,7989
0.0856,3648
-0.158,9372
-0.126,9698
-0.041,6741
0.188,1945
0.0834,4087
-0.384,9130
0.0787,2320
0.119,758
-0.199,10073
0.0278,4355
0.0618,4118
-0.0459,5967
-0.171,9552
-0.35,10762
0.184,2361
-0.114,7430
-0.108,9281
-0.0663,5080
0.108,3040
0.123,1968
-0.0543,6562
-0.156,6997
-0.1,7316
-0.0663,6513
-0.0146,5923
-0.0449,7252
-0.0979,7912
0.524,447
0.0769,3712
0.501,160
-0.127,9292
-0.0463,8024
0.158,2208
-0.295,10794
0.336,742
0.152,2710
0.109,1095
0.0548,2669
-0.183,8701
0.0464,4322
-0.02,5622
0.121,3003
-0.0605,6328
-0.037,6787
-0.0389,6273
-0.234,8704
-0.28,8776
0.313,1062
0.0246,4195
-0.0474,7288
0.366,743
-0.43,10898
-0.0857,8597
0.101,1406
0.0509,4012
-0.07,8129
-0.23,10558
-0.0842,8195
-0.115,8104
-0.367,8782
-0.0607,7105
-0.0349,6362
0.141,2338
0.446,422
0.862,142
-0.157,9926
-0.0575,6985
0.0361,4256
-0.056,7334
-0.3,10758
0.121,3837
0.531,458
0.0137,4991
-0.0406,6686
-0.376,10975
0.314,1293
0.167,1856
0.183,2522
-0.221,10881
-0.0459,7666
0.219,1506
0.0595,3933
0.161,2764
-0.399,10669
0.0759,3798
-0.189,10402
0.287,1782
-0.223,10927
0.0359,4318
-0.15,8561
-0.0475,7024
-0.194,10358
0.249,532
-0.0897,7302
0.0485,4377
-0.137,7780
-0.174,8764
-0.0715,6944
-0.11,7512
0.0779,3339
0.548,1422
0.218,2064
-0.126,9564
0.0683,2697
0.133,3093
0.0149,5120
0.317,27
0.0727,3854
0.0169,4975
-0.0161,5946
-0.0617,7747
-0.0319,6681
0.402,843
-0.582,10565
-0.0861,8503
0.165,2050
0.00943,5238
-0.185,9249
0.139,2841
-0.484,11002
0.102,2205
0.0142,5073
-0.207,8616
0.187,807
0.264,3079
0.0277,4891
-0.0174,5843
-0.0729,7635
-0.512,10871
0.0172,4860
0.196,2315
-0.231,10043
0.0439,4154
0.34,178
0.19,2187
0.114,2883
-0.0834,8403
0.437,578
-0.217,10447
-0.00247,5541
0.0887,4019
0.036,4305
-0.37,9427
-0.171,8955
-0.122,9216
0.0915,3245
0.498,469
-0.208,9831
-0.0349,6403
0.0365,4271
-0.0919,7633
0.00905,4885
-0.135,8526
0.0831,3646
-0.284,10982
-0.0301,6523
0.0741,3876
0.00266,5367
-0.0174,5775
0.0666,4088
-0.0148,5724
0.0673,2779
0.0262,3790
-0.284,10829
0.097,2274
-0.21,9380
-0.118,6514
0.046,3189
-0.0615,7469
0.0989,3344
-0.141,8799
-0.0607,7051
0.028,4020
-0.0932,9957
0.0251,4547
0.125,2202
0.101,3280
0.112,2242
-0.264,7637
0.164,1195
0.127,1817
0.0471,3080
0.0565,3482
-0.332,10662
-0.0255,5231
-0.147,9441
0.228,1661
-0.136,8246
0.0635,3040
-0.164,8310
0.0058,4831
0.0457,4629
-0.0605,7712
0.193,1202
0.28,872
0.866,217
-0.0579,6853
-0.282,10330
0.0935,2565
0.166,605
0.188,1273
-0.0127,5563
-0.1,7223
0.142,2415
0.0445,3161
-0.182,10296
-0.0911,7596
0.00607,5251
-0.273,9429
-0.0827,6422
0.289,888
-0.125,9650
0.132,850
-0.485,10946
-0.0141,5333
0.132,2488
-0.311,11011
0.306,35
-0.0162,6153
-0.132,8311
0.005,5467
-0.0365,6230
-0.0507,6089
0.00222,5320
-0.271,10408
-0.162,8581
0.248,2223
0.242,1050
0.0409,4338
-0.464,7622
-0.337,9437
-0.0683,7421
0.0988,2835
-0.196,9439
-0.123,9312
0.105,3065
0.116,3058
0.0594,3760
-0.968,10082
-0.0835,6595
0.0462,3567
-0.0704,8359
0.341,1542
-0.411,10178
-0.221,8158
0.388,1798
-0.101,8195
-0.128,8859
0.316,251
0.0287,4593
0.299,786
-0.0809,7272
0.253,634
0.161,1986
-0.279,9046
0.118,2628
0.192,1416
0.186,2292
0.349,329
0.158,425
-0.0464,6440
-0.107,7741
-0.201,9174
0.0962,2839
0.0199,4578
-0.198,8776
-0.186,9344
0.0467,4187
0.139,2994
0.119,2315
0.0169,4792
-0.0677,6949
-0.0893,7341
-0.233,9356
0.398,499
0.0743,3618
0.0924,2047
0.212,1163
0.0876,3356
-0.0892,6804
0.042,4491
0.014,4950
0.0488,3587
0.0214,4618
-0.238,8663
0.0286,4380
-0.0833,6550
-0.146,7314
-0.141,8912
0.252,386
0.312,285
-0.0962,7213
-0.176,9279
-0.402,10229
0.0051,4963
-0.0261,5684
0.127,2097
0.0117,5024
0.211,2176
-0.0274,5948
-0.0335,6586
0.049,3937
-0.0554,7041
-0.124,6752
-0.0908,6964
-0.143,8364
0.412,650
0.591,272
-0.0283,5811
-0.252,10435
0.138,2840
0.97,277
0.0539,3237
0.0468,4121
-0.261,10797
-0.14,8610
-0.171,10605
-0.43,10360
0.185,437
0.206,710
-0.288,9860
0.0774,3768
-0.0907,8051
0.538,808
0.118,1820
-0.0367,6856
0.251,319
0.11,2136
0.000633,5409
-0.395,10720
0.437,3
-0.0438,5810
-0.289,9206
-0.0546,7880
-0.0943,9180
-0.101,7309
0.0541,3595
0.0495,4033
0.0899,4020
0.623,962
0.0517,3300
-0.484,8379
0.219,2743
0.103,3980
0.339,1059
0.142,2711
-0.0501,6714
-0.044,6285
0.0324,3885
-0.0493,7773
1.72,241
0.379,556
-0.342,10568
-0.173,8609
0.259,979
0.12,1308
0.145,3061
-0.147,8447
-0.267,10681
-0.215,9667
-0.558,10989
-0.0448,6861
-0.0481,6575
-0.341,10134
0.237,1842
-0.243,7855
0.0478,4309
-0.0842,8239
0.000393,5087
-0.175,10830
-0.277,10030
0.533,1061
0.157,1479
-0.326,10949
-0.00477,5392
0.0803,3506
0.00957,4684
0.115,3007
0.00498,5012
-0.0858,7752
0.246,920
-0.0919,6448
0.184,1773
0.142,3190
-0.0658,6845
0.00364,5216
-0.379,9688
0.0598,3667
-0.05,6281
0.0846,3164
0.25,656
0.121,2136
-0.0984,7820
-0.138,7846
0.371,619
0.438,1611
-0.0306,8418
-0.183,10081
-0.183,9035
-0.026,5911
0.18,2164
0.007,5052
-0.0318,6640
0.00652,4913
-0.00477,6233
0.476,88
0.143,3524
-0.114,8062
-0.215,7908
-0.0162,6091
0.235,1591
0.159,2317
-0.217,9189
-0.14,6632
0.0804,3808
0.0455,3834
-0.0818,7142
-0.265,9591
-0.169,8421
-0.000914,5529
0.094,1956
0.0245,4746
-0.409,10943
0.0473,4119
0.0625,4147
-0.214,10442
-0.172,8120
0.138,1682
0.0677,2659
-0.729,10059
0.0546,4578
0.467,337
-0.265,8625
0.0156,4846
0.14,2834
0.0238,4930
0.127,3600
0.137,2800
0.0489,4446
-0.0792,7888
-0.369,9887
-0.189,8301
0.0299,4470
-0.036,5803
0.0875,3339
-0.108,9614
-0.166,10695
0.116,3066
0.31,785
0.0782,3524
0.176,1171
0.23,275
-0.0234,5574
0.0813,3844
-0.198,8618
-0.236,10123
0.208,2104
0.0587,3709
-0.0928,8250
-0.236,9441
0.108,2926
-0.247,10809
0.0129,4866
-0.031,5940
-0.16,9215
-0.0495,6637
-0.116,7197
0.0235,4356
-0.0796,7686
-0.0144,5854
0.224,2071
0.226,478
0.333,712
0.473,586
0.0743,3265
-0.215,10512
0.0719,2999
-0.0736,7442
-0.261,10803
0.154,1981
0.0307,4516
-0.0379,9078
0.233,979
-0.133,9590
0.213,2631
0.256,2293
-0.108,8857
0.0749,3038
0.123,1676
-0.0747,6997
-0.0238,5642
0.0303,4672
0.353,251
-0.0285,6649
0.0268,4208
0.403,1257
-0.169,9184
0.012,4757
0.157,2456
-0.32,9862
-0.0228,6471
0.0607,4336
0.0798,4199
-0.581,10805
-0.501,10595
-0.0713,8093
0.0072,5156
0.156,1276
0.0562,3283
0.28,1704
-0.174,9034
0.0857,2358
0.272,797
0.834,567
0.112,3450
-0.107,7183
-0.539,9372
0.0184,4589
-0.175,9731
-0.268,10247
0.0959,3345
0.251,712
-0.016,5583
-0.0324,6298
0.105,1271
1.82,325
0.17,3540
1.63,106
1.36,329
0.111,2214
-0.144,7775
-0.0476,6793
0.0964,3143
-0.281,10216
0.382,184
-0.0048,5266
0.00309,5171
0.406,127
0.107,2779
-0.303,8470
0.0545,4715
0.131,1937
0.376,460
0.506,78
0.0775,3253
0.278,797
0.254,1012
0.183,1442
0.398,374
0.00889,5043
0.0708,3147
0.172,2108
0.0318,4678
0.0421,4039
0.13,1781
-0.1,8151
-0.00828,5575
0.177,2526
-0.0316,6520
0.119,2190
-0.0335,5914
0.324,443
-0.195,9558
-0.354,10782
-0.11,7866
-0.0143,5744
-0.000773,5332
0.262,2344
-0.16,9210
0.575,104
0.265,3051
-0.0374,6602
-0.081,7494
-0.0953,6513
0.132,1551
-0.148,9804
-0.0885,7246
-0.107,8695
0.12,2036
0.14,2214
0.086,2530
-0.26,8843
-0.229,8572
-0.0789,9220
-0.0254,5940
-0.124,7447
0.0789,3303
-0.0209,5721
-0.267,10690
0.169,1638
-0.148,9398
0.0439,4491
-0.0129,5284
0.0533,4103
0.205,2393
0.153,1521
-0.0801,8328
0.212,2354
0.00481,5116
-0.624,10878
-0.685,10643
0.0675,3552
0.206,872
-0.135,8286
-0.0972,7836
0.625,149
0.16,2347
-0.159,9369
0.0383,4095
-0.089,9118
-0.0643,7445
0.163,1880
0.0223,4853
-0.0606,7106
0.249,1762
0.0156,4561
-0.0922,6687
0.108,3999
0.097,2716
0.142,870
0.00326,5261
-0.109,9090
0.185,2345
0.342,619
-0.0261,6424
-0.0995,9928
-0.0745,7630
-0.333,10249
-0.141,7885
-0.278,9520
-0.0212,5878
-0.0313,5933
-0.223,8987
-0.183,9412
0.257,1843
-0.197,9976
-0.102,9044
0.11,2092
-0.315,5647
-0.00873,5899
-0.0504,5782
-0.134,7570
0.152,827
0.628,708
-0.581,9403
-0.672,7928
0.503,981
0.257,2812
-0.599,10978
-0.309,10340
0.0444,4248
-0.0526,7100
0.133,1897
0.0107,4805
-0.114,7712
0.361,1471
-0.0127,4986
-0.0815,8184
-0.018,5778
-0.00188,5432
0.143,2766
0.129,2078
-0.0273,5702
-0.039,6554
-0.0425,6621
0.142,2398
-0.122,6757
-0.0269,5813
0.191,1813
0.141,2824
-0.0962,8649
-0.0324,6664
0.274,1710
-0.0933,8599
-0.129,7976
0.128,3338
0.063,3514
0.258,1474
-0.143,8506
0.445,1536
-0.0569,6673
-0.123,7536
-0.0912,7790
-0.0283,6024
0.282,1269
0.0339,4408
-0.279,9883
-0.0288,5661
-0.0654,6474
-0.101,8031
-0.158,8931
-0.325,8127
-0.0132,5424
0.115,3178
-0.0971,7862
-0.0505,6791
-0.179,10366
0.327,304
-0.0177,4949
-1.15,10246
-0.0538,7171
-0.01,5807
0.0271,4526
-0.0598,6630
-0.0719,8590
0.169,3075
0.104,2749
0.267,206
-0.00308,5036
-0.248,9668
-0.151,8242
-0.0131,5641
0.243,1399
0.0624,3413
0.208,2373
0.568,308
-0.242,7244
-0.151,7709
-0.0526,7275
-0.252,10280
-0.0408,6087
0.0955,2845
0.0179,4988
-0.202,7719
-0.0476,6329
0.107,2873
-0.0722,7286
0.0114,4912
0.0411,4410
0.435,2493
-0.124,9196
-0.147,10022
0.05,3816
0.149,1925
-0.139,8421
-0.212,8537
-0.207,10471
-0.106,8265
0.138,2095
0.201,2593
0.307,538
-0.0182,6063
-0.219,10635
0.0551,2925
-0.054,6676
-0.0784,6515
0.201,258
0.091,3283
-0.157,7953
0.146,1060
0.137,2439
-0.0718,6743
0.0646,4033
-0.459,10413
-0.0894,7571
-0.277,10112
-0.282,10522
0.0224,4833
-0.08,6549
0.0381,4307
-0.153,10101
-0.125,7267
0.243,2505
0.188,2209
0.183,2380
0.0319,4678
-0.269,10869
0.0715,3667
0.154,2905
0.01,5032
0.482,1577
-0.107,6643
-0.15,8722
0.0264,4520
0.207,1545
-0.346,10453
-0.0343,6363
-0.205,8221
-0.0636,7404
0.161,1406
0.0725,573
-0.00245,5641
0.0463,1008
-0.00129,5540
-0.0186,8758
-0.118,5035
0.0661,3815
0.59,1422
-0.558,8628
-0.853,9169
-0.0589,6701
0.042,4579
0.477,1608
0.0694,4022
-0.461,9900
-0.104,8593
-0.0521,6179
-0.613,7741
0.00554,5278
-0.1,6968
-0.0671,8773
0.0856,2889
0.227,1152
0.0139,5147
0.272,1674
-0.175,7121
-0.0746,6483
-0.214,10082
0.17,2349
-0.416,7685
0.0825,3923
0.0436,4441
1.7,830
0.276,838
-0.0774,7767
0.305,1262
-0.0575,7051
0.184,684
-0.00502,5472
-0.0474,6239
-0.0706,6329
0.0081,5174
0.184,2903
0.27,883
-0.0235,6353
0.0592,2268
0.0968,2886
-0.221,10304
0.0615,4285
0.0457,4527
-0.201,9398
-0.146,9088
0.133,2888
0.213,1481
0.169,2109
-0.178,10319
-0.0331,6790
0.145,1978
-0.1,7954
-0.244,10837
0.344,1116
0.378,1634
0.0996,3060
0.0778,2861
-0.365,6963
-0.0262,6231
-0.104,6926
-0.451,10935
0.0664,3483
0.0552,3908
0.594,202
0.00555,5409
-0.212,8293
-0.244,10506
0.161,922
-0.0113,5591
-0.361,11013
-0.211,9818
-0.171,8816
0.225,2399
-0.0727,8364
0.000383,5344
-0.628,10515
0.111,3179
0.0652,3592
-0.00177,5427
-0.0147,5618
-0.0043,5765
0.0262,4046
0.22,3595
-0.0547,7159
-0.457,9218
0.0859,3066
0.0612,3016
0.158,2925
0.244,538
-0.178,8333
0.0229,4477
-0.0677,7818
0.0381,4085
-0.358,8145
0.0692,4543
-0.553,8176
-0.0679,6346
0.161,2425
-0.217,9720
0.772,551
-0.0021,5529
0.0903,2437
0.000509,5594
-0.25,10533
-0.144,8589
0.147,2437
-0.105,8093
0.124,2615
-0.106,8361
0.0225,4693
0.0669,4113
0.0918,2583
-0.232,9102
-0.077,6864
-0.239,9926
-0.0161,6069
-0.339,9126
0.589,301
0.294,696
0.295,1042
-0.107,8170
-0.259,10601
0.0721,3923
-0.0757,7377
0.143,2437
-0.073,8217
-0.00397,5434
-0.0338,7484
-0.0708,7047
-0.0948,7878
0.175,1952
-0.0807,9169
-0.258,10006
0.155,931
0.413,1795
-0.147,7669
0.103,3755
0.0378,4374
0.0435,3365
0.0078,5026
0.0882,3955
-0.0084,5476
0.114,2309
0.146,3367
0.167,945
-0.0628,6813
-0.0668,6031
0.00834,5178
0.0297,4503
-0.601,10990
0.073,2315
0.0309,4358
-0.0186,5476
0.176,1290
-0.0716,6369
0.328,1808
-0.275,9646
-0.233,9224
0.0687,3751
-0.24,9960
-0.0963,8997
0.124,3095
-0.00587,5108
0.143,2915
0.472,946
0.0854,2571
-0.162,8966
0.107,2797
-0.426,10264
-0.0385,5238
0.117,3694
-0.0484,7248
-0.0604,7221
0.253,2611
0.062,3770
0.321,1661
-0.0239,6321
-0.0192,6361
0.0131,4754
-0.0578,8364
-0.447,10870
-0.00723,5687
-0.0359,6563
-0.0712,8257
0.202,820
-0.27,10205
0.0319,4270
-0.131,7285
0.0322,4662
0.02,4942
-0.0996,8201
-0.0442,6551
-0.265,10118
-0.0782,7031
-0.0618,6674
-0.0423,6279
-0.226,10546
-0.027,5689
0.254,1763
0.526,442
0.119,2609
0.0677,3493
-0.0744,6468
-0.287,9817
-0.0692,7647
0.0837,3619
0.233,765
0.0483,2034
0.119,3249
-0.171,5612
0.206,3030
0.329,324
-0.00877,5708
-0.0853,7939
0.368,581
-0.197,10093
-0.161,6624
0.268,220
-0.0398,6171
0.206,222
-0.231,9465
0.0935,3855
0.274,2798
-0.0271,5667
0.123,3411
-0.113,8552
-0.0978,7254
0.132,2606
0.246,1571
-0.191,8104
0.117,1861
-0.0703,7321
-0.286,8300
-0.154,8979
0.183,2101
0.159,3510
-0.24,10639
-0.0408,6624
-0.413,10753
-0.191,9261
-0.0201,5543
-0.148,7213
0.083,3354
0.202,1034
-0.0814,7345
0.0669,3859
0.143,1153
-0.13,5730
-0.059,8212
-0.211,10454
0.345,911
0.0983,3620
0.00413,4833
0.0557,4043
0.151,2517
-0.378,10186
0.117,3259
0.183,1454
0.0514,3325
-0.127,8312
0.0603,3325
-0.0707,7406
-0.0809,7982
-0.141,9468
-0.404,10869
0.203,1738
0.182,474
-0.0617,7143
0.135,1769
-0.137,8561
-0.254,10731
0.0659,3887
-0.0816,7730
0.0487,3661
-0.586,10195
-0.173,8634
0.000866,5060
0.396,894
-0.0207,5986
0.0864,2969
0.352,812
0.232,753
-1.35,10902
0.182,1500
0.482,73
