coef,rank
-0.313,9554
-0.0344,6162
0.08,2783
0.199,2479
-0.391,6705
-0.183,6228
1.23,81
-0.0376,6457
0.0885,2350
-0.202,9323
-0.133,8054
0.132,2972
-0.225,10315
-0.157,10281
0.0374,4398
0.0622,4074
-0.0817,5900
-0.263,7777
-0.0382,7206
-0.000799,5690
-0.0121,5661
0.14,1548
-0.247,8414
-0.43,10345
-0.173,9579
0.14,2410
-0.305,9776
0.28,949
0.175,780
0.357,2434
0.406,281
0.0743,3086
-0.00153,5402
-0.478,10328
0.00553,5018
0.0231,4881
-0.0245,6212
0.0511,3196
-0.0562,6856
0.385,963
-0.318,10527
-0.0831,7009
-0.0734,7852
-0.0674,8995
-0.297,10481
-0.155,9153
0.0179,5002
-0.0191,5164
-0.0763,8900
0.0434,3174
0.217,1902
-0.0965,8282
-0.159,8290
0.655,41
-0.19,8902
-0.00846,5585
-0.181,9718
-0.355,10124
0.325,1871
0.494,308
0.104,1485
0.003,5496
-0.262,9665
-0.0315,5801
-0.229,10890
-0.0949,9320
0.111,2672
-0.075,8305
-0.0145,5909
-0.114,9004
-0.128,8372
-0.157,6572
0.121,1956
0.0651,3394
0.0583,4016
-0.0509,6154
0.791,209
0.0686,3274
0.27,405
0.0179,4853
0.23,807
-0.101,7925
-0.0143,5423
0.318,1437
0.0625,3219
0.0989,2361
-0.164,9458
0.24,1917
0.297,599
0.319,1288
0.271,103
-0.0166,6271
0.0608,3975
-0.112,7677
0.186,2445
0.283,1383
0.0494,4253
0.0599,3291
-0.126,6965
-0.138,10228
-0.0161,5660
0.221,1409
0.0954,2559
0.156,1298
0.00966,4898
-0.155,8665
-0.109,6701
0.213,2025
0.163,2310
-0.223,9867
0.0875,3371
0.161,1733
0.432,1942
-0.103,7120
-0.0343,6839
-0.0353,7179
0.0351,4711
-0.000975,5565
-0.0227,6265
0.307,878
0.176,1748
-0.0112,5748
-0.0644,7846
-0.0748,8172
0.111,3556
0.0655,4268
-0.0761,8153
0.115,2859
-0.15,8314
-0.0416,6118
-0.265,9998
-0.0612,6529
-0.0343,6582
-0.0932,8203
-0.307,9864
-0.0386,6679
-0.185,5371
-0.351,9308
0.0403,3781
0.00032,5413
0.113,3716
0.0501,3623
0.0462,4418
0.131,2632
0.0515,3984
-0.143,9366
-0.513,10913
-0.13,8330
-0.14,9778
0.19,2351
0.27,306
0.0662,3107
-0.174,5312
-0.00259,5109
-0.0719,5958
0.00658,5090
0.209,683
-0.114,8370
-0.418,10632
0.151,2114
0.0326,4510
0.0986,2610
0.243,1131
-0.164,10830
-0.303,10716
0.261,966
0.0166,4798
-0.165,10358
0.134,2753
-0.0763,8066
-0.151,8761
-0.214,8154
-0.22,10678
-0.00783,5449
-0.0793,9554
-0.172,9748
-0.153,9851
-0.00106,5433
-0.577,10523
-0.123,10055
0.0673,3514
0.226,1427
0.00429,5169
-0.228,10306
-0.0911,8572
-0.0625,8809
0.119,1920
0.193,1157
0.203,1906
-0.00239,5487
-0.567,10277
-0.0376,6631
-0.0942,8516
-0.011,6214
0.116,2030
0.135,2530
-0.146,7081
0.0753,3162
-0.127,7871
-0.149,8495
0.0348,4024
0.307,976
-0.124,8477
-0.0591,6180
0.0623,2805
0.357,158
-0.23,9916
-0.114,6376
-0.00183,5404
0.509,132
0.0314,4225
0.117,1389
-0.184,9890
-0.137,7970
0.0894,3698
-0.0256,5537
-0.0175,6573
0.099,2512
0.132,2392
-0.0495,6576
-0.105,6839
-0.221,8570
-0.0527,6609
-0.242,10913
-0.156,10574
-0.185,8596
0.149,3005
-0.0499,6849
-0.0783,8148
-0.196,10809
0.0334,4129
-0.0281,5941
0.086,3611
0.168,2195
-0.297,9884
-0.0173,6427
0.167,1844
0.0787,3609
0.0262,4843
0.0343,4160
-0.0341,5787
1.24,964
0.112,3808
0.034,4367
0.138,2146
-0.0472,6501
0.0127,4800
-0.0655,7147
0.12,2997
0.0565,3840
0.401,3239
-0.084,6604
-0.0602,7685
0.103,1651
0.223,2496
0.853,122
-0.155,7272
-0.52,9987
0.0725,3398
-0.0805,7615
-0.011,5741
-0.165,9548
-0.0733,7263
0.16,2230
0.0843,3081
-0.108,7832
0.052,4187
0.0779,3488
-0.000967,5546
-0.155,7841
-0.0738,7481
-0.0227,6575
-0.126,8622
0.242,1042
-0.221,9429
0.0858,3097
0.0746,3305
0.297,982
-0.0249,5969
-0.195,9320
0.0148,5141
-0.0638,7314
0.276,429
0.34,818
0.017,4856
0.354,842
-0.00849,5249
-0.273,10534
0.267,69
0.173,1639
-0.0381,5878
0.398,701
0.0245,4833
-0.153,8274
-0.0877,9073
-0.108,9001
0.0973,3865
-0.17,9345
-0.312,9757
-0.199,8133
-0.323,10885
0.121,1926
-0.0512,6805
0.0589,3795
-0.0467,6542
0.665,265
0.0532,2859
0.1,3151
0.109,2419
0.111,3637
0.0498,4180
0.0785,2685
-0.11,9259
-0.122,8836
0.16,1832
0.461,1130
0.0188,5052
0.0823,3780
0.0425,4426
-0.108,6892
-0.176,8255
-0.0985,7967
0.0357,4434
-0.0365,5533
-0.148,9988
0.105,2747
-0.0703,7522
0.222,1033
-0.0535,7493
-0.232,8438
-0.0281,6465
-0.0293,6393
-0.349,10379
-0.187,8457
-0.159,9617
0.0212,4719
-0.127,9233
-0.152,10102
0.0367,4161
0.133,1667
0.000931,5395
-0.0298,5711
-0.161,10206
0.326,1571
0.214,2354
0.0282,4020
0.167,531
-0.152,8365
0.0238,4477
-0.0692,7185
-0.708,9281
-0.324,8092
-0.00214,3578
-0.252,6326
-0.228,8012
-0.29,7377
0.361,923
-0.23,9648
0.214,1196
-0.397,10969
0.17,362
0.0484,2735
-0.708,9748
-0.0742,6797
-0.246,9775
0.01,5240
0.0549,4214
-0.0204,6359
0.056,3973
-0.255,9996
-0.0729,7611
-0.0308,5938
0.0572,4178
-0.164,10041
-0.253,10303
-0.248,9134
-0.0655,6168
0.361,2017
0.255,1051
-0.0694,7816
0.0446,4435
-0.0143,6105
0.228,1546
-0.195,7373
-0.0457,6756
0.285,358
0.0674,3437
0.0566,4001
0.028,4526
0.0502,4142
-0.0103,5551
-0.135,8963
0.117,2738
-0.239,8519
-0.386,10945
0.136,3247
0.218,1183
0.0446,3766
-0.0948,6460
-0.157,9462
-0.0919,7151
0.476,54
0.399,101
-0.163,9699
-0.173,9257
-0.346,10502
-0.118,7637
0.863,376
-0.00675,6209
0.143,1598
-0.227,9662
0.4,900
0.0705,3881
0.127,2926
0.284,129
-0.0235,6914
-0.049,10317
-0.156,8845
-0.275,8608
0.0968,2853
0.678,339
0.0908,1927
0.616,80
-0.293,10235
-0.183,8650
0.296,2342
-0.164,8609
0.0571,3439
-0.205,9638
0.281,1386
0.471,260
-0.125,8378
-0.0403,6654
0.0532,3787
0.238,1316
-0.305,10678
-0.1,7304
-0.0509,7001
-0.16,7924
0.0571,3679
-0.026,6617
-0.355,6572
0.475,1045
-0.254,9612
-0.314,9157
-0.0765,8049
-0.0263,6078
-0.121,7586
-0.364,9370
-0.047,5992
-0.154,7237
-0.0669,7533
0.19,2660
0.044,4664
-0.0729,7286
-0.345,9882
0.145,2276
-0.124,10014
-0.0331,7069
0.000726,5308
0.0358,4526
-0.00332,5613
-0.107,8447
