coef,rank
0.527,429
0.0652,3866
-0.0337,6633
0.197,2503
0.565,2048
-0.406,8643
-0.416,9436
-0.143,8943
0.013,4671
-0.163,8688
-0.109,7567
-0.0313,5775
-0.229,10362
0.139,1077
-0.109,8620
0.00811,5256
-0.572,10564
0.167,3270
-0.0414,7326
0.0614,2449
0.107,2507
0.0445,3839
-0.478,10440
-0.0151,5508
0.106,2707
-0.218,9557
-0.43,10655
-0.217,9244
0.0931,2376
-0.741,10442
-0.0224,5833
0.244,448
-0.0133,5657
0.188,2884
-0.165,8614
0.317,1217
-0.0268,6286
-0.0381,6952
-0.118,8383
0.139,3087
-0.307,10453
-0.382,10808
-0.191,10401
0.0434,3040
0.448,187
0.212,919
-0.043,6266
-0.191,7977
-0.0636,8412
0.0941,1329
-0.219,9249
0.0117,5278
-0.0332,5900
0.44,340
-0.0678,6480
-0.121,9631
-0.128,8659
-0.226,8609
0.24,2503
-0.148,7773
-0.0797,8764
-0.014,6097
-0.0781,6755
-0.244,9706
0.232,248
0.0548,2843
-0.276,10628
0.0118,5039
-0.101,8374
-0.146,9706
-0.0303,6010
0.432,1708
-0.107,8431
-0.0493,6798
0.132,2476
0.476,339
-0.0932,6320
0.0141,5012
0.0784,3122
0.00108,5409
-0.32,10950
-0.0858,7565
-0.374,9534
-0.201,8151
-0.0695,8149
-0.109,8802
0.183,1570
-0.213,8882
0.175,1747
0.281,1576
-0.0503,7479
0.106,1318
0.116,2944
0.235,1284
-0.392,10435
-0.333,10287
-0.208,9090
-0.0343,6547
-0.00521,5122
0.251,130
-0.0235,5834
-0.216,9598
-0.101,8682
0.0664,3256
0.0437,3938
-0.15,8569
-0.303,9310
-0.412,10658
-0.15,8308
0.276,781
-0.0017,5181
-0.262,10465
-0.727,10656
-0.0838,6765
0.0998,2281
0.00669,5224
-0.0956,7163
0.0264,4804
0.104,1842
0.123,2974
-0.173,9377
-0.0424,7060
-0.0986,8891
-0.0263,6470
0.407,819
-0.169,6999
-0.156,10147
0.325,564
-0.308,10304
-0.104,7653
0.37,638
-0.0379,6030
0.0478,3740
0.0554,3836
0.138,3025
0.0671,3058
0.378,2712
0.435,1314
-0.125,9393
0.0693,3265
0.415,754
-0.147,10216
0.0735,3985
-0.0195,5951
-0.172,9378
-0.104,8499
-0.269,9460
-0.036,6160
0.298,179
0.207,2181
0.135,1708
-0.0751,8245
-2.05,10909
-0.198,9324
-0.0967,6294
-0.204,9483
0.0426,4050
0.0932,3212
-0.0327,5825
-0.038,6353
-0.0454,6655
-0.119,8836
0.038,4526
-0.0807,9186
0.13,2306
0.232,1261
0.218,461
0.187,563
0.0434,4538
-0.155,9984
-0.0712,7047
0.494,701
0.126,1560
-0.0981,8731
0.0254,3834
0.0225,4415
0.0391,3940
0.253,1381
0.0385,4852
-0.0833,8968
-0.0775,7935
-0.252,10235
-0.2,9842
-0.0387,6464
-0.109,9079
-0.0583,8612
-0.156,9887
-0.143,9295
0.266,1311
-0.0351,6547
0.404,1829
0.107,2295
0.0645,3369
0.0482,3020
0.0246,4478
-0.0199,5639
-0.374,10016
0.0167,4855
0.279,1176
0.357,489
-0.0268,6466
0.115,3073
0.0655,3240
1.15,13
-0.0198,6024
-0.24,10538
-0.0616,6804
-0.0748,5885
-0.111,8144
0.558,69
-0.00239,5345
-0.0452,7243
-0.102,8186
-0.223,9369
0.321,979
0.318,677
-0.0516,8427
0.0198,4837
-0.0992,7789
0.00651,5233
-0.197,8365
0.284,1579
0.281,941
0.00704,5042
-0.0426,7302
0.00821,5055
0.103,3599
-0.209,10002
-0.0547,7366
0.0494,3504
0.026,4441
-0.133,8355
0.0863,3602
-0.0666,6851
0.0236,4808
-0.0474,7993
-0.0835,7141
0.491,123
