coef,rank
0.00205,5151
-0.0488,6511
-0.158,10038
-0.101,6677
-0.159,5156
0.391,2458
-0.696,10792
0.166,1776
0.00769,4861
-0.242,9901
0.0826,3404
0.0546,4173
0.197,1070
0.00847,4974
-0.17,9807
0.101,3325
0.163,3370
0.311,2213
-0.0119,6045
0.0533,2839
0.201,1033
0.0311,4261
0.138,3234
0.275,1957
0.155,1789
0.147,2300
0.00435,5003
0.145,2463
0.144,1203
-0.355,7874
0.281,868
-0.000632,5359
-0.294,10404
-0.354,9379
0.035,4364
0.171,2585
0.175,1459
0.0684,2616
0.0754,3315
0.639,226
-0.0266,5933
-0.136,8010
-0.0572,7305
0.00387,5248
0.235,1313
-0.0697,7116
-0.0812,7044
0.0743,3730
0.0619,2378
-0.138,10634
0.365,735
-0.0698,7601
0.148,2639
-0.127,7831
-0.0867,6904
-0.0314,6565
-0.1,7964
0.108,3380
0.159,3275
-0.206,8670
-0.13,10128
-0.0586,7638
-0.095,7062
0.037,4368
0.0919,2222
-0.0412,7216
-0.0518,6679
0.164,841
-0.0827,7918
0.0764,2875
-0.136,8559
-0.355,8687
0.139,1625
-0.0828,7738
0.0212,4936
-0.288,9905
-0.152,7098
0.331,97
-0.0551,6917
0.252,365
-0.175,9958
0.0159,4867
-0.158,7230
-0.254,8880
0.0637,3173
-0.166,10026
0.379,190
0.298,1428
-0.315,10613
-0.0535,5924
-0.0671,8095
-0.0154,6204
0.17,2084
0.0053,5077
0.0559,4190
-0.388,10627
0.284,1112
0.0143,4785
0.414,976
-0.0429,7520
-0.176,9280
-0.0467,6373
-0.024,6259
-0.0269,6198
0.177,1177
-0.0831,7163
0.347,1404
0.0611,4137
0.00384,5175
-0.28,10465
-0.3,10374
-0.0974,7801
-0.428,8971
-0.171,8249
0.00505,5385
-0.00468,5781
-0.224,9164
-0.159,9509
0.0779,2560
-0.000912,5371
0.28,698
-0.0821,8569
0.145,1163
-0.0662,7886
0.0417,4597
-0.161,6886
-0.0724,8030
-0.0469,6345
0.0846,3850
0.422,161
-0.156,8412
-0.302,10347
-0.0193,6085
0.228,792
-0.296,9754
0.0694,2971
5.11,8
-0.0455,5786
-0.0307,6350
0.0526,3747
-0.21,8764
0.131,1365
-0.14,7743
0.186,1832
0.0926,3072
-0.253,10670
-0.048,5879
-0.211,9716
0.171,1093
-0.266,9445
0.116,2107
-0.0206,6245
-0.0243,4560
-0.173,8876
0.31,2117
0.248,1094
-0.00351,5547
-0.197,9854
0.339,1167
-0.301,10686
-0.237,10361
0.00655,5184
0.00407,5305
0.000304,5336
0.141,2140
0.0884,3527
0.0727,2962
0.0515,3399
0.133,2789
0.204,590
-0.0577,6755
0.0728,4032
0.0352,3975
0.0248,4208
-0.0263,6968
0.0984,2394
-0.169,10116
-0.278,10208
0.0743,4468
-0.0221,6361
0.118,2259
0.0936,3451
0.44,110
-0.0254,6053
0.0103,4698
0.000959,5110
-0.0726,7824
-0.192,10089
0.0331,4462
-0.186,10160
-0.0988,5803
-0.117,8956
-0.208,10494
0.00988,5041
-0.12,8960
0.16,2149
-0.124,6753
-0.075,7730
-0.028,5890
0.0818,3558
0.0419,3769
0.469,273
-0.154,9132
0.0472,4598
0.0811,2217
-0.0913,8017
-0.0405,6320
-0.245,8069
-0.287,10604
0.118,2998
0.127,1835
-0.0332,6751
0.188,1264
0.0502,4296
-0.0848,6885
0.0143,4735
-0.0492,8300
-0.000651,5506
-0.185,9460
0.318,728
0.937,11
-0.301,9567
-0.0531,6619
0.0198,4513
-0.0734,8580
-0.161,8216
-0.399,10446
0.000486,5543
-0.0288,6441
-0.112,9589
0.113,1572
-0.041,6247
0.0321,4803
-0.174,9092
-0.0846,6727
0.0282,3892
0.474,87
-0.027,5828
0.436,958
-0.147,8257
-0.248,9571
-0.482,7799
0.041,4671
-0.0821,7840
-0.0925,7507
-0.279,10361
-0.00481,5477
-0.0153,5890
0.222,1594
-0.092,7801
0.662,2241
0.223,2230
0.133,1211
-0.133,10053
-0.076,6366
0.0631,4371
0.21,2553
-0.441,9356
0.212,973
-0.12,8667
0.124,2159
0.0891,3085
0.107,3234
0.0854,3502
0.00874,5123
-0.0218,5796
-0.224,8362
0.0277,4763
0.193,1402
-0.156,7850
0.185,1681
0.11,1122
-0.178,9662
0.0206,4641
-0.128,7987
0.13,2167
0.0231,4499
0.0421,4283
-0.189,9396
0.0645,3809
0.555,139
0.198,1086
-0.022,5925
0.0133,5291
0.163,2100
-0.112,7403
-0.344,10523
-0.158,9112
-0.0732,8562
-0.27,10644
0.0294,4462
-0.416,10696
-0.0614,6508
0.182,2149
-0.0799,8803
-0.141,9768
0.475,785
0.137,2055
-0.13,7306
-0.207,8253
-0.0721,7258
0.056,3521
-0.155,9262
0.0925,3171
0.124,2600
-0.18,7516
-0.0664,8122
0.0544,3989
-0.0982,8283
0.651,261
0.149,2856
-0.12,8842
0.0256,4214
0.41,63
-0.0693,7410
0.124,3672
-0.102,7166
0.0237,4943
-0.336,10127
-0.326,9971
-0.267,9510
-0.0497,6790
-0.192,8429
0.435,1657
0.00278,5202
0.0732,3461
0.128,1841
0.141,2039
0.0112,4727
0.0537,4486
0.125,1238
-0.239,10722
0.0113,5029
0.0261,4621
0.299,242
-0.123,6584
0.175,911
-0.082,8409
-0.246,10821
0.0655,3282
0.000706,5407
0.105,3288
-0.126,9540
0.535,577
-0.256,8781
0.162,447
-0.216,10925
-0.206,9292
-0.088,8062
0.126,2419
1.08,1115
0.528,1310
0.094,3150
-0.223,6070
0.036,4665
-0.741,10514
0.355,957
0.0925,3567
-0.172,9420
0.0472,3983
-0.111,9861
0.0251,3830
-0.24,6206
0.127,3002
0.133,2681
0.116,3349
0.00523,5388
-0.0251,6558
-0.198,7166
-0.0701,6883
0.247,800
0.274,843
-0.0258,5685
-0.253,10858
-0.00722,5560
0.201,2149
0.591,193
-0.64,10620
0.142,2494
0.0967,2327
0.349,1079
-0.0614,8358
0.11,3130
1.21,61
0.124,2086
-0.101,8274
-0.0564,6877
0.484,135
-0.252,7524
-0.299,10255
-0.00643,5410
-0.112,8459
-0.0085,5687
-0.312,9410
-0.129,8316
-0.227,8130
-0.347,10850
-0.125,9325
0.0928,4013
0.0785,3217
-0.152,8352
-0.155,9095
0.067,3490
0.0708,3250
0.0629,3995
0.388,484
0.229,1643
-0.487,9959
-0.0322,8555
0.182,1047
-0.173,8872
-0.0472,6270
-0.0608,6498
-0.151,8193
0.109,1943
-0.0161,6452
-0.0201,8028
-0.273,10428
-0.086,6291
-0.174,9356
-0.264,8529
0.032,3894
0.333,823
-0.0426,6050
-0.0382,5832
-0.455,10051
-0.0168,5807
-0.017,6106
0.0207,4518
0.0419,4505
-0.00979,5373
-0.0379,6369
-0.0556,7234
-0.27,10921
0.305,725
-0.12,8164
-0.134,7897
-0.0407,6675
0.496,367
0.0322,4432
0.122,1144
-0.202,4919
-0.454,10414
0.129,2948
0.417,1238
-0.0871,8357
-0.117,7938
-0.0946,7139
-0.269,8243
0.176,2314
-0.214,8092
-0.0915,8242
0.339,1373
0.165,2980
-0.183,9730
0.172,2940
-0.155,8931
0.0924,1845
0.0573,2871
0.319,826
-0.128,8018
0.196,1391
0.189,1006
0.169,731
0.161,2801
0.431,410
-0.227,9034
-0.199,9729
0.329,1051
0.179,1488
-0.17,9969
0.387,576
0.331,597
-0.0642,7487
0.14,1999
0.241,721
0.0498,4255
-0.00902,5334
0.0855,4318
-0.0765,7388
0.284,593
-0.141,9730
0.403,896
-0.107,8872
-0.147,8206
-0.473,10827
0.248,634
0.0519,3755
0.079,2794
-0.199,10190
0.00838,5084
0.303,474
-0.121,8538
0.0594,992
0.245,856
-0.0173,6059
0.421,1162
-0.137,6690
-0.0437,7017
-0.0205,5951
0.0167,4809
0.0904,3143
0.0342,4332
0.984,297
0.0289,4396
-0.141,10499
-0.177,10420
0.529,739
0.157,2254
0.105,3790
0.415,419
-0.349,10120
0.128,1363
0.191,3137
1.12,116
0.139,3633
0.054,4527
0.0636,2751
-0.0346,6678
-0.0233,6291
-0.00967,5425
-0.408,10469
0.0505,4052
-0.13,9509
0.154,2112
-0.252,7453
0.08,3905
-0.0868,6866
0.0967,4105
-0.104,8900
-0.0629,7301
-0.029,5656
0.0336,4760
0.0278,4448
0.462,563
0.0283,4197
-0.0144,6206
2.42,121
0.5,1900
0.441,2257
-0.0731,5572
0.0284,4469
-0.236,9140
0.0617,3436
-0.0652,6585
0.0521,4095
-0.271,10503
0.201,911
0.175,1942
-0.0218,6100
0.0405,4342
-0.28,8229
-0.804,10577
-0.0402,6462
0.174,2082
-0.15,8426
-0.18,9200
0.00941,5060
-0.252,10047
0.195,1283
-0.174,8611
-0.0669,7139
0.0804,2877
-0.135,7985
0.06,4057
0.0366,4199
0.0981,2479
0.22,1036
-0.0537,6890
-0.426,10676
-0.0468,7133
-0.217,10480
-0.187,8591
0.000147,5317
-0.235,10081
0.329,530
0.335,644
0.0224,4678
0.213,224
-0.0959,6275
-0.103,7958
-0.122,7393
0.0526,4630
-0.17,9882
-0.165,9391
-0.181,7841
-0.0158,5970
0.155,1175
0.191,1795
-0.115,8865
0.0843,2834
0.0991,3013
-0.0667,7559
0.127,3349
0.016,5087
-0.153,10778
0.311,750
-0.251,9403
-0.28,10628
-0.23,9608
-0.00712,5657
-0.211,10152
-0.132,9066
0.0335,4710
0.633,147
-0.248,10386
-0.18,8525
0.0503,3700
-0.00346,5478
-0.34,9629
0.0266,4179
0.0814,4101
-0.285,7491
0.145,1823
0.165,1436
-0.0159,5695
0.137,1987
0.196,2175
0.0897,3500
0.123,2188
-0.113,9128
0.0959,1562
0.15,1739
-0.0735,7451
0.019,4927
-0.0659,7272
-0.128,7496
0.0666,2833
-0.107,6944
-0.247,6899
0.00326,5462
-0.267,11007
0.0908,1823
-0.0543,7513
-0.274,9962
-0.263,9976
-0.0871,8607
0.111,880
-0.174,9961
-0.265,9567
-0.191,8700
-0.266,9380
-0.0754,7072
0.378,318
-0.0362,5860
-0.148,8767
0.185,2598
-0.08,7506
-0.194,10674
0.0364,4027
3.22,189
-0.0931,8698
0.256,2004
-0.066,6388
0.042,3811
-0.285,8853
-0.258,7021
-0.875,9010
0.736,367
-0.551,9967
-0.301,9572
0.171,2486
-0.0614,7536
-0.193,10022
-0.0204,6346
-0.0461,8128
0.101,3647
0.0921,3859
-0.119,6329
-0.107,8911
0.418,64
0.0913,2466
0.348,812
-0.138,8913
-0.153,7857
-0.184,10212
-0.124,8581
0.0692,3756
0.383,907
0.00419,5191
-0.0054,5577
-0.214,9008
0.0939,2337
0.113,2244
-0.000198,5068
0.117,2038
0.0848,3843
-0.363,10519
0.103,2447
0.325,962
-0.0985,7567
0.267,2539
0.445,136
-0.0849,6807
-0.00713,5453
0.208,923
-0.195,8692
0.222,1446
0.225,1714
0.00397,5100
0.246,1520
-0.259,10599
0.115,2994
0.301,2478
0.147,2766
-0.0413,6203
0.00255,5174
0.0669,3564
0.119,1787
-0.176,9413
-0.324,8296
-0.248,5274
-0.164,9831
-0.0297,6713
-0.214,10708
0.0266,4834
-0.0583,8062
-0.382,10255
-0.0248,5898
-0.13,9715
-0.202,7895
0.0365,4508
0.215,1487
-0.000807,5375
0.388,460
-0.19,10413
0.348,1131
-0.0758,6420
0.769,1019
0.122,3569
-0.122,9463
-0.0911,7728
-0.145,8307
-0.053,7086
0.051,4104
-0.385,9730
-0.119,7960
0.0731,3584
-0.151,9033
-0.174,9980
0.686,667
-0.239,6473
0.0538,3805
0.134,1285
-0.0189,5822
-0.12,8426
-0.0301,6016
0.105,3425
0.0153,4808
0.173,1392
-0.0779,7125
0.0251,4787
0.0573,3956
-0.136,9564
0.127,1909
-0.00525,5569
0.0281,4379
0.161,2774
0.00687,5247
-0.0735,7121
-0.306,9916
0.0624,3003
0.0489,4135
-0.000494,5207
0.286,1010
-0.448,10361
-0.126,8380
-0.0359,6072
-0.216,9828
0.252,2473
0.0902,3743
-0.12,8114
-0.156,10152
-0.0748,6479
0.124,3635
-0.127,7861
-0.0128,5396
-0.207,9219
-0.193,10381
0.0248,4736
-0.0647,6334
0.00413,5253
0.174,3430
0.582,746
-0.194,9486
-0.00218,5714
-0.0338,6368
0.144,2875
-0.0801,7578
-0.305,9543
-0.141,9487
-0.177,9966
0.0585,1073
0.038,627
0.0556,633
0.0199,2015
0.0281,1232
-0.836,8649
0.018,4889
-0.769,10626
0.315,2936
0.238,3158
-0.0724,7024
-0.167,8659
-0.0623,5330
0.138,2893
0.114,3792
0.0138,4964
-0.0982,7091
-0.363,6299
0.449,74
0.426,495
-0.0753,9099
-0.0426,6126
-0.0421,6280
-0.478,10728
0.16,2907
-0.277,8328
-0.191,8491
0.0191,4708
-0.199,8980
-0.315,6748
-0.275,9134
0.0707,3921
0.926,1597
-0.0102,5623
-0.0776,7772
-0.136,7749
-0.122,8579
0.259,190
-0.0247,6279
0.0402,4539
-0.208,8547
0.0766,3401
-0.493,10435
0.248,1080
-0.15,10028
0.0114,4818
-0.031,5910
0.0187,4721
-0.0856,7372
-0.309,9717
-0.114,7720
0.0406,4052
-0.285,9996
-0.0914,7628
0.581,45
-0.0624,7728
0.202,544
-0.154,9063
0.429,76
-0.208,10626
0.239,1891
-0.144,6942
-0.107,8137
0.0977,2392
-0.344,6747
0.117,2152
0.092,3486
-0.0241,5751
0.0152,4963
-0.212,9620
0.142,2881
-0.0424,7223
-0.316,9561
-0.227,10333
-0.0258,6117
0.0543,3631
-0.216,10457
0.41,160
-0.0257,5736
0.133,3355
0.0532,3565
0.214,361
0.51,1450
0.0985,3386
-0.152,9387
-0.145,8446
0.0767,2968
0.028,4484
-0.317,5892
2.93,265
0.0289,4404
-0.571,10037
-0.0561,6548
-0.106,9516
-0.176,7942
0.343,136
0.0974,3782
-0.0725,8878
0.212,764
-0.0237,6099
-0.227,6826
-0.381,7511
-0.805,9686
-0.014,5324
-0.193,9106
0.156,2228
0.528,1176
-0.0457,6674
0.116,1845
-0.0726,7517
-0.0919,7818
-0.076,7160
-0.127,8072
-0.101,8005
0.154,2087
0.0282,4585
-0.0749,7253
0.979,6
0.144,1594
0.152,2675
0.0995,3153
-0.0311,5868
0.27,862
0.0273,4829
0.227,2179
0.000207,5434
0.102,3210
-0.0177,5742
-0.107,8251
0.103,3385
-0.0289,6107
-0.0234,5733
0.00357,5398
0.06,3364
0.0342,3225
0.0976,3386
0.195,1569
-0.177,8840
-0.0326,7085
-0.14,8358
0.156,911
0.679,904
0.0391,4351
0.206,2491
0.11,3155
0.185,401
-0.0455,6291
-0.21,6942
0.0154,4862
-0.0267,6057
0.102,3871
0.164,992
-0.219,9769
0.252,2109
-0.217,9701
0.0962,3163
-0.291,9647
0.115,1147
-0.312,10967
-0.0806,6462
-0.129,9195
-0.00236,5245
0.112,3716
-0.41,10661
0.206,2481
-0.243,10033
-0.0815,7151
0.0324,4297
0.0236,4900
0.505,984
-0.212,8632
0.215,2650
0.169,924
0.0338,4465
0.0598,3952
-0.404,10121
-0.0142,4943
-0.77,9779
-0.147,10090
-0.00328,5597
0.371,1846
-0.0809,7354
0.387,1228
0.00372,5574
-0.0969,9037
-0.0217,6235
0.187,218
0.323,1066
0.0263,4421
-0.0852,8176
0.162,916
-0.0701,7502
-0.0604,6873
-0.0771,7671
-0.152,7607
-0.359,9583
0.145,2262
-0.223,10272
-0.0506,6700
0.0827,3703
-0.169,8816
-0.0606,6645
-0.0607,6718
0.0431,3974
-0.157,8403
0.165,2721
0.196,2598
-0.343,10857
0.0135,4992
-0.293,9533
0.112,3154
-0.0609,7430
-0.341,10668
0.118,2306
-0.0908,10664
0.306,1292
-0.352,7579
0.21,2992
0.189,1430
0.117,1739
-0.063,7334
0.135,2668
-0.103,8352
-0.0438,5416
0.0392,3970
-0.173,8915
-0.0342,6707
-0.114,7602
-0.0875,6980
-0.383,8474
-0.369,10235
-0.159,7581
-0.0269,6211
-0.248,9614
-0.0911,7459
-0.0822,6865
-0.226,8586
-0.00216,5324
0.145,1637
-0.462,10031
-0.0786,7397
0.1,3323
-0.107,6485
0.153,1344
-0.0564,7066
0.565,149
0.212,1349
0.389,759
0.43,902
-0.0108,5484
0.0346,4331
-0.0173,5762
-0.366,10461
0.0427,3729
-0.226,6504
0.0115,4767
0.0844,3171
0.0113,5226
-0.109,7183
0.369,1284
-0.00417,5432
0.29,960
-0.0677,6280
0.251,1666
0.174,1569
-0.0677,8510
-0.148,8747
0.00555,5206
-0.123,8862
-0.17,10064
-0.0175,5940
-0.137,8086
-0.251,10159
-0.269,11007
-0.037,6388
-0.0724,7269
0.211,1284
0.121,2142
-0.446,10780
-0.0756,7539
0.0635,3184
-0.307,7913
0.387,472
0.184,1507
-0.429,10611
-0.107,8180
0.259,441
0.269,1415
-0.363,10998
-0.162,5285
-0.0799,7042
-0.183,9639
0.273,773
-0.082,8467
0.0673,4304
-0.148,9384
0.2,1508
0.0209,4702
0.151,3190
-0.167,8114
0.227,1406
0.0233,4566
0.0817,2183
0.0347,4290
0.411,265
-0.048,5866
-0.0648,7062
0.0479,3791
-0.192,10498
0.126,1694
-0.0647,7676
0.131,2933
0.198,2989
-0.19,10794
-0.019,6065
0.00985,5096
0.295,236
-0.0204,5458
0.0343,4516
-0.025,5502
0.00129,5215
0.236,1470
0.0837,3730
0.644,682
-0.331,9916
0.0378,4187
0.188,609
0.259,1471
-0.0489,6671
0.0976,3210
-0.386,10147
-0.0245,6035
0.0495,3403
0.115,2977
0.0557,4269
-0.267,9534
-0.416,9524
0.203,1633
-0.0495,6772
-0.0565,7480
-0.117,7591
0.116,1727
0.202,2623
0.00331,5119
-0.282,10167
-0.0108,5423
0.107,3767
-0.485,8851
0.0809,3522
0.105,2918
0.0789,2462
0.281,442
-0.0904,8345
-0.005,4609
-0.131,7268
-0.00222,5380
0.222,470
-0.129,7562
-0.174,8042
0.149,2288
0.21,845
-0.0597,7339
-0.247,10652
-0.0719,6580
0.083,3405
-0.191,9789
0.199,3096
-0.0203,5613
-0.0596,6016
0.191,1416
0.17,1557
0.036,3603
0.535,144
0.0259,4428
-0.0234,5650
-0.22,9765
-0.139,9004
0.38,2710
0.133,2997
0.13,1095
0.0218,4710
0.0329,4182
-0.0713,6560
0.347,903
-0.27,9074
-0.0756,7835
-0.155,9833
0.566,297
0.431,302
-0.0768,6926
0.258,1319
-0.0827,7245
-0.137,9274
0.005,5017
-0.158,7680
-0.0982,7819
0.015,4770
0.39,496
0.249,1365
-0.15,8150
0.0249,4522
-0.301,10772
-0.0243,6843
0.0488,4116
0.0815,3584
0.244,516
-0.186,8441
-0.177,10113
-0.0455,6855
-0.178,10552
0.0229,4571
0.284,2246
-0.0632,6930
0.0508,3697
-0.0308,6340
0.0883,3527
-0.152,6884
-0.0297,6082
-0.268,10360
-0.338,8843
-0.131,9231
0.3,511
-0.104,8225
0.0376,4599
0.128,2674
0.0179,4563
-0.238,9154
-0.0827,8532
-0.124,9129
-0.0591,6788
-0.155,7321
0.00968,4821
0.07,3462
0.0346,3739
0.0816,3225
-0.0198,5706
-0.173,9101
-0.0808,7749
0.116,1503
0.0907,2345
-0.0248,6049
-0.0222,5189
-0.256,6959
-0.0493,5392
0.0368,4455
0.0379,4270
-0.223,9292
-0.0246,6416
-0.125,7426
0.456,298
-0.0738,6696
-0.0726,7091
-0.215,10155
0.951,43
-0.108,9007
0.221,2416
-0.0823,8177
0.0122,4862
-0.135,9375
0.0671,3993
-0.194,9768
-0.495,10749
0.0267,3869
-0.0359,6451
0.0626,3704
-0.00394,5473
-0.064,7354
0.0725,4044
0.0559,4077
-0.192,7382
0.531,135
-0.235,9130
0.182,2327
0.257,3125
-0.133,8364
0.277,1911
0.13,2340
-0.175,9757
-0.043,5970
-0.345,9196
0.0146,4976
-0.179,9193
0.212,1328
-0.387,9365
0.178,915
0.182,2088
-0.0112,5992
0.0938,2734
0.218,1970
-0.0914,7869
0.746,137
-0.169,9479
0.135,419
-0.107,7365
0.0533,3951
-0.316,9711
-0.0378,6495
0.335,34
-0.0718,7540
-0.0427,6138
0.119,1909
0.0786,2964
-0.0391,6790
-0.0843,8677
0.0628,2902
0.0357,4412
-0.0254,5270
-0.136,7556
-0.159,10153
-0.0966,7920
0.242,1247
0.224,1209
0.158,2975
0.25,2270
-0.0837,6894
-0.117,8886
0.204,895
0.0549,3823
0.036,4192
-0.0761,5793
0.00574,5014
-0.128,9437
-0.0342,6712
0.289,1319
0.0322,3805
-0.119,6501
0.357,430
0.0296,3885
0.0998,2096
-0.095,7680
0.0486,4273
-0.172,8933
0.0145,4879
-0.163,9005
0.209,257
-0.00325,5260
0.126,1953
-0.127,7685
-0.0834,6800
