coef,rank
0.118,3492
-0.165,8988
-0.199,10535
-0.107,6745
-0.711,8714
-0.437,8960
0.314,2332
0.203,1283
0.0721,2769
-0.41,10935
-0.0322,5912
-0.278,9838
-0.116,8447
0.0763,2539
0.11,2471
0.244,1340
-0.425,9705
-0.0743,5522
-0.0163,6247
0.0859,1563
0.0386,4166
-0.228,10682
0.486,708
0.266,2037
-0.171,9555
0.441,206
-0.0571,6091
0.102,3098
-0.0875,8733
-0.372,8041
0.0529,4161
0.204,757
-0.184,9087
-0.0684,5858
-0.161,8544
0.436,579
-0.0561,7132
-0.0901,8959
-0.23,10298
-0.34,10009
0.0364,4559
0.0856,3460
0.085,2677
-0.00411,5717
-0.226,9711
0.151,1739
-0.0572,6534
0.322,1186
-0.101,9673
-0.0468,7929
-0.251,9650
-0.07,7604
-0.227,9305
-0.121,7711
-0.224,9434
-0.0717,8152
0.0704,3155
-0.368,10230
-0.106,6496
0.08,3756
0.0419,3458
0.44,6
0.279,1323
-0.176,8683
0.178,635
-0.068,8383
0.00371,5187
0.041,3888
0.033,4495
0.0358,4099
0.149,2043
0.358,2114
-0.0796,7670
-0.0548,6962
-0.22,10059
-0.246,9440
-0.242,8228
-0.121,9204
0.0393,4170
-0.159,9944
0.0748,3553
-0.0806,7445
0.503,1010
-0.345,9860
-0.0545,7597
-0.0925,8351
0.34,313
-0.0974,7012
0.206,1360
0.396,847
-0.0503,7478
-0.0534,8006
0.205,1675
0.359,457
-0.116,7027
-0.171,8187
-0.126,7694
0.114,1897
0.0834,3903
-0.0295,6937
-0.178,9314
-0.0683,6861
0.124,1910
-0.181,10174
-0.142,9162
-0.173,8985
0.408,1058
-0.165,8190
0.00145,5223
0.493,87
0.33,618
-0.25,10357
0.472,1757
-0.209,8852
-0.0264,6546
-0.106,9608
0.252,1641
0.326,278
0.00929,4971
-0.254,9931
0.22,1233
0.11,1587
-0.1,8932
0.119,1597
-0.185,8248
0.306,2189
0.0705,2790
-0.383,10843
-0.241,9660
-0.0425,6154
-0.11,7537
0.0777,3719
0.0313,4315
-0.191,10119
-0.218,8787
-0.139,9577
-0.296,6161
-0.167,7264
0.0513,3428
-0.268,10802
-0.0325,5985
-0.0985,9162
-0.227,9096
-0.0103,5728
0.0123,4896
-0.0653,7493
0.0351,4441
0.0161,4870
-0.0862,8488
-0.102,6985
0.0831,2887
-0.0353,6780
-0.428,6675
-0.0164,5435
-0.0357,5520
0.00647,5093
-0.145,9729
0.0274,4740
-0.068,6441
-0.272,10489
-0.0392,6513
-0.0582,7226
-0.0198,5883
-0.0104,5896
0.0398,4175
0.159,2188
0.0255,4464
-0.0834,8434
0.468,172
0.144,1368
0.124,2750
-0.0266,5379
-0.0359,6510
0.063,2905
0.0633,2008
-0.173,9760
-0.0662,7579
0.426,381
0.488,1509
0.11,1193
-0.14,9434
-0.0857,7432
-0.153,9057
0.0745,3466
0.12,1358
0.0296,3399
-0.0168,5889
-0.0429,6675
0.336,830
-0.136,9342
-0.0321,5140
-0.0058,5522
0.00161,5360
-0.137,10683
-0.122,9014
0.000191,5175
-0.301,9235
-0.135,9186
-0.065,6648
0.22,1487
0.0892,2295
0.0162,4839
0.0646,3266
0.865,74
0.0835,2147
0.297,359
-0.038,6246
0.837,243
0.14,2326
0.277,1073
0.0576,3470
0.227,174
0.32,275
-0.292,10154
0.474,332
0.0167,4682
0.0909,1373
-0.0155,6015
0.0552,3936
0.45,225
-0.0879,6521
0.0249,4637
0.266,1060
-0.106,9155
-0.0969,9327
-0.205,8925
0.469,622
-0.0907,7860
-0.0844,8330
-0.105,9384
0.155,853
-0.219,9781
0.0666,4040
0.223,1467
-0.172,8186
-0.000136,5454
0.107,2799
-0.159,8523
-0.116,7011
-0.0791,6762
0.0652,3894
1.65,519
0.745,362
-0.323,10948
-0.0459,6263
-0.0314,6174
-0.2,10568
0.0361,4570
0.191,1983
0.0767,3352
-0.744,9379
0.00263,5192
-0.138,9824
0.0114,4890
-0.215,8378
0.273,2194
0.266,2061
-0.121,5867
0.0792,3232
-0.176,9819
0.19,1161
-0.171,9664
-0.118,8206
0.107,3089
-0.0777,7639
-0.0433,6318
-0.094,6443
0.102,2943
-0.0306,6325
-0.211,8736
0.0975,3213
-0.171,10827
-0.123,8560
0.0556,3849
0.162,2549
-0.19,9718
-0.175,9285
0.0102,4911
-0.00546,5538
0.0631,3835
0.228,1816
0.21,969
-0.0634,7098
0.148,2863
0.207,1544
-0.0339,5964
0.55,147
-0.122,8397
-0.00314,5651
-0.0757,7389
0.355,485
0.372,824
0.0173,4963
-0.116,7562
-0.179,10698
0.002,5335
0.127,3477
0.268,562
0.0137,4947
-0.0711,6051
-0.122,8515
0.159,1276
0.169,1454
-0.278,10174
-0.0969,7735
-0.257,8658
-0.00449,5424
-0.0946,7075
-0.237,10553
-0.116,6861
0.201,2261
-0.0461,6591
0.277,67
0.0702,3349
-0.0861,7839
-0.099,6415
-0.2,8678
0.0892,3662
0.0316,4612
-0.0758,6334
0.0905,3858
0.121,2702
0.0102,4882
0.168,3481
-0.0457,7013
0.132,2236
-0.13,9187
-0.0413,6201
-0.0476,7222
0.191,2817
-0.0495,7377
-0.19,10247
-0.0765,6623
-0.249,9329
0.0968,2692
-0.152,6997
0.107,2053
0.129,1528
-0.0131,5844
0.205,656
-0.322,10890
-0.102,7114
-0.035,6656
-0.187,7908
-0.358,9941
0.0221,4321
-0.0649,8179
0.155,2134
0.201,763
-0.0238,5964
-0.0905,5048
-0.0302,5082
-0.19,4673
-0.36,7295
0.136,3537
-0.446,8841
0.335,1091
0.698,21
-0.226,10198
-0.00998,5416
0.109,1217
-0.052,7881
-0.651,9424
-0.118,7629
0.306,880
-0.038,6148
-0.135,8675
-0.0196,6323
-0.0139,4704
-0.196,9259
-0.00619,5789
0.052,4063
-0.173,8316
-0.043,6794
0.091,3363
0.168,2508
-0.311,9926
-0.441,9638
0.195,1725
-0.0851,8268
0.296,1466
0.0679,2336
-0.305,10321
0.204,3060
-0.0065,5550
0.00449,5183
-0.0389,6373
-0.0934,7351
0.373,1950
0.186,1981
-0.0309,6296
-0.128,8836
0.138,2368
0.333,1500
0.0991,3188
-0.494,10626
-0.168,9081
0.0212,4595
-0.424,10037
-0.239,10487
0.435,259
0.099,2870
0.203,1079
0.197,972
-0.0494,6637
0.0869,3405
0.0102,5092
-0.3,8283
-0.0035,5878
-0.0961,8231
0.262,1074
-0.117,7447
0.224,1613
-0.138,7957
-0.123,9512
-0.0507,8514
0.0362,1614
-0.186,9387
0.617,634
0.0634,3604
0.0452,4465
-0.132,10074
-0.039,5987
-0.144,8142
-0.158,8208
-0.421,9793
0.283,1141
0.124,1710
0.0561,3677
-0.37,10478
0.115,3088
0.318,531
-0.0315,6296
0.0345,4374
0.26,1083
0.0055,5133
0.504,237
0.183,1143
0.54,263
0.0301,4489
-0.00381,5592
-0.532,8592
0.0283,4924
0.142,2774
-0.133,6934
0.131,1587
0.0636,4161
0.0176,5065
-0.318,8830
-0.11,7194
-0.0696,6064
-0.0884,8156
0.336,1394
0.000437,5348
-0.23,10305
-0.162,7718
0.196,1525
0.157,611
-0.0494,7819
