coef,rank
0.237,2112
-0.386,10916
-0.0834,8319
0.241,2071
-0.67,8492
0.411,2350
-0.137,6497
-0.0363,6418
0.0036,5021
0.415,208
0.46,169
-0.131,7675
0.286,408
-0.0889,8694
-0.0243,6259
0.238,1383
0.507,1114
0.0965,3856
0.0772,2369
0.0491,3030
-0.134,8900
0.206,695
0.598,382
0.0147,5064
0.0769,3348
0.181,1798
-0.03,5570
-0.149,8121
-0.0336,6939
-0.364,7968
-0.276,10249
-0.0765,7747
-0.123,7957
0.0214,4705
-0.198,9182
-0.286,9746
-0.0865,7981
-0.052,7571
-0.133,8741
-0.104,6742
-0.00442,5452
-0.415,10901
-0.271,10909
0.0329,3594
-0.273,10276
-0.0975,7832
0.358,627
-0.076,6102
-0.0118,5890
-0.0626,8667
0.184,2298
-0.0632,7419
0.0389,4436
-0.0219,5704
0.0662,3594
-0.0683,8019
0.129,1974
-0.209,8354
0.0346,4681
-0.323,10093
-0.0172,6133
-0.163,10176
-0.026,5750
-0.334,10520
-0.0714,8134
-0.146,10492
0.146,2012
-0.0222,6380
-0.105,8452
0.136,1499
-0.0988,7740
-0.626,10470
0.0729,3031
-0.0333,6313
-0.0305,6228
0.092,3558
-0.375,9676
-0.0813,8167
0.22,752
0.163,1204
0.0919,3149
0.401,161
-0.652,10823
-0.054,5942
0.194,533
0.011,4952
-0.0372,6486
0.0919,3852
0.0126,4772
-0.282,9332
-0.0295,6689
0.0173,4559
0.0811,3572
-0.353,10704
-0.173,7964
0.0988,3482
-0.223,9306
-0.118,9153
-0.0755,6213
-0.0252,6751
-0.129,8400
0.154,2319
-0.0898,8356
-0.0889,8170
0.186,1064
0.0939,3400
0.123,3401
-0.269,9640
-0.0427,6173
-0.088,7325
0.157,2236
-0.096,7765
-0.272,7396
0.483,410
0.144,1301
-0.055,7964
-0.273,9757
-0.226,10428
0.126,1352
-0.0126,5633
-0.305,10738
0.184,467
0.0243,4488
0.114,1720
-0.188,8299
-0.0571,5611
0.0926,2180
0.318,611
0.467,343
-0.107,7728
0.0973,3511
-0.0959,7238
-0.137,9580
-0.0648,7459
-0.0638,6248
0.12,1822
-0.354,6537
-0.347,9259
0.012,4764
-0.0701,7572
-0.0887,6959
-0.271,10999
0.255,1660
-0.253,10297
-0.177,9457
-0.153,9555
0.166,2470
0.132,2604
-0.165,10222
0.0231,4763
-0.238,10634
-0.0113,5891
-0.308,6005
-0.05,6209
0.02,4862
0.0185,4805
0.08,2933
-0.153,9163
-0.184,8264
-0.183,9473
0.00848,5164
-0.104,8434
-0.205,9680
0.155,343
0.048,4020
-0.107,8222
0.0939,2405
-0.105,9088
0.2,1801
-0.0324,6609
-0.0893,7449
0.116,3499
-0.00801,5493
-0.0381,6644
0.0455,2780
0.192,911
-0.084,8152
0.225,1660
0.387,2045
0.022,4261
0.101,2677
-0.0537,6704
-0.253,10441
0.0335,4480
-0.204,10697
-0.0871,9780
-0.215,10615
0.21,976
-0.253,9676
-0.0829,7979
0.191,3189
-0.0323,6416
0.0184,4777
0.0657,2294
0.224,538
0.0632,3846
-0.166,7403
-0.0455,6845
-0.245,9751
-0.232,9829
0.0496,3475
-0.0521,6204
0.0286,4189
-0.346,9842
-0.145,10172
-0.0289,6292
0.171,2009
-0.488,10331
0.171,1854
0.0193,4988
-0.198,10364
0.137,1002
-0.133,8920
-0.0508,6285
-0.00675,5373
0.278,954
0.12,706
0.136,1707
0.0395,4296
0.187,1948
-0.183,8138
-0.125,7119
-0.335,10731
-0.0375,6758
-0.0383,7122
-0.158,8173
-0.135,7337
-0.214,10059
-0.171,10245
-0.0725,8401
-0.0441,7329
-0.147,8634
-0.214,9912
0.00227,5354
-0.209,8755
0.0388,3379
-0.00853,5262
-0.125,7884
-0.207,8313
0.0852,3180
-0.0738,6537
-0.402,6989
-0.159,7299
-0.154,9499
-0.271,10460
-0.0855,7369
0.0361,3989
-0.0992,7920
-0.107,7703
-0.108,8185
0.139,4512
-0.0159,5506
-0.109,9166
-0.0316,6803
0.00846,5062
0.0596,4430
0.292,1869
-0.338,8372
0.34,212
-0.142,9168
0.174,1364
0.171,1481
-0.219,9862
0.117,2932
-0.145,9267
-0.113,7922
-0.367,9970
-0.108,8402
-0.0286,6274
0.369,830
-0.111,8339
-0.0173,6291
-0.0104,5389
-0.138,8433
0.0499,4436
0.0861,3085
0.0308,4320
-0.107,7175
0.147,2416
0.0542,4039
0.0471,4527
0.504,13
-0.142,9077
-0.12,7986
0.0259,4661
-0.0246,5776
0.712,40
0.178,1753
0.182,470
-0.0125,5748
0.153,2278
0.121,3301
0.145,2781
0.0973,3397
-0.0298,6849
0.0881,2522
0.0563,4414
-0.124,8387
0.0502,4347
-0.223,8474
-0.326,10894
0.0593,3417
-0.0753,7430
-0.0941,7165
0.0437,4293
0.268,1859
-0.146,10333
0.0137,4874
0.0846,2978
0.00248,5156
0.325,1329
0.0322,3961
-0.0318,6533
-0.0939,8141
0.107,2782
0.131,3594
-0.225,9015
-0.0616,6724
-0.271,9492
0.0518,4291
0.333,1247
-0.106,8120
0.419,502
-0.275,8306
0.00285,5199
0.0781,3349
0.0137,4875
0.101,2721
0.0516,3083
0.071,4245
-0.069,8135
0.00683,5172
0.0476,4403
-0.089,6722
-0.131,9025
-0.0537,5675
-0.142,9546
-0.0039,5539
0.131,1679
-0.0121,5781
-0.136,8980
-0.452,10889
-0.124,9501
-0.603,10921
-0.09,6406
0.0593,2721
-0.0156,6078
0.0653,3739
0.0664,3226
-0.221,10190
-0.994,10394
-0.351,8361
-0.413,6309
-0.256,6362
-0.251,8292
-0.772,10611
0.117,3302
0.097,3486
-0.257,10482
-0.0822,7234
0.00103,5360
-0.0997,9682
-0.622,9226
0.365,622
-0.0736,6709
-0.0683,6725
-0.121,8400
-0.00689,5736
0.139,3124
-0.207,9427
-0.0167,6079
0.222,1335
-0.117,7343
-0.14,9606
0.0222,4864
-0.386,10466
-0.172,8038
-0.194,7286
0.101,3255
0.0413,3946
-0.146,7405
0.0459,3189
-0.124,7786
-0.0928,6141
-0.34,10976
0.055,3744
-0.0251,5998
0.236,1241
-0.494,9886
-0.119,7630
-0.077,7876
0.331,210
-0.0491,6710
0.242,2221
-0.0845,7395
-0.444,10372
-0.195,9544
-0.0966,8611
-0.33,9233
0.058,3724
-0.00724,5350
0.117,2484
-0.0869,7664
0.118,2206
-0.0895,7634
0.0621,3867
0.0524,4283
1.12,139
-0.0352,8771
-0.119,8848
0.518,85
-0.246,9357
0.277,1120
-0.159,8334
-0.0308,6607
-0.0528,8600
0.0106,4212
-0.242,10137
0.153,3405
-0.346,10877
-0.523,10582
-0.125,9940
0.092,3496
0.0994,3249
-0.129,7673
-0.201,7338
0.00854,5264
-0.196,10607
-0.146,8615
-0.214,8904
0.25,1358
-0.158,9042
-0.0156,5670
0.103,2411
-0.0345,6233
0.0248,4647
-0.0348,5979
0.0593,3650
0.0219,4821
0.0635,3495
0.032,4050
-0.274,5645
-0.0105,5437
0.685,53
0.407,1285
0.142,1383
0.304,941
0.163,2730
0.348,1886
0.0348,4424
-0.244,8477
-0.0731,7704
-0.151,7240
0.381,1071
-0.201,9992
0.0271,4840
0.0889,3315
-0.00771,5749
0.142,762
0.441,331
-0.18,8985
-0.172,9521
-0.116,8655
-0.0843,8456
0.297,1431
-0.203,9093
0.317,1215
0.0107,5454
-0.0939,6938
-0.166,9336
-0.239,10691
0.0884,3555
0.0709,3624
0.0375,4087
0.23,849
-0.192,9756
-0.0239,6138
0.0083,4850
0.141,3591
-0.00622,5274
0.262,735
0.0381,3918
0.0489,4169
-0.0569,7423
0.00783,5018
0.01,4981
0.113,2412
-0.0435,6832
0.469,4
-0.212,10356
-0.0471,6962
0.0164,4977
0.0426,4201
0.0616,895
-0.123,8706
0.178,815
0.413,1206
-0.356,9259
0.324,144
0.00881,4967
0.17,893
-0.155,8797
-0.00737,5248
-0.0268,5244
-0.168,9219
-0.191,10909
-0.157,10161
-0.216,7932
0.161,2197
-0.455,9829
-0.26,9791
0.017,4591
-0.103,9282
0.244,2720
-0.168,6992
-0.0717,6134
-0.135,7036
0.043,3449
-0.106,8936
0.0303,4421
-0.018,5748
0.176,2694
0.0727,3531
-0.201,10630
-0.167,9157
0.366,2261
0.172,2735
-0.123,7455
0.0246,4612
-0.125,9387
-0.00255,5567
-0.0852,6985
0.000102,5573
-0.159,9191
0.167,2856
0.0102,4835
0.0218,4396
-0.424,8284
1.09,491
0.105,4193
0.674,1603
-0.0354,6461
0.0371,4626
-0.364,11009
-0.291,10370
-0.226,9576
-0.0489,6625
0.00778,4893
-0.0969,7529
0.138,2299
-0.169,9347
-0.184,7145
-0.555,9689
0.0306,4316
0.237,1382
-0.0443,6074
0.0177,4547
-0.00371,5376
-0.381,10864
-0.0241,5909
-0.145,8109
0.302,423
0.272,317
0.149,2427
0.373,367
-0.127,9326
0.0196,4732
0.118,2565
-0.0817,7716
-0.0572,6231
-0.077,8193
-0.188,10170
0.263,1572
0.271,751
0.181,1818
0.317,593
0.078,3779
-0.093,7955
-0.0035,5466
0.519,880
0.0443,4014
-0.0917,6758
0.342,2597
-0.0584,7263
-0.0763,7359
-0.0351,5584
-0.00752,5680
0.0496,3682
-0.00864,5439
-0.173,10035
0.0939,2573
0.345,248
-0.123,9142
-0.0222,5388
0.139,3502
-0.118,10291
-0.0689,6948
-0.0768,6579
0.148,1991
0.296,847
-0.0754,7554
-0.0211,6070
0.211,907
-0.373,10659
-0.143,7542
-0.261,10495
0.453,595
0.0465,3811
-0.247,10911
-0.196,7881
-0.0219,6346
0.662,356
-0.322,7934
0.138,1933
0.128,2053
-0.00718,5503
-0.262,10556
-0.00872,5053
-0.153,8519
-0.0341,6257
-0.0211,6222
0.095,1592
0.177,1315
-0.148,9131
-0.16,9109
-0.0728,7480
0.12,3328
0.0132,4646
0.635,259
-0.375,8023
0.135,1866
-0.104,9288
0.00597,5138
0.197,854
0.169,2546
0.299,915
-0.139,9956
-0.00943,5952
-0.204,10350
-0.264,9563
-0.145,7941
-0.104,6909
-0.119,7991
-0.3,10474
-0.525,10939
-0.0675,6983
-0.346,10078
-0.108,8260
-0.0728,8189
0.0026,5116
0.111,3045
0.0396,4192
0.00817,4938
0.096,3504
-0.0274,6903
-0.191,7709
-0.216,6637
-0.0425,4091
0.159,3283
-0.0546,5496
0.725,122
0.0896,3723
0.0931,2868
0.0713,3699
-0.107,8905
-0.0502,8323
0.578,162
-0.268,8823
-0.452,10057
0.141,1549
-0.132,8848
-0.000257,5364
-0.144,8070
0.0312,4388
0.207,2261
0.165,1060
-0.0873,7738
-0.0924,7485
-0.129,6860
0.304,1089
0.0226,4970
0.255,1477
0.0264,4457
0.158,1318
-0.303,9573
0.0349,4309
-0.162,8546
0.0582,4420
-0.105,8703
-0.0361,5792
0.0665,3978
0.588,1005
0.0603,3965
-0.00393,5314
0.0806,3112
-0.02,5767
-0.319,10103
0.0244,4594
0.148,2650
0.247,1863
0.178,2296
0.33,228
0.115,2999
-0.152,6128
-0.0804,6687
-0.216,9327
-0.149,8973
-0.0553,6925
-0.0994,8763
-0.194,9729
-0.231,7263
-0.878,9274
-0.0716,7721
0.15,790
-0.0584,7594
-0.0832,7136
-0.0465,7547
-0.114,7095
-0.104,7912
0.164,1065
-0.104,6459
-0.0458,6058
-0.379,10759
0.0711,3931
-0.151,8520
-0.077,8042
0.474,522
0.246,1939
-0.231,7120
-0.11,7052
-0.024,6141
0.0161,5302
0.0647,3890
0.0717,3427
0.104,2793
-0.372,9612
0.0718,3610
0.399,176
0.609,11
0.157,1303
0.746,535
1.24,593
-0.0578,7368
-0.0381,6774
-0.175,9741
0.0683,3530
-0.278,10371
-0.0984,6689
-0.096,8538
0.248,618
-0.241,10169
0.119,3549
-0.0744,7257
0.0541,3595
0.0726,3332
-0.109,9694
0.148,1753
-0.205,8683
-0.125,10078
0.0425,4306
0.0692,4216
-0.199,10651
-0.2,9447
0.116,2883
0.326,718
-0.421,10209
-0.214,9864
0.0598,4134
-0.0901,7463
-0.295,8913
-0.2,8460
-0.381,10940
0.0427,3797
-0.349,9951
1.84,9
-0.218,9302
-0.413,10728
0.013,5077
-0.021,6156
0.0229,4781
-0.168,8048
0.044,3732
-0.619,10454
0.566,815
-0.189,9415
-0.0155,6319
0.238,1196
0.178,2458
0.134,2038
0.124,3203
-0.0972,8381
0.0198,4731
-0.0206,7589
-0.00728,6508
0.0117,3941
-0.0192,8739
-0.0653,11016
-1.03,9364
0.189,1731
-0.116,5575
0.374,2776
-0.688,8342
-0.182,9350
-0.195,9071
-0.43,9146
0.844,6
0.0759,4137
-0.0464,6904
-0.104,7210
-0.192,5235
0.254,839
-0.378,10482
-0.0182,6359
-0.0859,7393
-0.109,7893
0.204,2616
-0.679,11026
0.0774,4204
-0.172,8168
0.0244,4567
0.02,4883
1.4,441
-0.00278,5176
0.07,3939
-0.877,8800
0.0491,4283
-0.0363,6646
-0.293,9929
-0.143,9025
-0.0833,8707
0.0716,2693
0.344,874
-0.227,8818
-0.0176,5962
-0.599,10800
-0.0806,7326
0.0105,5071
0.0698,1846
-0.0167,5545
0.0414,4080
-0.0405,6408
-0.297,9607
0.108,2850
-0.00835,5433
-0.034,5913
0.175,1972
-0.0623,6886
-0.0107,5977
0.131,1519
-0.14,8786
0.02,4711
-0.0557,7474
0.0389,4476
-0.135,6814
0.104,2958
-0.0549,6732
-0.782,10195
-0.259,10808
-0.108,6988
-0.216,9341
-0.116,8741
0.719,6
-0.326,9809
-0.141,9978
-0.0915,6426
0.274,421
0.0838,2379
-0.0111,5583
-0.22,10499
0.0173,4728
-0.118,7787
0.553,535
0.067,3095
-0.0306,6559
0.166,3642
-0.142,7891
-0.0491,6845
-0.0486,6485
-0.0596,7038
-0.0756,8400
-0.768,8372
1.48,1119
0.0602,3382
-0.631,10330
0.068,3449
-0.0229,6509
-0.00434,5246
-0.243,10635
0.0289,4858
0.00069,5634
0.0283,4757
0.0209,4646
-0.555,9710
-0.899,10025
0.0481,4042
-0.121,7286
-0.214,9406
-0.239,10022
-0.226,7445
0.0546,4066
-0.107,8718
0.102,2863
-0.0867,7684
0.304,670
-0.00698,5429
-0.285,10710
0.192,1539
-0.0626,7213
-0.221,10130
-0.29,9826
0.111,2191
0.0387,4457
0.0284,4548
0.177,1720
-0.223,10161
0.687,536
-0.0324,5643
0.172,1941
0.444,330
-0.0203,5821
-0.0811,7616
0.113,3236
-0.168,9471
-0.315,10508
0.217,389
-0.0503,7044
-0.0484,8330
0.128,2848
-0.22,10146
-0.143,8221
-0.0997,9773
-0.166,8774
0.164,808
0.37,1993
0.0976,3399
0.169,2902
-0.296,9938
-0.0761,8474
-0.241,10007
0.208,3081
0.387,180
0.285,358
0.496,763
-0.075,7971
-0.101,7661
0.246,2167
-0.118,7992
-0.0426,6159
-0.17,8071
-0.0797,9043
-0.0818,7967
0.189,2632
-0.0765,7852
-0.132,7390
0.171,3071
-0.11,7208
-0.0587,6583
0.196,1681
-0.396,10892
0.0139,4971
-0.0984,7296
0.208,2783
-0.0685,6235
0.182,2946
-0.0983,8769
0.077,3484
0.0502,4208
-0.244,8419
-0.197,7154
0.856,1492
-0.015,5936
-0.0704,7507
-0.156,6775
0.237,987
0.293,1891
0.0295,4869
0.0225,4820
-0.0233,6295
-0.0913,9577
-0.129,7807
0.121,1584
-0.0823,8091
0.172,788
0.178,1083
-0.367,10808
0.0228,4537
0.197,2477
-0.511,10591
-0.00593,5596
0.302,616
0.218,1256
0.147,2604
-0.116,7825
-0.0391,6199
0.185,2143
-0.101,8363
0.163,2212
-0.143,7617
0.124,3488
-0.000803,5420
0.149,1732
0.254,1969
-0.11,7150
-0.0597,7387
-0.0617,6586
0.0209,4700
0.128,86
0.871,19
-0.158,5493
0.0932,3951
-0.297,10755
0.0972,2221
0.0951,2853
0.273,1187
-0.0224,6217
-0.0039,5042
0.00226,5300
0.195,1875
-0.127,9862
0.554,110
-0.0101,5576
-0.197,6397
-0.126,7259
0.217,2331
-0.352,10990
0.582,157
0.211,1507
0.143,2877
0.302,1486
-0.109,8764
-0.0607,7017
-0.164,6753
-0.029,6259
-0.144,8220
0.441,1571
-0.248,10681
0.0946,2933
0.107,3357
-0.193,9292
-0.309,9926
0.0421,4442
-0.321,10774
-0.147,9250
-0.248,10324
0.0639,3913
0.106,1882
-0.486,8594
0.105,1227
0.0359,4517
0.347,895
-0.157,7979
-0.0663,5814
-0.0494,6557
0.236,1457
-0.183,8059
-0.149,7761
-0.0386,6410
-0.0458,7658
-0.0371,6142
0.182,795
-0.107,8425
0.0545,3493
0.0217,4723
-0.263,9975
0.218,1539
0.124,1232
-0.126,8879
0.0284,4263
0.0901,3223
0.0751,3256
-0.163,8001
-0.112,8545
0.0371,4082
0.143,3563
-0.0706,6616
-0.152,8699
-0.112,7092
0.249,798
0.213,797
0.281,1300
0.045,4165
1.2,1123
0.0812,3204
0.299,585
-0.178,9412
-0.0109,5727
-0.103,7252
-0.0283,6159
0.191,1631
-0.0771,7826
