coef,rank
-0.266,9042
0.204,1526
-0.119,9271
-0.224,8472
-0.845,9386
-0.159,6005
-0.127,6378
-0.305,10828
-0.127,9240
-0.0771,6908
0.062,3819
-0.0642,6402
-0.0585,6922
0.0286,4172
0.0761,3322
0.0338,4670
-0.19,7188
-0.252,7644
-0.0849,9042
-0.0121,6302
-0.145,9116
0.12,1910
-0.124,6799
-0.354,9804
0.0256,4680
0.0343,4372
-0.0764,6414
0.0649,3752
-0.0225,6507
0.0155,4448
-0.123,8064
0.0953,2572
0.0888,3599
0.157,3158
-7.07e-05,5139
-0.0577,6374
-0.0928,8158
-0.15,10331
-0.21,10043
0.0112,4873
-0.0064,5491
0.0767,3645
-0.0385,6683
0.035,3473
0.13,2640
-0.0417,6347
-0.0517,6438
-0.189,7930
-0.114,10013
-0.00875,5882
0.168,2520
0.0109,5298
-0.0407,6044
0.0295,4661
0.00495,4878
-0.0371,6791
-0.00442,5270
-0.0493,5813
-0.0185,5325
-0.129,7421
-0.089,9058
0.17,1098
0.34,898
-0.223,9422
0.0227,4527
0.0436,3269
-0.112,8219
-0.0624,7890
-0.0227,6160
0.0467,3750
0.297,567
-0.484,9751
-0.182,9971
-0.0853,7797
0.0466,4316
-0.0216,5585
-0.159,7176
-0.0853,8267
0.069,3334
0.0172,4881
0.0479,4286
0.0464,4080
0.329,2005
-0.112,6832
-0.175,10539
0.241,383
0.412,128
-0.138,7705
-0.196,9331
0.387,888
-0.123,9710
0.00371,5232
0.274,981
0.0626,3873
0.0326,4569
0.24,1786
-0.229,9382
-0.0476,7025
0.549,494
0.00218,5535
-0.00695,5429
0.344,525
-0.0149,5949
0.147,1452
0.00658,4982
0.076,3732
0.584,427
0.0483,4363
0.176,2143
-0.149,8615
-0.0681,6636
0.00144,5168
-0.142,6082
0.422,622
-0.0235,6427
0.0248,4372
-0.00207,5423
-0.236,10515
-0.0287,6506
0.0661,3959
0.247,948
0.0214,4399
0.106,1945
0.0948,2201
-0.0702,6399
-0.229,7705
-0.0151,5901
-0.0592,6626
-0.0435,6349
-0.0747,6929
0.33,847
0.0266,4697
-0.0835,8238
-0.111,8652
-0.062,6220
-0.0457,6937
0.541,2316
-0.348,9274
0.191,585
-0.181,10024
0.181,2807
-0.0236,6532
-0.12,7416
-0.0302,6204
0.279,617
-0.125,8965
-0.0857,6575
0.199,1592
-0.0316,6744
0.209,2160
0.143,1579
-0.0361,6814
-1.51,10466
0.224,1328
0.215,2869
-0.255,10100
0.00664,5208
0.0576,4032
-0.296,9731
0.133,2405
-0.0883,7807
0.0239,4633
-0.0297,6122
-0.0386,7401
-0.134,8504
0.0273,4991
0.0789,2782
-0.0908,8653
0.0862,3654
-0.121,9274
0.161,2143
-0.193,7847
-0.0219,5987
0.0242,4234
-0.0256,6937
-0.0356,6260
-0.115,9069
0.194,1986
-0.114,6455
-0.0504,7647
-0.0909,8276
-0.177,9262
-0.193,9736
0.367,221
-0.0629,7583
0.0999,789
0.137,1570
-0.0558,7062
0.107,3174
-0.0274,6305
-0.367,8761
0.113,2158
-0.0202,6123
0.0214,4423
-0.156,9757
-0.00553,5307
-0.201,7904
0.316,170
0.00943,5122
-0.253,10062
-0.118,9426
-0.0893,6914
0.0741,3030
0.216,2540
-0.0399,6899
-0.0547,7027
-0.0797,7210
0.178,3120
-0.157,9067
-0.174,8981
0.144,1526
0.113,1491
-0.0758,7457
-0.0834,6934
0.101,3472
-0.149,8191
0.0736,1937
-0.0413,6915
-0.121,8269
0.0268,4793
-0.271,9408
-0.262,9127
0.286,909
-0.203,10717
0.0172,4477
0.373,718
0.386,1016
0.293,604
0.0839,2710
-0.0397,7155
0.0286,4327
-0.0774,7072
-0.0131,5856
-0.127,8184
-0.0355,5825
0.0597,2437
0.0506,3931
-0.0369,6029
-0.046,5913
-0.0723,6615
-0.0713,6490
-0.372,6710
-0.142,7078
-0.045,6753
0.0388,4087
-0.0899,7470
0.0902,2405
-0.0893,7719
-0.293,10396
-0.241,10408
-0.92,9953
-0.394,10399
-0.0188,6087
-0.195,10808
0.129,3449
-0.357,9740
-0.254,8533
1.36,163
0.0649,3609
-0.148,9300
0.161,1543
0.274,453
-0.0979,7817
-0.323,10700
-0.104,8338
0.0399,4271
0.114,3353
-0.157,9408
0.161,1871
-0.378,10510
-0.0797,7625
-0.00124,5516
-0.15,9161
-0.154,8732
0.38,589
-0.167,9315
-0.186,9484
0.216,1732
-0.179,9223
0.266,939
-0.054,6519
0.156,1660
-0.0109,5594
-0.156,8556
0.00513,5140
-0.163,8312
-0.262,9721
-0.116,8262
0.00672,5197
-0.0423,6500
-0.132,7891
0.406,677
0.00377,5234
0.127,2907
0.163,753
0.0966,2304
-0.0404,5776
0.215,1032
-0.16,7806
-0.0365,5455
0.0492,3941
-0.00401,5294
-0.0176,5827
0.442,220
-0.0197,5855
-0.323,9477
0.0508,2956
0.121,2799
0.109,2417
0.104,3721
0.33,1298
-0.276,10915
0.177,569
-0.202,10228
0.0862,3255
-0.262,8474
-0.0692,6590
-0.19,9181
-0.16,7924
-0.173,7971
-0.245,9219
-0.0258,6106
-0.0181,5398
-0.0489,5663
0.0552,3185
0.234,879
0.104,2341
-0.186,9547
-0.115,9556
0.0953,3921
0.0873,2145
-0.0119,5808
0.23,2057
-0.264,9521
-0.0872,7958
0.553,770
0.144,1354
-0.186,10564
-0.0106,5755
0.0129,4919
0.109,2674
0.261,1484
-0.0123,5807
0.00749,5040
0.118,3461
0.049,3125
-0.0499,7548
-0.119,7670
0.159,1264
-0.122,8459
0.000575,4500
-0.163,6402
-0.00875,3608
-0.0909,4980
-0.0587,5822
-0.536,9513
0.511,355
-0.00156,5411
0.0569,3925
-0.146,8657
0.0011,5355
-0.0439,7490
-0.231,6123
-0.198,9005
-0.162,8404
-0.126,7786
0.22,1360
0.0369,3782
-0.347,9112
-0.0226,5836
-0.304,10842
0.0541,4021
-0.135,7660
0.2,632
0.403,247
-0.262,9302
-0.0243,5467
-0.191,7259
-0.00531,5444
-0.0768,8033
0.212,2268
0.0269,4041
-0.334,10529
0.238,2749
-0.0229,6058
-0.229,10501
-0.0267,6035
-0.0455,6258
-0.23,7280
0.124,2851
-0.0176,5834
-0.268,10738
0.172,1813
0.251,2133
-0.0363,6268
-0.0521,5659
-0.0615,6769
0.0629,3233
-0.185,7607
0.105,2643
0.237,1348
0.17,1623
0.0472,4012
0.107,2448
0.227,1288
-0.193,8814
0.299,1061
-0.0226,5191
0.00331,5197
-0.00932,5519
-0.0798,7025
-0.0209,5820
0.26,1269
-0.0992,7197
0.144,1231
0.0327,3248
-0.000261,5649
0.0844,3248
0.219,2814
0.0391,4199
-0.132,6778
-0.112,9640
0.0257,4686
0.00634,4969
0.267,1216
-0.154,6811
-0.312,10420
0.0702,3036
0.0653,3497
0.151,2796
-0.303,10181
-0.156,9009
0.00277,4938
0.0238,4771
0.231,1383
0.176,1713
0.11,3302
0.0158,4955
-0.148,7724
-0.135,9558
0.0267,4277
-0.406,7170
-0.175,7633
-0.286,9987
0.0519,4518
-0.143,9780
-0.0939,7458
0.287,1389
-0.404,9743
-0.367,10513
-0.15,7159
-0.103,8522
0.331,1427
0.55,417
0.0749,3327
0.264,1993
0.0902,3290
0.156,620
-0.184,10835
0.958,3
0.2,1743
-0.119,8482
-0.0321,6282
0.0314,4163
-0.274,9460
-0.0419,6110
0.0924,3712
-0.088,7751
-0.0259,5710
0.107,2626
-0.033,6494
-0.319,10323
0.266,1030
-0.129,9311
0.127,2230
0.275,503
-0.207,9940
-0.213,10243
0.551,594
-0.214,10255
-0.000835,5507
-0.122,9328
-0.123,6828
-0.116,9113
-0.143,8140
0.194,2482
-0.0673,7252
-0.151,9657
0.0709,3033
-0.0697,7308
-0.103,8594
-0.0355,6337
-0.11,8264
0.0302,2758
-0.151,9258
-0.0786,8188
-0.266,8642
