coef,rank
-0.0441,5848
-0.0438,6384
0.143,1380
0.0746,4008
2.71,167
-0.706,10632
0.168,3419
-0.104,8100
0.239,302
-0.361,10815
-0.123,7844
0.0395,4443
0.349,178
0.0164,4680
-0.065,7465
-0.211,9644
-0.549,10471
-0.138,6310
-0.0748,8696
-0.0325,7466
0.204,998
0.0659,3214
0.309,1654
-0.219,8323
-0.0232,6062
0.0946,3169
0.129,3076
0.154,2321
0.328,58
-0.0596,5023
-0.227,9745
0.153,1428
-0.0101,5599
-0.257,8324
-0.181,8903
0.303,1307
-0.0757,7671
0.0174,4550
-0.0445,6538
0.808,63
-0.015,5658
-0.0376,6006
-0.0895,8345
-0.0229,6780
0.0137,4966
-0.0185,5691
0.229,1652
0.146,2783
-0.0524,7898
0.0657,2212
-0.104,7304
0.201,1206
-0.115,7478
-0.138,8050
0.169,2011
0.152,798
0.179,1237
-0.302,9571
0.401,1399
-0.224,8954
0.113,1299
-0.136,9698
0.17,2485
-0.11,7472
-0.0253,6400
0.134,754
-0.11,8187
-0.0795,8442
-0.255,10728
-0.202,10517
0.134,2304
0.0154,4793
0.221,622
0.119,2130
0.1,3093
0.0952,3494
-0.135,6843
-0.0188,6152
0.0475,3942
0.0459,3921
0.101,2926
-0.0401,6378
-0.0777,6176
-0.161,7551
0.116,1702
-0.136,9445
-0.416,11008
-0.357,10319
0.0139,4744
-0.14,7374
0.00844,5082
-0.0609,8318
0.344,567
0.155,2292
0.183,2474
0.0561,4151
0.0035,5108
0.058,3353
-0.228,8451
-0.101,9459
0.00329,5177
0.254,1103
-0.125,9253
0.204,724
-0.0261,5994
0.238,1305
0.094,3754
0.106,3387
0.155,2431
0.295,624
0.307,751
-0.211,9967
0.595,1242
-0.395,10635
0.026,4543
0.192,304
-0.254,9534
-0.432,11026
-0.16,10330
-0.203,9301
-0.247,10333
-0.0456,7203
0.21,385
-0.0907,8671
0.0449,4542
0.118,3700
-0.0226,6213
0.0443,4277
-0.0231,5950
0.137,2199
0.195,2050
0.0205,4835
-0.0946,8580
-0.00612,5711
0.288,1433
-0.294,10959
0.669,2049
0.24,2635
-0.0974,8629
0.0459,3941
-0.0921,7007
0.012,5070
0.325,1086
-0.209,9788
0.111,2689
0.159,1645
0.0798,3731
0.154,2219
0.0265,4614
0.00208,5163
0.223,605
-0.00465,5621
-0.937,9103
-0.0655,6567
0.413,1430
0.579,29
-0.00416,5576
0.212,1182
0.224,2162
-0.134,8549
-0.295,10751
0.136,1843
0.0592,4062
0.0976,1303
0.215,1110
-0.0143,6001
0.0582,3390
0.18,628
-0.0228,6051
0.227,390
-0.241,10103
0.183,2705
0.173,846
0.166,792
-0.000701,5367
0.0403,3878
-0.0107,5688
-0.34,10636
-0.17,7093
0.102,1370
0.0695,3446
0.0132,5113
-0.173,9421
0.066,3668
0.131,1140
0.0124,4362
-0.0268,6230
0.0962,2752
0.561,157
-0.0309,6413
-0.377,8842
-0.0749,7802
0.203,722
0.0106,4995
-0.198,10371
0.0492,4138
-0.12,6683
-0.214,10419
0.167,2364
-0.109,7708
-0.0671,7990
0.0591,4010
0.0621,3322
-0.136,7302
-0.128,9837
-0.108,8418
-0.185,9311
0.716,425
-0.133,8622
-0.401,10890
0.232,516
-0.0574,7733
0.161,1644
0.188,2098
0.106,3404
-0.281,10157
0.0188,4503
0.00115,5433
0.253,873
0.259,1160
0.391,771
-0.154,7537
-0.1,7699
-0.0488,7190
0.0531,2958
-0.342,10408
-0.213,8637
-0.371,10971
-0.0506,7215
0.074,2699
0.0327,4161
0.133,2633
0.256,1053
-0.0439,6404
-0.0211,5564
0.0161,4536
0.207,1366
-0.137,8126
0.351,1426
-0.0275,5551
-0.218,9151
1.38,782
-0.0937,6384
-0.088,7992
-0.29,10595
0.18,2079
0.0268,4303
0.049,4274
0.237,1416
0.0791,3298
-0.423,7850
-0.104,6950
-0.0237,6288
0.0412,3673
0.35,1482
-0.194,7816
-0.173,7520
-0.214,6972
0.44,49
-0.154,9430
-0.0192,6002
0.0615,3698
0.259,1106
-0.0112,5657
0.339,199
-0.117,8018
0.128,3169
-0.288,10768
-0.205,9999
-0.0736,6384
-0.0119,5875
-0.0419,7544
0.0042,4980
-0.11,7835
-0.143,8269
0.156,1724
0.225,998
0.229,1609
-0.0347,6244
0.00895,5046
-0.176,8734
0.103,2646
0.0704,3293
0.0684,4244
0.000757,5242
0.284,1308
0.656,68
-0.142,8806
-0.059,8049
0.0924,3091
-0.226,9544
0.317,1151
-0.156,8318
0.114,3121
-0.0098,6001
-0.154,9999
-0.0164,5427
0.0888,2962
-0.212,8589
-0.103,6640
0.276,516
-0.235,10656
0.0241,4608
0.134,2484
0.0611,3894
-0.405,10242
0.0102,4716
0.161,2215
0.154,1615
-0.187,7901
0.0105,4779
0.0499,3426
-0.0495,7257
-0.0305,6263
-0.0779,7651
-0.279,8677
0.0371,4770
0.0308,4802
-0.0582,6158
-0.164,7823
0.336,1215
0.059,4013
-0.0277,5563
0.901,341
0.0639,2927
-0.132,8864
-0.0703,7525
-0.273,10553
0.0581,2839
-0.127,6986
0.027,4101
0.0804,2921
0.0317,4660
0.26,1521
-0.134,9108
0.258,2335
0.0161,4677
-0.0914,8699
0.0569,3525
-0.141,9547
-0.181,9757
-0.0244,5609
0.103,2011
-0.0619,6074
0.142,3156
-0.00966,5799
-0.0624,8082
0.126,2588
-0.0355,6400
-0.135,8755
0.566,2252
0.0228,4576
-1.27,10670
0.195,3273
0.49,950
-0.232,6824
0.153,2837
0.126,2969
0.431,109
0.000179,5128
-0.08,8963
0.152,323
-0.247,6263
0.465,264
-0.216,9343
-0.149,8207
0.212,1479
-0.0358,7020
-0.358,9239
0.207,1660
-0.144,9196
0.0242,4669
-0.0146,5473
0.0355,4081
-0.279,10525
0.29,1363
0.329,1097
-0.712,10802
0.161,2189
-0.131,9488
-0.197,8184
-0.045,7617
-0.277,10037
-0.543,10477
0.0607,3607
0.0893,2863
0.167,1435
0.153,2236
0.397,1809
-0.38,10755
-0.196,10404
0.0612,3526
-0.206,9920
-0.0678,6090
0.0183,4878
0.251,2156
0.221,1156
-0.125,9333
-0.518,10535
0.0525,3877
-0.297,10275
-0.0282,6042
-0.0899,7746
0.136,1841
-0.0764,7293
0.0664,3788
-0.0108,5523
-0.789,10940
0.0403,1921
0.213,701
-0.0184,5670
0.1,3890
0.623,54
0.0936,3450
-0.042,7031
-0.074,9546
0.0288,2237
-0.0301,5949
0.148,3456
-0.464,11022
0.107,3754
0.032,3892
0.237,1572
0.0404,4323
0.032,4400
-0.267,8181
-0.11,7624
-0.136,9690
0.244,831
-0.126,7541
0.108,3180
0.00442,5398
0.0794,2334
0.106,2353
-0.0428,6422
-0.152,8791
0.267,1356
0.251,489
-0.32,10019
0.0869,2842
0.101,1637
-0.294,5888
-0.333,9482
0.0424,4425
-0.514,10617
-0.131,9533
0.291,1040
0.299,1301
-0.183,7121
0.0678,3836
0.573,454
-0.107,8612
-0.227,8287
0.287,1725
0.0762,3293
0.166,3003
0.393,233
0.061,2829
-0.179,10802
-0.0768,7029
0.356,531
-0.0716,7351
-0.19,10085
-0.105,9040
-0.0594,6220
0.013,5064
0.276,1513
-0.084,7668
-0.265,9636
-0.164,9300
-0.0256,6261
0.307,1021
0.109,2923
0.0868,2634
0.0916,2939
0.0264,4333
-0.0874,7715
-0.0375,6246
-0.505,10718
0.437,22
-0.198,9955
0.00697,5076
-0.186,7826
0.0146,4912
-0.0899,7053
0.0164,4863
-0.0795,7582
0.0704,3212
0.142,1348
0.0347,4137
-0.117,8917
0.267,714
0.0021,5314
-0.0224,7827
-0.0162,6004
0.0345,4145
-0.0977,6334
0.374,1479
0.0897,2820
0.00949,4940
-0.191,10530
-0.257,10270
-0.0515,6284
-0.639,10657
-0.204,9800
0.0478,2956
-0.0248,6195
0.0635,4232
-0.0956,7791
0.247,2513
0.0107,5114
0.268,1520
-0.137,10029
-0.191,7103
-0.508,10293
0.397,1521
0.16,3306
0.0723,2457
-0.171,10263
-0.0192,6135
-0.0119,5513
0.0833,3857
0.0519,4020
-0.069,7694
0.274,778
1.04,275
-0.277,9410
-0.219,8842
0.498,2067
0.0663,3103
-0.0286,6298
-0.0828,6938
0.0635,4076
0.152,1802
0.131,3370
0.172,937
0.147,549
-0.0687,4922
-0.539,9395
-0.126,6001
-0.966,10746
-0.055,7089
-0.0898,6867
-0.0813,7778
0.0268,4474
-0.317,10474
0.0628,3784
-0.0844,7667
-0.108,7788
0.411,121
-0.129,8576
-0.187,7197
-0.505,9383
-0.051,6794
0.253,1231
0.149,2166
0.144,2072
-0.0542,6529
-0.217,9624
-0.0498,6615
-0.103,7291
-0.0927,7802
0.342,108
0.00224,5109
0.0852,3526
0.15,1477
-0.0417,6801
0.0658,3737
-0.142,9148
-0.381,10470
-0.171,10393
-0.0374,6736
-0.236,9294
0.542,45
0.0787,3591
0.173,1922
-0.228,9858
0.149,1736
0.0417,3517
0.394,1448
0.0222,4576
0.0383,4246
0.242,3199
-0.0067,5606
-0.0733,7281
0.00738,4893
-0.247,10869
-0.166,10134
-0.11,7694
0.0307,4369
0.182,1025
0.111,2747
0.34,55
-0.338,9699
-0.187,7980
0.0309,3787
0.292,872
0.0576,4169
0.121,2457
0.0674,3850
-0.0438,6676
-0.0792,7621
-0.236,10582
0.204,2057
0.0686,3993
-0.00899,5694
0.298,1492
-0.0501,6635
-0.14,9864
-0.124,6810
-0.0419,7272
0.121,3628
0.125,3582
0.15,1706
-0.0403,6751
-0.223,9722
-0.137,8818
0.268,1571
0.128,2829
0.265,469
0.0531,3587
0.0141,4678
-0.225,10520
0.241,921
0.0758,3561
-0.181,9946
-0.693,11032
0.127,1321
0.0564,4309
0.306,2811
-0.0286,6539
0.121,1222
-0.0132,6051
-0.444,11034
0.0427,4585
0.196,1842
-0.252,10957
0.0678,2111
-0.143,9424
0.59,94
-0.212,9011
0.463,435
0.226,1488
0.234,1225
0.974,16
-0.117,8159
-0.424,10597
0.0277,4407
-0.0578,7667
0.0335,4113
-0.329,5765
0.0287,4555
-0.279,9020
-0.288,9770
-0.133,10231
-0.467,10326
-0.572,9351
-0.799,8647
-0.186,7381
-0.25,7478
0.234,2057
-0.222,9373
-0.0394,6896
0.189,1419
0.0446,4206
0.0247,3978
-0.0236,5996
0.398,1273
0.264,2185
0.0836,2860
0.201,1073
0.0969,2329
0.238,1667
0.0393,4173
-0.201,8591
-0.117,9003
0.161,1924
0.387,286
0.0232,4403
0.148,2749
-0.174,9079
-0.264,9648
0.0931,2360
-0.0421,6987
0.288,1601
0.07,3193
-0.271,10002
-0.228,9210
0.0522,3806
0.216,1890
-0.0988,7575
-0.339,8464
0.000874,5336
-0.151,8037
-0.116,8426
-0.068,7190
0.0162,4778
0.24,1284
-0.26,9675
0.308,1362
0.192,2119
0.337,207
-0.0135,5795
-0.0611,5189
-0.373,10526
0.108,3281
-0.00497,5393
-0.032,6250
-0.0251,6301
0.0433,4025
-0.315,8203
0.397,2397
0.11,2379
-0.0484,7527
-0.216,10720
-0.0478,6396
0.162,382
0.507,670
-0.0897,7563
-0.0648,8038
0.0374,4467
-0.32,10411
0.0804,3422
-0.145,8431
0.3,946
-0.131,9446
0.287,1578
0.152,3033
-0.391,8559
0.362,1166
-0.0849,8394
-0.191,9591
-0.188,9011
0.121,2288
0.282,544
-0.474,10341
0.377,323
-0.312,10808
-0.0556,6855
-0.0337,6401
-0.122,6103
0.211,3456
0.182,1007
0.0309,4147
0.196,946
0.194,1304
0.118,2772
-0.104,6773
-0.115,9000
0.0168,4816
-0.0111,5357
-0.361,9969
0.0503,4105
-0.0481,7118
0.0659,3527
-0.0357,7023
-0.174,9461
0.413,720
0.0332,4029
-0.0605,6767
0.129,3279
0.083,2363
-0.242,10033
0.229,1415
0.0517,4306
-0.434,10280
0.0577,3971
-0.439,10911
-0.0389,6145
-0.11,6576
-0.274,9452
0.0534,3956
-0.0338,6615
-0.291,9448
-0.133,6604
0.439,377
0.0826,3763
-0.306,10336
-0.0334,6575
0.124,2646
0.126,3258
0.142,1086
0.154,3606
-0.0155,5452
-0.249,10130
-0.0524,7845
0.23,1265
0.267,1561
0.18,1331
-0.135,7114
-0.149,9647
0.159,1447
-0.0384,9050
0.0086,3735
0.0768,172
0.0314,898
-0.00207,5874
-0.199,5486
-0.0825,7210
0.0692,4091
0.885,1563
0.798,1778
-0.225,9951
-0.293,10207
-0.177,6495
0.263,1370
-0.361,9098
-0.0986,8452
-0.143,7948
1.44,1229
-0.186,9688
0.424,509
0.161,266
0.113,2377
-0.186,9418
-0.293,9569
0.152,2999
