coef,rank
-0.00543,5273
-0.216,9730
0.00215,5387
0.3,1594
0.728,1751
-0.0539,5063
0.161,3462
-0.142,8927
-0.0655,7463
0.142,2248
-0.36,10787
-0.0997,7088
-0.0857,7689
-0.0177,6058
0.0307,4581
0.692,32
0.813,334
-0.223,7308
-0.0186,6352
-0.0944,9938
-0.0708,7309
0.0623,3317
0.271,1917
0.7,227
0.217,1008
-0.0978,7338
-0.22,8748
-0.0551,6171
-0.187,10605
0.0759,4011
-0.224,9701
-0.18,10043
0.179,2170
-0.555,10689
-0.00911,5318
-0.235,9150
-0.208,10257
0.0418,3562
-0.129,8655
-0.0336,5558
0.564,67
-0.0164,5544
-0.0548,7240
0.00446,5213
-0.0431,6269
-0.0454,6446
0.152,2626
-0.246,8805
-0.0228,6472
-0.0793,9303
-0.103,7281
-0.164,9671
-0.0041,5311
0.172,2223
0.00952,4779
-0.0532,7438
0.277,409
0.0865,3675
-0.584,10811
-0.286,9713
-0.0303,6752
0.209,621
-0.0327,5882
-0.111,7482
-0.064,7848
0.0331,3710
0.0572,3863
0.0549,3412
-0.108,8551
-0.0635,7537
-0.175,9312
-0.567,10206
0.116,2052
0.00437,5177
0.386,264
0.0476,4314
-0.465,10317
-0.0264,6426
0.267,425
-0.113,8950
-0.0347,6676
0.305,470
0.427,1380
-0.157,7474
0.0957,2209
0.131,1652
-0.0122,5803
-0.235,9169
0.455,108
-0.25,8938
0.149,1034
0.00456,5188
0.0197,4839
-0.0272,5814
-0.131,7264
-0.08,6640
0.14,2758
-0.0796,8109
-0.0283,5487
-0.0982,9379
0.213,1229
0.282,866
0.0245,4618
0.151,1390
0.186,1059
-0.153,8624
0.217,2418
-0.0359,5913
-0.233,9636
0.0945,3177
0.137,2529
-0.293,10708
0.506,1576
0.102,3551
0.172,877
-0.132,10200
-0.392,10634
0.0158,5102
-0.0402,6965
0.00329,5263
-0.0138,5734
-0.00755,5601
-0.0356,6782
-0.0396,6953
0.00271,5195
0.137,3538
-0.04,6838
0.349,468
0.00139,5397
-0.0217,5606
-0.287,10224
-0.354,10696
-0.00809,5703
-0.135,9170
-0.176,8137
-0.0841,8194
-0.108,4865
0.265,2419
0.0495,3483
-0.104,8533
-0.142,7786
-0.0683,8194
-0.0187,5574
-0.122,8280
-0.165,9267
0.0419,4396
-0.107,6964
-0.0913,7480
0.112,2181
-0.188,8427
-0.127,9032
0.0341,4166
-0.42,6637
0.0494,4002
0.538,862
0.0588,3936
-0.0573,7359
0.201,1303
-0.0479,6096
-0.253,10328
0.0587,3891
-0.103,8407
0.286,755
-0.14,10582
0.0723,3479
-0.173,9453
0.117,1858
0.057,3228
0.168,2246
-0.088,8410
0.165,2089
-0.196,7892
-0.169,10130
0.0117,4712
-0.0701,9222
0.0565,3424
-0.0606,7396
-0.208,9354
-0.702,10857
-0.0368,7020
0.0394,4317
0.122,2932
-0.127,8509
-0.267,10635
0.125,1265
