coef,rank
-0.293,9347
1.39e-05,5299
0.203,598
0.503,555
0.0846,3692
0.11,3983
-0.155,6697
-0.236,10358
-0.0652,7451
0.162,1924
-0.184,9033
0.329,952
-0.0151,5646
0.0515,3312
-0.177,9909
0.32,748
0.655,637
0.33,2097
-0.0398,7272
0.183,122
-0.199,10071
0.264,309
0.0851,3840
0.106,3786
0.388,121
0.312,679
-0.18,8153
0.0946,3231
-0.125,9682
0.221,3141
0.53,90
-0.288,10898
0.0596,4154
0.239,2407
-0.11,7528
0.228,1933
0.277,459
-0.0207,6210
-0.0157,5721
0.0149,4798
0.0832,3576
-0.0139,5490
-0.29,10959
0.0882,1358
0.577,46
-0.0417,6350
-0.136,8055
-0.226,8519
-0.00201,5378
-0.107,10106
0.147,2813
0.0591,3978
-0.286,10009
0.0302,4646
-0.125,7726
0.0264,4155
-0.0321,6059
-0.158,7577
-0.249,8396
-0.157,7914
0.0197,4407
0.0117,5210
-0.132,7775
-0.0926,7092
-0.0645,7866
-0.0991,9458
-0.0234,5937
0.112,1799
0.0897,3036
-0.0509,7108
0.108,2778
-0.596,10344
0.191,894
-0.0807,7675
0.682,10
-0.29,9924
0.238,2512
0.00301,5392
0.0369,4230
0.0604,3477
0.115,2608
0.232,1027
1.08,71
0.233,2183
-0.063,7903
-0.232,10740
0.0869,3297
0.404,765
-0.231,9828
-0.0601,6051
-0.0687,8149
0.0726,2230
-0.0783,6993
0.148,2389
0.106,3502
-0.0363,5789
-0.0967,7156
0.0844,2629
-0.0126,5235
0.113,1593
-0.292,10613
-0.19,9227
-0.0886,8314
-0.13,9188
-0.044,6541
0.0392,4498
-0.423,10327
0.334,1017
0.629,53
0.108,2908
0.468,172
-0.0669,6990
0.698,941
0.115,3378
-0.125,9535
0.0297,4147
0.501,289
0.000117,5536
0.000163,5346
-0.178,8911
-0.178,9482
0.113,1528
0.232,278
-0.0348,6782
-0.417,10566
-0.118,6350
0.0424,3767
-0.212,9536
0.217,1906
-0.0547,6479
0.127,3022
-0.0817,6955
0.0379,4076
0.191,1202
0.127,3169
-0.0356,6574
-0.251,5832
-0.445,10070
0.00688,4933
-0.0388,6637
0.288,1636
0.202,452
0.0196,4858
-0.167,9096
0.184,1522
0.25,617
-0.0748,6345
0.0531,4067
-0.011,5976
0.254,1727
-0.285,10887
0.0849,2518
0.135,3829
0.457,145
-0.138,6803
-0.0984,7545
-0.0597,7461
0.146,2154
-0.347,10172
-0.096,7770
0.156,1934
-0.0994,8326
0.265,935
0.0814,1741
-0.00359,5253
0.0433,4590
-0.0366,6692
-0.0344,6676
0.335,607
-0.0639,7684
-0.0844,7339
-0.00785,5098
0.0985,2151
0.0477,3427
-0.08,9577
-0.116,8555
-0.0455,6874
-0.453,10962
-0.336,8870
-0.112,9851
0.166,1387
-0.00475,5559
-0.124,8434
0.00702,5140
0.151,854
-0.0149,6112
-0.0739,7862
0.226,825
-0.123,7586
-0.0065,5616
-0.378,8855
-0.112,8833
-0.114,8986
0.037,3570
0.002,5159
-0.105,7557
-0.336,9650
0.201,849
0.0483,4343
-0.149,8485
-0.21,10759
0.326,838
-0.129,8601
-0.167,7761
-0.0379,6808
-0.123,8771
-0.233,9960
0.456,1201
0.134,2435
-0.127,8166
-0.18,10143
-0.0576,7737
0.0303,4445
0.218,1718
-0.0554,6307
0.024,4529
-0.187,10991
-0.125,9306
0.15,2092
0.0878,3530
-0.251,9130
-0.111,6883
0.222,1467
0.264,126
-0.0367,7036
-0.0867,6933
0.209,2314
-0.108,8224
-0.0639,7679
0.0616,3102
-0.000663,5485
0.109,3045
-0.0926,7808
0.0845,3637
0.183,2408
-0.00774,5892
0.133,2355
-0.243,9807
-0.557,10847
-0.0789,6758
-0.158,8119
-0.611,8940
0.391,1530
0.0102,5055
-0.0348,5988
0.164,2319
-0.0112,5720
-0.0317,6276
-0.112,7816
-0.0862,7664
-0.441,7948
-0.243,9038
0.233,218
0.14,921
0.146,3227
0.0892,4058
-0.0364,5526
0.34,2029
0.0509,3979
0.119,2056
-0.0124,5786
-0.234,10471
-0.027,6169
0.105,3115
0.165,1515
-0.0489,6448
-0.0467,5676
0.0371,4515
-0.0662,7265
0.00358,5049
-0.099,8086
-0.0375,7319
-0.303,10848
-0.201,9544
0.138,2906
-0.177,9494
-0.0266,5878
-0.455,10897
0.0686,3873
0.149,2278
-0.116,7715
0.0796,3234
-0.00455,5379
-0.055,6696
0.164,2086
-0.366,10566
0.153,2498
0.0427,4333
-0.0822,8844
0.0689,3628
-0.223,9489
0.575,207
0.0934,3605
-0.213,9235
-0.112,9726
-0.231,10783
0.543,554
0.194,1288
-0.0285,5665
-0.107,6688
0.182,1360
-0.201,10350
0.0254,4578
0.28,904
0.0636,3829
-0.143,6975
-0.0308,6621
0.242,1264
-0.0283,6178
0.161,2981
-0.181,7983
0.346,58
-0.00557,5508
-0.0719,7542
-0.301,10816
0.394,1474
0.397,895
0.223,1577
0.0561,4188
0.51,454
-0.277,9595
0.109,2925
0.345,849
0.118,3930
0.00541,5103
-0.152,9268
-0.0469,6747
0.533,22
0.047,3246
0.0885,4018
0.056,3059
0.0625,3420
0.152,2933
0.156,2660
-0.109,8523
-0.0983,6259
-0.257,10867
0.00257,5288
-0.155,9859
0.109,2158
0.18,1412
0.186,2242
-0.031,6505
0.546,541
0.0907,3810
0.0256,4147
0.145,809
0.189,1711
-0.0155,5738
-0.0539,6764
-0.508,8062
0.0677,4197
0.264,2597
-0.67,9701
0.403,1366
-0.45,8882
0.0269,4850
-0.125,7978
-0.0113,5685
-0.183,9366
-0.0629,8371
0.0827,1515
-0.287,6610
-0.19,8888
-0.186,8843
0.407,585
-0.18,9457
0.0904,1981
0.0868,3633
-0.0762,7010
-0.203,10102
0.0511,4080
0.207,2085
0.0219,4521
0.101,3146
-0.0649,6176
0.0342,4518
-0.0948,6136
-0.152,8682
-0.0416,6888
0.187,2557
-0.00262,5502
-0.0668,6588
-0.15,6810
0.211,821
0.124,2111
0.409,73
-0.165,8850
-0.77,10887
-0.2,9053
-0.00444,5346
-0.174,9721
-0.347,10895
0.104,3754
0.0184,4876
-0.449,10409
0.13,2428
-0.155,9920
-0.106,6593
0.0179,4823
0.00397,5120
0.194,1330
-0.197,9919
-0.0614,7194
-0.16,9020
0.259,1263
-0.358,10624
0.298,2404
-0.00292,5817
0.0928,2563
0.102,3207
0.0617,4467
0.564,94
-0.315,10421
-0.143,9912
0.0399,2827
-0.0146,7428
-0.19,9454
0.181,3144
0.0159,4774
-0.13,6747
0.092,1887
-0.0372,5949
-0.359,10677
-0.0841,6780
-0.591,10713
0.0403,4634
0.0918,2435
0.0542,3708
0.32,1077
0.26,1263
-0.0794,7353
0.044,3418
-0.13,9404
-0.25,10178
-0.151,8785
-0.109,7446
0.0818,3033
-0.276,9565
0.0199,4830
0.00347,5281
0.626,1805
-0.00521,5363
-0.307,10201
-0.281,8815
-0.13,9498
0.0171,5127
-0.167,8356
0.713,513
-0.421,10771
-0.175,7522
0.0934,2840
0.737,141
0.033,4830
-0.055,6801
-0.331,9768
-0.0251,6023
0.051,3195
-0.151,10553
-0.164,8798
-0.232,9705
0.048,4297
-0.0494,6833
0.115,1667
-0.531,10926
-0.232,9472
0.00866,5078
0.073,4077
0.188,2353
0.071,3413
-0.0659,7477
-0.264,9812
0.215,1470
0.0347,4175
-0.0964,7851
-0.0577,6703
-0.115,8333
0.141,1688
1.28,10
0.0404,3897
0.265,707
-0.173,10274
-0.15,7256
-0.0922,8481
0.36,568
-0.345,10207
0.00573,5151
-0.107,8749
-0.0265,6356
-0.189,10044
0.109,2304
0.325,394
0.0732,3415
-0.00963,6595
0.0345,4571
0.234,356
-0.441,10247
-0.371,9400
0.0985,2609
-0.0394,6625
0.00955,5065
0.0964,3022
-0.203,9291
-0.521,10137
-0.258,10386
0.0168,4329
-0.00219,5324
0.0287,4665
-0.137,8597
0.705,492
-0.283,10045
-0.337,10023
0.104,1900
-0.624,10624
-0.0687,5812
-0.397,9946
-0.168,7491
0.0826,2151
-0.26,10921
-0.0937,8609
0.118,1683
-0.0932,6638
-0.189,9239
-0.0874,8320
-0.299,10655
-0.572,10250
0.17,2757
0.124,3646
0.161,3692
-0.175,10278
0.00104,5467
0.332,474
0.207,1543
-0.0539,6697
-0.124,7390
-0.0804,7918
-0.00576,5772
-0.424,8296
-0.16,6052
-0.517,9265
-0.394,8184
0.144,1569
-0.00634,5426
-0.0426,6636
-0.092,7230
-0.25,9893
0.177,1657
-0.0671,7157
0.0401,4343
-0.0286,6264
0.0634,3730
-0.0126,5213
0.119,4217
-0.0884,7860
0.171,2123
0.0294,4383
-0.194,9446
-0.00563,5423
-0.2,9387
0.0141,4862
-0.329,10456
0.186,1457
0.0222,4534
-0.238,9649
-0.121,8126
-0.0615,7505
0.0934,2577
0.0862,3260
0.226,824
-0.036,5848
0.0779,2607
-0.05,7114
-0.133,7715
-0.138,8555
-0.198,9607
0.0406,4242
-0.237,9954
-0.00613,5521
-0.135,10057
-0.324,8971
-0.191,9747
-0.0408,5776
0.483,1847
0.0997,2601
0.259,593
0.446,746
0.11,2026
0.034,4250
-0.0125,5523
-0.194,10322
-0.0251,6164
-0.0851,7892
-0.129,9259
-0.0272,5474
0.219,2640
-0.0878,9530
0.235,1354
-0.0944,6914
0.212,1112
0.0484,4243
-0.126,8799
0.0823,3296
0.13,2039
-0.234,9465
0.107,3458
0.0462,4293
-0.267,9663
0.354,112
-0.0537,7406
0.36,1239
0.126,1086
-0.17,7361
0.134,3516
0.0343,4466
-0.129,9145
0.019,4911
-0.154,9184
-0.0255,5328
-0.185,9035
-0.0711,7291
-0.0439,6987
0.115,1133
-0.145,9432
0.111,2809
-0.0602,6951
0.0304,4253
1.03,6
-0.0112,5560
0.25,2020
0.0526,4409
-0.00484,5742
0.0588,2872
0.0574,2923
0.0087,5303
0.284,1289
0.0404,4413
0.0816,2458
0.0139,4667
0.0501,3707
-0.331,10226
0.0498,4470
0.00331,4970
0.198,1832
-0.306,10533
-0.25,9366
-0.101,7785
-0.05,5988
0.251,608
