coef,rank
-0.341,9820
-0.339,10759
-0.13,9513
-0.564,10882
0.336,2672
-0.591,10128
-0.151,6645
0.351,295
0.278,138
0.248,972
0.18,1907
0.0873,3624
0.0618,3437
0.16,793
0.14,1895
-0.0386,6347
0.265,2453
-0.622,10663
0.127,1123
0.0628,2387
-0.126,8737
0.167,1143
0.658,278
-0.389,10081
0.108,2683
-0.18,8964
-0.444,10703
-0.162,8367
-0.018,6324
0.023,4405
-0.211,9550
0.0551,3631
-0.0715,6883
-0.284,8648
-0.0262,5685
-0.241,9208
-0.0974,8266
0.113,1399
-0.0658,7095
0.555,370
0.262,1084
0.199,1779
0.141,1451
0.0145,4627
-0.193,9274
0.0117,4839
0.148,2688
0.26,1646
-0.077,8923
-0.116,10326
0.223,1839
0.269,560
-0.129,7750
-0.044,6161
0.0279,4387
0.000689,5190
-0.142,8960
-0.269,9185
-0.221,8040
-0.0129,5313
-0.115,9811
0.0521,3846
0.397,589
0.177,2090
0.159,851
0.0832,1878
-0.154,9113
-0.169,10458
0.124,2291
-0.0134,5787
-0.172,9262
0.163,3485
-0.0182,5714
-0.0984,8164
-0.0236,6073
-0.177,8450
0.135,3538
0.191,897
-0.0336,6311
0.416,21
0.231,803
0.00455,5180
1.37,14
0.0398,4525
0.144,1163
0.0918,2528
0.164,1850
0.744,63
0.0741,3408
-0.128,7177
-0.00743,5775
0.0335,3790
-0.231,9710
0.036,4436
0.206,2221
-0.341,10335
0.141,2755
-0.112,9002
0.532,536
0.0479,3629
0.144,2147
-0.0679,6852
-0.0261,6333
-0.159,9823
0.0698,3239
-0.0127,5594
-0.0761,6224
0.00569,5123
-0.172,8738
0.144,2252
0.123,2737
-0.266,10511
-0.544,9849
-0.278,9740
0.0155,4969
-0.0771,8772
-0.401,10688
0.0532,4047
0.0204,4576
0.324,744
-0.138,8730
-0.0702,8129
-0.148,9995
-0.149,10019
0.288,1526
-0.21,7453
-0.0252,6307
-0.148,8509
0.00707,5281
-0.0893,7279
-0.297,10296
0.0211,4823
0.152,1242
-0.212,10343
-0.145,7674
-0.147,9752
-0.751,9115
0.0535,4559
-0.0553,7299
0.00404,5281
0.62,203
-0.0152,6184
-0.165,8167
0.046,4350
0.179,1586
0.0823,3270
-0.266,9420
0.0573,3983
-0.0135,6057
-0.335,10170
-0.144,9356
0.103,1997
0.277,3275
-0.054,6298
-0.217,7784
0.132,2518
0.02,4782
0.0758,3588
-0.315,9911
0.195,1446
0.33,328
0.153,1567
0.195,1658
0.0385,3379
-0.0707,7013
-0.159,9193
-0.217,10708
-0.0278,6445
0.0744,3872
0.0325,4252
0.143,2435
-0.166,7455
-0.109,8851
-0.323,11021
-0.0152,6268
0.138,1658
0.0182,4635
0.393,492
1.5,30
0.0455,3214
0.301,252
0.00445,5334
-0.0022,5350
-0.0992,8030
0.00107,5023
0.0152,4197
-0.19,10354
-0.0632,7292
-0.175,8513
-0.312,10955
-0.423,9267
-0.164,9921
0.214,631
-0.00472,5866
-0.167,9950
0.0703,3698
0.186,2540
0.139,1709
-0.112,7600
0.228,1400
0.0377,3923
-0.0558,6275
-0.13,8634
-0.173,7853
-0.0107,5662
0.0283,4634
0.119,2868
0.625,643
-0.0361,6266
0.144,2574
0.448,15
0.13,1127
0.225,852
0.497,226
0.0936,3614
-0.0825,6804
0.0252,4144
-0.0173,6072
0.0299,4522
-0.116,8053
0.0223,4642
-0.0326,5579
-0.0636,6879
-0.0681,7941
-0.0507,7682
-0.0542,6276
-0.11,6922
0.171,1848
0.101,2240
-0.0817,8714
-0.017,6187
-0.166,8978
0.165,2151
0.404,320
-0.00462,5293
0.0126,4730
-0.2,9533
-0.000782,5236
-0.148,7490
0.0201,4460
0.185,2108
-0.611,8939
0.0949,3998
-0.0269,6165
0.328,337
0.041,4575
-0.157,9984
-0.227,10126
0.0538,4235
0.164,1652
-0.558,8557
-0.313,9797
-0.0067,5552
0.0463,3477
0.306,1794
-0.168,7453
-0.229,8271
-0.241,7284
0.0964,2850
-0.0386,6415
-0.0407,6608
0.114,2554
0.272,994
-0.114,7991
0.0436,4138
0.0086,5041
0.404,854
-0.0463,6772
-0.164,9386
-0.114,7103
0.0334,4773
0.00578,5152
-0.161,9365
-0.0793,7096
-0.0499,6423
-0.0543,6705
-0.00975,5404
-0.0379,5840
-0.347,10806
0.226,1301
-0.228,9479
-0.111,8509
0.0777,3086
0.0964,3703
0.421,205
0.0858,3715
0.842,8
-0.173,9391
-0.0676,8367
