coef,rank
-0.191,8125
0.181,1808
0.0201,4722
-0.143,7319
-0.197,5403
-0.238,6798
0.247,2781
0.0376,4397
-0.102,8596
-0.0351,5804
-0.178,8923
0.203,2003
0.552,14
-0.00317,5453
0.0285,4645
-0.0935,7542
0.441,1367
0.814,399
0.169,522
-0.0506,8341
-0.0386,6406
0.218,583
0.0201,4736
0.197,2719
0.0272,4642
-0.047,6169
-0.473,10801
0.0073,4921
0.0913,2418
-0.469,8840
0.115,2913
-0.118,8843
0.144,2678
-0.546,10652
-0.391,10870
0.404,701
-0.0157,5959
0.0718,2509
-0.0328,6220
-0.295,9550
0.243,1247
0.0982,3225
0.0932,2461
-0.00312,5646
0.0514,4166
-0.311,10847
0.252,1402
-0.23,8566
-0.145,10574
0.0683,2101
0.461,359
-0.0433,6848
0.22,1715
-0.123,7757
0.125,2616
-0.106,9228
0.0488,3736
0.115,3266
-0.363,9651
-0.233,9079
0.0496,3139
-0.116,9293
-0.13,7741
-0.272,10035
-0.0533,7464
-0.0463,7449
0.235,909
-0.074,8267
0.233,752
0.23,423
-0.0427,6324
-0.385,8935
-0.0379,6349
-0.0486,6773
0.497,73
0.365,730
-0.0432,5693
0.0196,4851
-0.175,9837
0.0643,3355
-0.0966,8419
-0.0344,6224
-0.319,9047
-0.214,8330
-0.224,10888
-0.0301,6339
0.0808,3426
-0.317,10003
-0.121,7896
0.0977,3556
0.0378,3965
-0.0148,6173
0.244,1228
0.0452,4218
0.265,1686
-0.212,8804
0.11,3204
0.08,2736
-0.45,10563
-0.0192,6459
0.00646,5107
-0.135,8287
-0.176,10208
0.205,719
-0.137,9052
0.0871,3523
0.0773,3951
0.0769,3864
-0.227,9543
0.165,1932
0.173,2043
-0.177,9460
0.718,870
-0.212,8888
0.0195,4799
0.0285,4207
0.132,3121
-0.14,9141
-0.0411,6994
-0.0023,5406
0.152,2129
-0.0805,8507
0.0586,3287
0.23,284
-0.177,8135
-0.025,5250
0.0602,3145
-0.233,9812
0.327,970
0.134,2253
-0.266,10005
0.11,3212
-0.00224,5480
-0.0956,8276
-0.124,7305
-0.0575,7346
0.708,1975
0.0829,4208
-0.0774,8009
-0.147,9452
0.195,2638
0.0827,2536
-0.0145,5506
-0.348,10870
-0.178,9470
-0.138,9263
-0.213,8663
0.117,2845
-0.214,10734
0.236,1898
0.223,602
0.0452,3769
-0.786,8462
0.124,2602
0.91,171
-0.166,8857
0.209,679
-0.0406,6541
0.128,3308
0.136,2351
-0.117,8479
-0.0122,5787
0.156,2213
0.033,3667
-0.248,10282
0.238,1181
0.257,258
0.222,303
0.0575,4246
-0.143,9749
0.157,2203
-0.233,8443
0.0581,3284
-0.04,6714
-0.0635,8963
-0.0316,6136
-0.109,8927
-0.199,9224
0.495,1473
-0.0452,7410
0.0931,2857
0.265,1082
0.0556,3900
0.0934,3085
-0.0122,5607
0.0726,1532
-0.127,9313
-0.0639,7312
-0.00311,5171
0.0832,2926
0.175,3309
-0.285,10906
-0.328,10999
-0.0506,8366
-0.148,9594
-0.0983,7423
-0.0437,5533
-0.226,10542
-0.0743,6836
-0.202,9392
0.0712,2790
-0.0993,7112
-0.0681,6964
0.336,1515
-0.0768,8351
-0.0181,5995
0.382,316
0.336,1848
-0.127,8471
-0.122,8062
0.148,1453
-0.1,9198
-0.0153,5741
0.344,704
-0.0632,6458
0.24,1237
0.00931,5046
-0.0383,6809
0.22,1181
0.525,119
0.148,2798
-0.0477,5840
-0.146,8634
0.052,3370
0.104,1368
0.282,1299
-0.074,6317
0.0641,3961
-0.0354,6683
0.0377,3933
-0.0926,9042
0.316,747
0.0784,3762
-0.0239,5942
0.982,4
-0.0275,6962
-0.0866,7213
-0.0783,6898
0.506,667
-0.0167,5288
0.296,1088
0.146,3100
0.519,921
-0.0438,6726
0.0636,3527
-0.105,7788
-0.206,10614
-0.0372,6429
0.00495,5253
-0.165,9366
-1.25,10603
0.141,3197
-0.118,9384
0.072,2558
-0.515,10790
0.704,280
-0.205,7929
-0.193,6714
-0.0161,5855
-0.0199,5791
0.0597,3688
-0.00427,5557
-0.137,8570
0.357,451
0.38,101
0.0785,3436
-0.283,9082
0.207,1190
0.0531,4179
-0.274,9576
-0.155,9194
0.0374,3636
0.244,646
-0.0721,6911
0.151,2720
0.0997,2764
0.172,1607
-0.0836,6752
-0.0472,6508
-0.0529,6501
-0.177,8745
-0.139,9136
-0.175,9694
0.0243,5097
-0.146,8528
0.68,68
0.736,31
-0.0378,6378
0.013,4928
-0.123,8542
-0.278,10157
-0.3,9911
-0.0977,7261
0.00411,5135
0.0575,3270
-0.114,9140
-0.0618,6110
-0.059,6796
0.306,1386
0.0816,3707
-0.245,10432
0.0429,3851
-0.232,10395
-0.0582,6357
0.0231,4781
-0.0692,5933
-0.0462,7314
0.399,380
0.105,2487
0.344,1379
-0.268,9254
-0.037,6278
0.128,1255
0.277,407
-0.143,9091
-0.251,8343
-0.0955,7034
0.043,4551
-0.527,10937
-0.0251,5473
0.253,1873
-0.107,8159
-0.104,6954
-0.098,6204
-0.0314,6512
0.162,1726
0.0775,2975
0.303,427
0.0303,3889
0.15,3252
0.00965,4811
-0.0567,7277
0.0527,4333
-0.294,9860
-0.0722,7504
-0.0616,5799
-0.0727,7699
0.134,1426
0.116,1990
0.127,1763
-0.18,9738
0.485,299
-0.034,6621
0.217,2465
-0.147,7290
0.0787,2065
-0.0573,7869
0.545,73
-0.238,10682
0.14,2163
-0.473,7807
0.177,3368
-0.00956,3613
0.0814,3844
-0.47,10366
0.777,1034
-0.12,7583
-0.201,9267
-0.0399,6473
0.0878,3015
-0.0215,6532
0.0427,2976
0.241,3142
-0.0733,6765
-0.278,10118
-0.201,9046
0.129,2701
-0.174,10652
-0.472,10297
-0.197,9281
-0.131,8960
-0.0211,5731
-0.314,10026
0.0584,3325
-0.00649,5534
-0.0294,5522
-0.0992,6745
0.407,1774
0.122,2842
-0.0141,5927
-0.096,6616
0.136,675
-0.14,8081
-0.255,8064
0.513,10
0.0127,4936
-0.00712,5462
-0.197,9398
-0.309,8201
-0.115,7517
-0.0579,7234
0.078,3090
-0.279,10604
-0.429,10438
0.00683,5172
0.365,1373
0.0265,4671
0.259,244
-0.224,8066
-0.0283,6158
-0.229,9551
0.0342,4405
-0.275,10682
0.201,923
0.111,3037
-0.0331,5747
0.139,2823
-0.407,9360
0.0103,4514
0.0561,3472
-0.00542,5370
0.741,103
-0.679,11032
0.0718,3830
0.0968,2216
-0.0584,8877
-0.0194,7951
-0.107,7825
0.00853,5099
0.0991,2814
0.0982,3845
-0.231,10965
-0.0294,5779
-0.0729,6707
0.0784,3553
0.0183,4803
-0.243,9775
0.133,1530
-0.135,8410
0.0878,3754
0.0141,4888
0.0465,4383
-0.0491,6992
-0.0679,7794
-0.0681,7016
-0.0989,7682
-0.0184,5675
-0.138,9308
0.128,3150
-0.00632,5783
-0.102,9467
0.0923,3176
-0.394,10004
-0.245,9485
0.131,3542
-0.0394,6809
-0.0569,6703
0.183,2468
-0.344,9162
-0.254,9445
0.063,4258
-0.148,9481
0.171,2873
-0.452,10701
0.173,1445
0.0201,4963
-0.0295,6117
-0.0894,9130
0.0582,2842
0.5,214
0.191,1854
-0.0326,6364
0.156,1430
0.0167,4708
0.237,1960
-0.00862,5459
0.0442,4459
