coef,rank
0.223,2246
-0.112,7916
0.0157,4881
0.0239,4709
0.42,2401
-0.288,7323
-0.137,6500
-0.0469,6683
-0.135,9427
0.304,588
-0.191,9149
0.0902,3576
-0.0425,6421
-0.0974,8958
-0.199,10199
-0.129,8267
0.19,3127
0.311,2215
0.0233,4483
0.0925,1367
0.0259,4522
-0.135,9409
-0.0378,5551
-0.0564,6115
0.211,1066
0.176,1860
0.581,221
-0.19,8829
0.178,745
-0.633,9988
0.121,2831
0.0342,4256
0.149,2594
-0.0848,6069
0.154,2225
0.313,1234
0.278,454
0.0358,3787
-0.11,8201
-0.193,8166
0.128,2810
-0.212,9304
-0.0719,7804
-0.0128,6202
-0.0418,6239
-0.0639,6954
-0.0781,6973
-0.0247,5258
-0.0449,7576
-0.029,6990
0.112,3312
0.238,798
-0.0911,7045
-0.143,8133
0.0173,4602
-0.0379,6832
-0.00753,5360
-0.076,6261
0.0459,4555
-0.0412,5799
0.0661,2567
-0.183,10416
0.199,2148
0.229,1523
0.0655,3026
-0.0241,6427
-0.265,10554
-0.0303,6684
0.0604,3767
0.00995,4988
-0.0893,7525
0.612,1028
0.0755,2958
-0.024,6003
-0.299,10711
-0.278,9807
-0.517,10590
-0.0398,6880
0.14,1836
-0.128,9326
-0.0026,5756
-0.00464,5411
-0.0211,5485
0.692,163
-0.0754,8335
0.0239,4546
0.0326,4614
0.0562,4390
0.141,2211
0.214,2192
-0.101,9198
0.128,857
0.452,210
-0.122,7890
-0.196,8335
-0.0791,6620
-0.0529,6276
0.252,247
-0.175,7715
0.149,894
-0.168,9161
-0.19,9226
0.119,1990
-0.0448,6794
-0.0845,7706
-0.0406,6202
-0.0185,5367
-0.0946,6999
0.329,756
-0.0196,5698
0.0329,4444
-0.0187,5697
2.21,4
0.2,2280
0.0166,4915
0.0402,3723
-0.0523,6377
-0.221,10386
-0.097,8918
-0.115,7768
-0.076,7242
0.0937,1994
-0.157,10138
0.00665,5254
-0.145,7627
-0.353,9088
-0.0288,6434
0.1,3126
0.0564,4372
-0.0222,5618
0.0909,3634
-0.339,10608
0.182,857
0.15,1825
-0.487,10865
-0.0537,7207
-0.641,8488
0.495,1055
-0.0614,7499
-0.0325,6436
-0.2,8632
-0.109,9458
0.34,991
-0.0565,6824
0.329,345
-0.00508,5758
-0.163,7902
0.174,1945
0.199,764
-0.22,8888
0.0821,2909
-0.0749,8237
-1.11,9674
-0.225,9718
0.342,1894
0.0946,3210
