coef,rank
-0.129,7177
0.272,879
-0.0227,6288
-0.0773,6281
-0.376,6601
-0.87,10940
-0.484,9907
0.103,2858
-0.104,8648
-0.169,8797
-0.42,10948
-0.106,7206
-0.196,9972
-0.0433,7063
0.311,238
0.529,120
0.827,315
-0.753,10923
0.0256,4371
0.0536,2820
0.0714,3348
-0.266,10873
-0.439,10235
0.0024,5249
-0.0962,8005
-0.0313,5845
-0.136,7429
-0.121,7601
0.00658,5351
-0.662,10134
0.0214,4850
-0.0561,7132
0.168,2307
-0.022,5269
0.109,2954
0.0394,4572
0.0215,4906
0.14,904
-0.0618,6999
-0.396,10437
0.0305,4673
-0.359,10706
-0.11,8898
-0.0944,9958
0.0796,3586
-0.102,7978
-0.00275,5421
0.158,2635
0.217,90
0.141,458
0.0193,4892
0.301,364
-0.048,6187
0.126,2925
0.0964,3061
0.0182,4469
-0.143,8975
-0.167,7721
0.126,3633
-0.398,10628
0.119,1154
-0.126,9493
-0.158,8245
-0.0243,5641
0.23,260
-0.0832,8932
0.195,1331
-0.0801,8466
0.0288,4612
-0.0628,7525
0.0396,4262
-0.379,8882
-0.226,10536
-0.0497,6812
0.158,2084
0.25,1553
0.165,3223
0.0115,5096
0.086,2924
0.108,2241
0.00501,5516
0.0391,4257
-0.112,6612
0.532,456
-0.132,9873
0.184,884
0.155,1977
-0.191,8550
-0.404,10926
0.138,3041
-0.112,9453
-0.0217,6526
-0.045,6253
0.182,1891
0.279,1552
-0.269,9597
-0.244,9573
0.125,1665
0.31,1598
-0.00205,5717
0.0166,4833
0.0141,4947
0.0268,4553
-0.0931,8303
0.106,2380
0.221,1501
-0.378,10000
0.0778,3841
0.232,1485
-0.206,9642
0.176,2001
-0.114,8178
-0.0727,5440
0.000865,5250
-0.178,10425
0.196,290
0.0981,3627
-0.075,7635
0.0354,3998
-0.11,7690
-0.0384,6328
0.103,1748
-0.0303,6583
-0.29,11002
-0.296,9648
-0.468,10004
-0.136,9775
0.116,2833
0.067,4169
0.199,1357
-0.279,10138
-0.17,8658
0.00713,5132
-0.154,9558
-0.00503,5188
0.0594,3296
0.142,3548
0.177,3210
-0.0525,7202
-0.0799,7845
0.554,305
0.28,92
0.541,221
0.07,3849
-0.0214,5810
0.0657,3715
-0.129,7338
0.088,3340
-0.0284,6631
0.135,3040
0.229,557
-0.01,5833
-0.439,6741
0.313,629
0.0956,4016
0.475,101
-0.108,8875
0.102,3009
0.00354,5220
-0.0956,7765
-0.092,7909
-0.0431,6777
0.231,1246
-0.0212,6508
-0.0444,6341
0.11,3106
0.0673,3103
0.198,468
-0.316,10627
-0.00326,5561
-0.106,7825
0.0754,4002
0.182,734
-0.167,10207
0.016,4350
0.109,2191
-0.0677,7628
0.0847,3662
0.145,3816
0.06,2665
0.215,768
0.171,2099
0.313,458
0.262,707
0.123,1303
0.0143,4241
-0.289,10955
-0.13,9029
0.138,2709
0.0536,3750
-0.295,7984
-0.0334,6466
-0.34,11008
-0.143,10765
-0.11,8701
0.0296,4562
-0.284,9004
0.0168,4854
-0.367,10739
0.194,1771
0.137,1234
-0.102,7154
-0.0491,6455
-0.256,8883
0.0231,4281
-0.0143,5855
-0.0498,6535
-0.207,7579
0.18,1731
0.106,3224
0.187,946
-0.156,10391
0.0938,2914
-0.0425,6135
-0.0788,6757
0.0403,4197
-0.0684,9150
-0.12,9182
-0.102,7865
0.045,4396
0.177,2471
0.911,34
-0.149,8672
0.101,2000
-0.127,10117
-0.0842,6879
-0.128,7225
0.0704,3803
-0.19,10480
-0.119,9776
0.0862,2283
0.356,560
0.223,1403
-0.0122,5677
-0.0381,5878
-0.00415,5683
-0.166,8978
-0.216,9482
0.239,2317
-0.0546,6185
-0.00692,5282
-0.451,7505
-0.366,9761
0.497,13
-0.0289,5849
-0.262,10219
0.0145,4726
0.0208,4951
-0.0224,5923
