coef,rank
0.382,1018
0.27,892
-0.126,9417
0.131,3230
-0.172,5224
-0.453,9116
-0.495,9971
-0.0753,7448
-0.0425,6647
0.0595,3749
0.00309,5116
0.846,15
-0.0572,6869
0.0697,2734
-0.138,9254
0.22,1587
-0.329,8798
-0.0919,5746
0.0183,4687
-0.029,7284
0.0132,4923
0.0877,2637
-0.632,10898
0.644,326
0.0126,5022
0.0351,4345
0.201,2202
-0.0998,7139
0.0685,3058
2.15,27
-0.17,8916
-0.37,11016
0.179,2174
0.13,3407
-0.0776,6805
-0.213,8861
0.0327,4556
-0.0324,6722
-0.014,5672
0.151,2939
-0.109,7659
-0.027,5782
-0.0574,7309
-0.0838,9627
-0.274,10291
-0.139,8849
-0.0269,5961
0.258,1663
0.0469,2977
0.113,855
0.0515,4312
0.00449,5506
-0.0143,5508
0.155,2485
-0.374,10733
-0.126,9751
0.075,3056
-0.102,6676
-0.298,8978
-0.224,8947
-0.0822,8835
-0.0732,8119
0.0174,4927
-0.0541,6294
0.0943,2139
-0.0363,6995
-0.208,9967
-0.0408,7080
0.0256,4707
-0.00283,5424
-0.304,10704
-0.686,10664
-0.0075,5377
0.161,1396
0.0503,4246
0.164,2498
-0.355,9474
-0.202,10498
-0.115,8583
-0.0643,7540
0.0306,4769
-0.194,9802
0.253,2589
-0.0887,6453
-0.0791,8457
-0.0964,8465
0.0952,3131
0.125,3362
-0.033,5846
-0.285,9377
-0.0473,7363
-0.0434,7558
0.279,947
-0.359,10728
0.117,3352
-0.00313,5176
-0.331,10433
-0.0693,7793
-0.136,7119
-0.146,10330
0.291,598
0.429,213
0.0116,5059
0.253,372
-0.132,8946
-0.0761,7014
-0.557,10841
-0.163,8156
-0.157,8445
-0.2,9544
0.0872,3375
-0.0905,7634
0.508,1570
-0.0422,6022
-0.0116,5985
0.031,4085
-0.179,8586
-0.126,8840
-0.121,9555
-0.368,10745
0.0602,3950
-0.0587,7696
-0.0267,6445
-0.106,9114
0.321,1313
0.325,2045
-0.167,10352
-0.176,8988
0.14,2951
0.149,2002
-0.017,5664
-0.227,9567
-0.33,11016
0.0913,2949
0.191,2336
0.158,1163
-0.194,5436
-0.415,9854
0.00678,4936
-0.144,9399
-0.261,9386
0.0163,4894
-0.0666,6454
-0.186,9460
-0.13,8550
-0.317,10936
0.18,2307
0.0537,4054
-0.0956,8766
0.272,1575
0.00914,5084
0.000294,5431
-0.151,5183
-0.0483,6171
-0.179,7282
-0.0259,5820
0.147,1480
-0.238,10330
-0.126,7383
-0.11,8066
0.215,1130
0.387,76
-0.0647,6979
0.0108,4777
-0.144,8708
0.00462,5541
-0.158,10014
0.0842,2423
-0.0881,7481
-0.0416,6901
0.0297,4688
0.35,1404
-0.207,10576
0.125,1440
0.038,3156
-0.0766,7487
-0.0906,8362
0.484,222
-0.402,9461
0.12,988
-0.0128,5959
0.458,199
-0.0725,7214
-0.108,8258
-0.0944,8669
-0.078,9489
0.00253,5218
0.0782,3173
-0.291,10067
-0.158,9740
0.374,1993
0.0286,4403
0.132,1703
0.0234,4318
0.216,604
0.2,1668
-0.258,8654
0.188,991
-0.335,10563
0.0434,4335
-0.0345,6752
0.0897,3473
-0.25,10543
0.328,1578
0.0663,2661
-0.134,8988
-0.121,8071
-0.361,9359
0.142,2299
0.0669,3984
0.328,119
0.00336,5220
0.34,209
0.0495,4310
0.114,3291
0.0216,4584
-0.0835,9677
0.117,2086
-0.173,9265
-0.0221,5898
0.391,774
0.283,1586
0.0921,3416
-0.13,9752
-0.0646,8240
-0.471,10918
0.253,1890
0.0207,5031
0.0948,2399
0.198,379
-0.114,9619
-0.205,9592
-0.132,8658
-0.0696,6916
-6.63e-05,5210
-0.0846,9525
0.448,116
0.0851,3500
-0.531,10793
0.00885,4708
-0.13,7620
-0.292,5970
-0.117,6700
0.0464,4022
0.11,2619
0.0281,4850
0.0129,4794
0.0654,3891
0.0122,5107
0.0743,3407
0.872,1610
-0.422,10570
-0.0581,7598
-0.038,7088
-0.373,10093
0.599,499
0.459,855
-0.319,8145
0.0624,3669
-0.00515,5367
-0.144,9257
0.266,501
0.282,919
0.167,2112
0.0175,4891
0.0487,4056
-0.17,7603
0.00234,5463
0.0999,3055
-0.236,9077
0.132,2525
0.0204,4453
0.114,2304
-0.184,9307
0.217,1846
-0.0169,5695
-0.0509,6514
0.0279,4575
-0.112,7956
0.173,1911
-0.0605,6649
-0.0519,6961
-0.0196,5849
0.329,897
-0.345,10810
0.0803,3818
0.101,3271
-0.217,10051
0.0821,2334
-0.0641,7070
0.174,2007
0.235,1878
0.0415,4505
-0.0577,6418
0.117,1563
-0.0149,5929
-0.0981,6661
0.302,374
-0.182,8129
-0.254,8898
0.115,2442
0.0567,3501
-0.299,10836
0.0483,3996
0.0536,4063
0.339,1394
-0.0773,8521
-0.0878,6938
0.0826,3026
-0.137,7195
0.201,2270
-0.0199,5691
-0.0319,6536
-0.129,8970
0.0575,3966
0.196,2922
0.0723,4181
0.325,733
-0.443,10745
-0.0209,5392
0.000122,5306
0.041,4426
-0.405,10647
-0.268,8218
-0.0792,8204
-0.0152,5818
0.152,1434
0.106,2644
-0.0326,6567
-0.423,10319
0.198,336
-0.208,10467
-0.0595,6322
-0.281,9705
0.103,2550
0.202,2828
-0.129,9271
-0.192,10626
-0.209,10589
-0.0593,7309
0.15,1884
0.236,1722
0.234,281
0.249,2177
0.433,770
-0.0386,7189
0.123,1156
-0.282,10203
-0.004,5365
0.021,4746
0.594,2172
-0.581,10209
-0.104,4113
0.378,2508
-0.245,8222
-0.336,7851
0.365,894
-0.436,10945
0.0675,3699
-0.0103,5425
0.0549,2896
0.161,247
0.869,1284
-0.237,9557
0.227,1507
-0.0749,6827
-0.227,10095
-0.0121,5985
-0.317,8751
0.306,793
-0.132,8975
0.12,2715
-0.0568,6248
-0.204,10526
0.333,501
0.494,362
-0.114,7011
-0.312,8534
-0.0787,7162
-0.0406,6860
-0.305,9541
-0.0478,7745
0.101,3281
-0.294,8484
-0.0652,7354
0.00866,5063
-0.152,9217
-0.274,10309
0.0432,4391
-0.23,9507
0.199,617
-0.175,9729
-0.0659,7135
-0.175,7632
-0.136,8454
-0.17,7274
0.226,1100
-0.116,9143
0.211,2764
-0.104,8309
-0.182,8861
-0.0831,7444
0.0696,3433
-0.0633,7239
-0.0943,7728
-0.00969,5289
-0.14,8076
-0.576,10437
0.0577,1051
0.245,413
0.0564,4024
0.253,2037
0.196,1941
0.456,337
0.0687,3047
0.0148,4371
0.0401,1345
0.0702,3537
0.14,3553
-0.202,9783
0.281,2014
0.0467,3327
-0.267,9805
-0.41,10865
-0.486,10964
0.489,1233
0.176,2267
-0.0779,8232
0.133,2194
-0.182,8432
0.0433,4347
0.208,1470
-0.0677,7727
0.0105,5156
0.0612,4073
0.491,63
0.559,154
-0.0993,8422
0.0279,4717
0.00309,5455
-0.0775,8666
-0.0719,3930
-0.11,6739
-0.181,8568
