coef,rank
0.491,529
0.197,1609
0.0376,4162
0.203,2446
-0.262,5848
-0.234,6750
0.449,1570
0.08,3345
0.213,447
-0.0852,7072
-0.215,9519
-0.0574,6282
0.255,560
-0.0251,6351
-0.0604,7315
-0.321,10665
0.571,883
-0.276,7946
0.0224,4520
-0.0674,9050
-0.0126,5676
0.047,3758
-0.086,6253
0.561,514
0.221,964
-0.0326,5871
0.169,2558
0.0209,4657
0.0812,2682
0.0201,4417
-0.116,7927
-0.255,10764
-0.241,9889
-0.195,7507
0.243,1172
0.234,1885
-0.0922,8141
0.0572,3003
0.119,2425
0.468,603
-0.209,9416
0.0181,4769
-0.0938,8480
-0.123,10540
0.0517,4159
0.0206,4591
0.193,2069
-0.361,10128
0.033,3578
0.0565,2605
-0.227,9364
-0.0112,5965
0.216,1763
-0.101,7348
-0.168,8526
-0.119,9569
-0.0828,7504
0.0437,4298
-0.493,10513
-0.182,8298
0.13,949
0.0916,2721
0.000882,5221
0.116,2988
-0.0593,7692
-0.0585,8005
0.011,4986
0.0794,2686
0.0143,5035
0.165,1062
0.0536,3918
0.256,2775
0.00597,4926
-0.215,10364
-0.158,9116
0.112,3241
0.978,76
0.058,3594
-0.00981,5585
-0.173,10158
-0.117,8928
-0.0749,7295
0.575,732
-0.373,10075
0.0731,2856
-0.265,10889
-0.104,8211
0.0306,4807
0.11,2741
-0.0966,6653
0.134,1284
0.0592,2689
-0.161,8618
-0.0863,7146
-0.164,7807
0.041,4407
0.0925,3496
0.0518,3521
-0.0734,6174
0.0298,4376
-0.148,8811
0.0642,3911
0.112,2148
-0.0696,7592
-0.0287,6090
0.165,2181
-0.0134,5275
-0.218,8982
-0.151,8321
-0.109,7802
-0.168,8641
-0.111,8085
-0.228,6921
-0.0726,6572
0.0744,2966
0.0841,2148
0.0191,5004
-0.142,9191
0.0158,4725
0.13,2855
0.103,3044
-0.00623,5553
-0.0754,8192
0.0109,5076
0.162,2859
-0.236,7780
-0.126,9543
0.46,142
-0.401,10811
-0.0583,6567
0.0541,4290
-0.191,8998
-0.106,8913
-0.0868,8046
-0.214,8733
0.0273,4345
-0.601,8246
-0.0212,5475
-0.0322,6419
-0.0684,7518
-0.115,7373
-0.134,10004
0.0141,4955
-0.241,10158
-0.229,10161
-0.163,9727
0.229,1751
0.00852,5045
-0.000972,5616
-0.144,7709
0.0244,4579
-0.00141,5504
-0.489,7006
-0.22,9661
-0.168,7164
0.377,343
-0.0779,8013
-0.203,9926
-0.349,10192
-0.0255,6000
0.0626,3804
0.00866,5101
-0.0252,6011
0.0847,1645
-0.121,8235
0.133,2656
-0.141,9698
-0.091,8658
0.368,445
-0.17,10217
-0.156,8838
0.294,1762
-0.117,9060
0.0405,3662
0.0267,3756
0.208,772
0.148,1257
-0.224,9584
0.101,4216
-0.111,9827
-0.0204,6210
-0.0347,6279
-0.0466,6549
-0.0395,6489
0.138,1028
0.0854,1107
-0.157,9897
0.618,1
-0.268,9858
-0.0731,7682
0.671,820
0.0403,4041
0.185,931
-0.11,10268
-0.076,7702
0.158,2190
-0.27,8822
0.0444,4001
0.179,2199
-0.0297,5921
0.0668,2945
-0.132,7736
-0.151,9080
0.258,2147
0.176,526
0.0924,2970
-0.0377,6242
0.261,2413
0.198,1495
0.0242,4900
0.109,2204
-0.0973,9092
0.0308,4434
0.137,2814
-0.169,8499
-0.304,10374
0.0212,4380
0.139,1631
-0.0711,7102
-0.187,9336
-0.0509,5915
0.0927,3679
-0.171,9063
0.0105,4885
0.0203,4343
0.0131,4967
-0.0293,5582
-0.0163,5950
-0.105,8896
-0.0206,6332
0.0648,2969
-0.0859,7268
-0.182,9467
0.185,1968
0.203,2169
0.0643,2245
0.0902,3104
-0.249,9886
-0.292,9302
0.297,647
-0.236,9439
-0.504,8023
-0.329,9352
0.164,1549
0.357,244
-0.0904,7484
0.0425,3786
0.105,3060
-0.167,8843
0.16,1711
-0.0222,5440
-0.014,5479
-0.0455,7114
-0.0436,7327
-0.0959,6677
-0.233,8320
-0.125,6842
-0.0527,5152
0.089,2994
0.246,458
0.183,1242
-0.321,10916
-0.204,9653
-0.028,6050
0.158,1630
-0.111,7894
0.336,1223
0.0432,4338
0.025,4912
-0.232,9032
-0.0944,7981
0.0384,3584
-0.101,8008
-0.0707,6875
-0.252,9815
0.026,4543
-0.241,10266
-0.2,8809
-0.0127,5688
0.121,2753
0.211,1996
-0.25,10618
-0.0975,8045
-0.198,9197
0.0563,4023
-0.0719,6686
-0.152,8050
0.036,4529
0.0332,4109
0.118,2537
-0.131,7858
0.136,3089
-0.0703,6698
-9.67e-05,5222
0.127,1340
0.0211,4630
0.00395,5116
0.0288,4375
0.204,2339
0.138,2952
0.221,928
-0.103,8441
-0.207,10108
-0.0685,6573
0.275,777
-0.25,8532
0.00912,4770
0.391,408
-0.0359,6449
-0.176,7758
-0.149,7472
-0.133,9178
-0.174,10513
0.0395,4215
0.107,2786
-0.395,9819
0.236,2056
-0.167,8822
-0.331,10088
0.252,1898
0.333,1243
-0.0344,6340
0.112,3203
-0.239,7877
-0.0815,8290
0.0339,4456
0.122,1952
-0.11,7949
-0.124,9779
1.53,0
0.0995,1801
0.314,158
-0.341,10324
0.568,215
-0.158,9584
-0.252,8310
-0.155,9833
0.0932,2309
-0.0435,6893
0.126,1786
-0.0929,8022
-0.0866,6802
-0.21,10726
-0.00801,5277
-0.0934,6467
-0.0727,8644
-0.0604,8000
-0.0904,7092
0.393,32
0.177,1587
0.368,2853
-0.405,8896
-0.124,4229
-0.446,8050
0.761,250
-0.366,8132
-0.104,7284
-0.0498,6455
0.144,2142
-0.0111,5454
-0.134,10321
-0.147,10592
-0.0445,4661
-0.185,8789
0.0195,4768
0.181,2421
-0.137,8715
0.0508,3263
-0.175,6874
-0.175,8927
0.0169,5157
0.0555,3986
0.0385,4524
0.113,1945
-0.0901,7596
0.346,958
0.0264,4631
0.15,3600
0.168,2078
-0.0944,8562
-0.0976,6644
0.101,1349
0.051,4200
0.325,2117
0.0781,3153
0.114,2308
0.016,4766
0.0348,4451
1.01,246
0.0798,3593
0.00728,4926
-0.088,7820
0.0407,4508
-0.158,7398
0.21,1439
0.415,1121
-0.0384,6225
0.144,1348
0.0769,4188
-0.0304,6224
0.173,2129
-0.16,9196
0.274,500
-0.0526,6909
-0.177,9320
-0.217,9203
0.0116,5062
-0.454,9753
-0.00575,6114
-0.12,8888
-0.398,10873
0.0549,4563
-0.0837,6969
-0.0326,5835
0.0761,2822
0.0439,2630
-0.0384,9733
-0.119,8098
-0.0489,5808
0.168,1693
-0.265,8538
0.118,1269
-0.359,10585
-0.201,9090
-0.0347,5753
-0.312,8705
0.245,1470
0.103,2152
-0.263,10320
-0.000233,5279
0.403,434
-0.237,10172
-0.0709,7839
-0.00558,5702
-0.159,8940
0.0142,4913
-0.0266,5832
-0.0806,7915
-0.308,9921
-0.133,9523
-0.0064,5731
-0.228,5176
-0.0581,6061
-0.405,10780
-0.0474,5791
0.0378,4074
-0.0307,6187
-0.0388,6097
0.0476,4433
-0.283,9774
-0.358,9746
-0.111,8709
0.377,1146
-0.35,10158
0.0533,3826
-0.38,10159
-0.268,10481
0.156,624
-0.0626,8350
-0.213,9578
-0.104,7551
0.114,2736
0.0194,4699
-0.0177,6055
0.153,2900
0.0796,3876
0.341,1054
0.199,1903
-0.277,9765
-0.114,8266
-0.0322,6469
0.088,3560
-0.263,10010
-0.147,9738
-0.217,10077
0.122,2237
-0.00983,5793
-0.179,9763
-0.262,9094
-0.133,8860
0.0712,3657
-0.0761,8042
-0.477,10704
0.0595,3406
-0.00739,5344
0.639,215
-0.0157,5761
-0.11,8813
-0.144,9793
-0.0976,8134
-0.136,9349
-0.118,8384
0.00361,5273
-0.0514,9811
-0.0244,6230
-0.0176,6073
-0.242,8340
0.43,1179
0.163,1336
-0.0739,7716
0.114,1899
-0.11,7861
-0.14,8191
0.0186,4781
0.0721,3366
0.0926,1449
0.14,1094
0.078,4054
-0.0377,6454
0.188,3021
0.218,1748
-0.35,10129
0.0188,4689
-0.279,8123
-0.0253,5300
1.05,92
-0.16,7381
-0.0155,5807
0.0398,3998
0.0408,4082
0.145,1210
0.389,964
0.124,2534
-0.135,9612
-0.0535,6716
-0.255,7491
-0.217,8620
-0.268,9454
0.158,3710
-0.178,10341
0.0364,4453
-0.22,9632
0.163,2168
-0.0913,7659
-0.291,9652
0.163,1044
0.0793,1955
0.645,2139
-0.255,6978
0.69,1329
-0.38,8068
-0.112,8741
-0.191,8534
-0.125,8853
-0.0932,7257
0.055,4046
-0.254,10353
-0.0528,6724
0.0504,4143
0.145,2190
0.138,2134
0.0205,4859
-0.537,9578
0.0165,4723
0.00213,5068
-0.00585,5188
0.103,2749
-0.156,8663
-0.0388,6017
-0.157,9155
0.27,1079
-0.00457,5425
-0.0092,5495
0.0946,3261
-0.0826,7295
-0.119,9111
0.025,4569
-0.207,10151
0.00781,5105
-0.0594,6262
-0.00715,5600
0.0535,3882
0.157,2761
0.012,5048
0.0917,3304
-0.172,8914
-0.101,7670
0.414,64
-0.044,7226
0.261,2355
-0.233,10269
-0.414,10788
-0.272,7449
0.0744,3241
0.297,393
0.0345,4508
0.115,1921
0.146,1333
-0.176,8986
-0.0378,6665
-0.0465,6851
-0.0387,6644
-0.142,9572
-0.293,9259
0.77,162
0.0134,4715
-0.0356,6171
0.452,426
0.0793,3296
0.242,1294
-0.0477,6802
0.154,1892
0.0039,5269
0.00995,5161
0.388,806
0.426,133
-0.177,8476
0.0847,2869
-0.0331,6637
-0.0865,6265
0.172,488
0.09,4005
-0.068,5174
0.0448,4173
-0.052,7120
-0.0471,6406
0.222,826
-0.272,9297
0.274,1125
-0.158,9341
0.114,1902
-0.0227,6456
0.318,240
0.265,726
-0.17,9270
-0.127,8897
0.0104,5025
-0.108,9017
0.0866,3909
0.702,1170
0.105,2511
-0.138,10079
-0.0906,9310
-0.0289,6618
0.398,562
0.13,2754
0.0316,4189
0.0224,4186
0.134,1704
0.082,3620
0.0942,3746
0.155,2616
0.215,1631
-0.102,7481
0.109,3441
0.229,1076
0.064,4174
-0.156,9274
0.0605,3178
-0.266,10838
-0.393,6283
-0.0354,6879
-0.0716,6111
-0.0164,5451
0.104,1780
-0.247,8399
0.244,3341
0.605,2139
0.0915,3983
-0.0957,5925
0.371,1018
0.23,1802
-0.0279,6562
-0.149,9312
-0.197,10393
0.0166,4464
-0.0581,6641
0.428,1117
-0.12,6336
0.358,83
0.142,1940
0.21,530
0.307,1075
-0.0938,7854
-0.364,10363
0.248,309
0.0356,4528
-0.18,9198
0.339,1139
0.128,3036
-0.152,8690
-0.125,7577
0.0849,2598
-0.181,10315
0.328,1307
-0.072,7973
0.291,1216
-0.289,9951
0.0968,2611
0.244,1606
-0.033,6166
0.959,286
-0.143,8587
0.198,2273
0.136,1968
-0.144,9063
-0.224,9111
-0.26,9930
-0.0753,6722
0.354,1042
-0.00228,5239
-0.029,6038
-0.0625,6882
-0.151,6122
-0.188,8562
-0.104,7460
-0.0162,5672
0.174,1533
0.00388,5210
0.0167,4703
-0.245,7433
0.291,2660
0.297,228
0.162,640
0.165,1003
-0.16,8663
-0.0479,7612
0.211,2639
-0.179,9466
0.0271,4644
-0.239,8402
-0.193,8857
-0.125,7711
0.363,532
-0.249,10002
0.0917,2598
-0.125,7448
-0.0426,5852
0.435,2265
0.357,1204
-0.0425,6858
0.0213,5197
0.596,62
-0.0416,6755
0.0515,4094
-0.404,9890
0.246,1081
0.0756,3519
0.303,490
-0.000802,5299
-0.246,7534
-0.256,6611
-0.0424,6862
0.0232,4427
-0.18,9839
-0.0698,7174
0.308,582
-0.0339,5544
-0.289,10950
0.356,155
-0.0365,6070
0.609,358
-0.0407,6443
-0.0586,7472
0.0166,5033
-0.127,10072
0.00632,4973
0.0199,4770
-0.218,10979
0.249,1039
-0.255,9345
-0.123,9512
0.00531,5138
-0.182,8894
0.206,1789
-0.0391,5572
-0.0496,6568
0.0548,4230
-0.25,10222
-0.173,7425
0.521,337
0.00411,5083
-0.155,10130
-0.142,7518
0.104,3848
-0.0262,5928
-0.166,8209
-0.2,9130
0.249,438
0.0291,4624
0.447,621
0.00755,5108
-0.0162,5046
-0.366,9615
0.474,106
-0.141,10273
0.0366,4675
-0.116,7435
-0.0684,7276
0.451,626
0.206,692
0.0678,3328
-0.0738,10573
-0.00393,5901
-0.00545,6067
-0.00351,5955
0.0316,942
-0.3,6054
-0.283,10455
-0.427,8709
-0.694,9518
2.98,198
0.0142,4792
0.125,3091
-0.15,6181
-0.197,9018
0.607,721
-0.202,10439
-0.00173,5204
0.163,3362
0.156,2012
-0.263,9455
-0.0996,9837
0.329,235
