coef,rank
-0.152,7537
-0.242,10019
-0.0144,5988
0.511,535
3.63,48
0.283,3014
-0.0465,5476
0.125,2449
-0.139,9523
-0.169,8775
0.264,1028
-0.432,10799
-0.0847,7660
0.0957,2011
0.0358,4436
-0.0442,6470
0.307,2204
0.0237,4516
0.11,1480
0.0702,2077
-0.178,9747
-0.0631,7340
-0.575,10788
-0.358,9848
-0.0332,6332
-0.34,10717
-0.202,8475
0.0375,4301
-0.0865,8709
-0.207,6407
-0.192,9273
0.0575,3553
-0.0737,6949
-0.123,6571
-0.233,9713
0.167,2629
-0.189,10014
0.0811,2204
0.0467,3979
0.722,129
-0.118,7841
0.0454,4238
0.0679,3144
-0.07,9105
0.0225,4767
-0.0562,6749
-0.132,7999
-0.246,8800
-0.0382,7254
0.0453,3081
-0.199,8960
-0.0716,7651
0.093,3488
0.483,226
0.0299,4340
-0.13,9830
-0.125,8592
0.347,1118
-0.149,7079
-0.302,9894
0.168,442
-0.167,10224
-0.0775,6742
0.303,895
0.153,933
-0.172,10759
0.327,335
-0.102,9113
-0.0982,8284
0.134,1544
0.0961,3007
0.16,3506
0.125,1866
0.111,2282
0.0363,4551
-0.367,10533
0.461,1044
0.0312,4422
0.146,1718
0.124,1895
-0.124,9064
-0.235,10284
-0.0793,6201
-0.149,7359
0.0673,3046
0.256,308
0.103,2920
-0.142,7778
0.0277,4425
0.166,2722
0.0116,4950
-0.0334,7099
0.11,3029
0.0491,4130
-0.154,7670
-0.349,10385
-0.0322,5835
-0.0347,6566
0.341,1381
-0.13,10098
-0.0605,6748
-0.327,10673
0.116,2053
0.154,1345
-0.266,10708
-0.11,7738
0.766,165
-0.173,8320
0.121,2957
0.214,1338
0.161,2187
-0.0774,7273
-0.451,9164
0.0542,4290
-0.0161,6151
0.00639,5233
-0.00557,5487
-0.184,9931
-0.0499,7334
-0.000136,5351
-0.153,9027
-0.129,9789
-0.0778,8259
-0.0476,7234
-0.177,8137
0.198,3026
0.0678,2871
-0.0169,5705
0.0974,3624
0.139,2165
0.363,671
-0.213,9368
-0.107,8926
-0.194,10156
-0.109,7066
0.0177,4688
-1.25,10660
0.0963,4071
-0.0255,6160
-0.0463,6857
0.791,59
-0.145,10173
0.214,2075
-0.16,8967
-0.0482,6506
-0.0851,8006
-0.076,6375
-0.161,8931
-0.0855,8464
-0.0309,5748
-0.12,8859
0.115,1721
-0.998,9313
-0.247,9976
0.139,3570
0.0132,4940
-0.0787,8047
-0.057,6962
0.151,2991
-0.13,8478
-0.111,8355
-0.152,9565
-0.221,9912
-0.13,10407
-0.0236,5768
0.134,2608
-0.0426,6924
-0.0398,6905
0.0108,5271
0.0352,4157
-0.121,8132
0.464,815
0.00384,5072
-0.101,8810
0.00189,5217
-0.0515,6739
-0.0324,6432
0.191,2036
0.412,1901
0.106,1278
-0.126,9148
