coef,rank
0.0635,4216
-0.417,10964
-0.253,10885
-0.0427,5720
1.03,1338
-0.615,10252
0.229,2914
-0.123,8503
-0.0848,8084
-0.0847,7056
-0.0863,7089
-0.161,8185
0.106,2466
-0.119,9562
0.187,1171
0.0828,3690
0.131,3641
-0.0149,4896
-0.0611,8142
-0.0153,6476
-0.0726,7371
-0.0617,7302
-0.316,9211
-0.293,9225
0.142,2005
-0.00253,5205
0.117,3253
-0.247,9657
0.261,213
0.0262,4370
-0.228,9761
-0.00115,5376
0.0518,4337
0.0854,3947
0.145,2360
0.141,2964
-0.0502,6969
-0.00951,5688
0.171,1565
-0.187,8089
0.126,2847
-0.0913,7161
-0.0827,8136
0.0241,4074
0.0398,4384
-0.125,8525
0.0374,4613
-0.12,6854
-0.0556,8038
0.11,907
0.277,1314
0.168,1664
0.117,3124
-0.352,10591
0.0137,4684
-0.0653,7907
-0.0508,6626
0.22,2094
0.16,3264
-0.119,7255
0.0308,3905
-0.0776,8256
-0.196,8786
-0.288,10192
0.0074,5133
-0.0585,8006
-0.0959,7849
0.0291,4354
0.112,2541
0.0717,3000
0.121,2524
-0.0501,5413
0.137,1656
-0.0178,5824
0.131,2496
0.0434,4393
0.0655,4320
-0.0135,5958
0.14,1834
0.111,2172
-0.257,10745
-0.00801,5493
0.724,385
0.255,1942
0.0293,4412
-0.167,10030
-0.419,11014
0.018,5008
0.217,1247
-0.0884,6514
-0.127,9791
-0.0802,9045
-0.284,10286
-0.322,10561
0.764,63
-0.318,10145
-0.199,8958
0.00608,5085
-0.353,9940
0.0419,3886
-0.196,9592
-0.214,9572
-0.196,10440
-0.0475,6893
0.154,1512
0.422,272
-0.335,9650
0.0959,3544
-0.0394,6103
0.312,522
-0.379,10810
0.0213,4637
0.296,2684
-0.225,9068
-0.188,10528
0.151,716
-0.131,7807
-0.101,8298
-0.13,9792
0.121,2996
-0.0595,6862
-0.0392,6911
-0.209,10711
0.202,471
0.0249,4851
0.203,2980
0.00144,5281
0.0737,3646
-0.175,8740
0.118,2524
-0.191,8998
0.888,18
0.0487,3709
0.069,3477
-0.153,7792
0.00235,5216
-0.906,9813
0.509,1010
-0.102,8748
-0.185,10083
-0.0381,6078
-0.0755,8457
-0.119,7397
-0.116,8174
0.159,1883
-0.0235,6290
0.203,2025
0.00584,5106
0.0983,2477
0.624,138
-0.00584,5556
-0.00708,5708
0.656,2259
0.149,2248
0.268,2435
-0.184,9175
-0.0614,7513
-0.219,10103
-0.152,7768
0.177,1699
0.202,1285
-0.274,10823
-0.108,8009
-0.0843,9304
0.0667,3600
0.254,1029
-0.0373,6718
-0.138,9889
-0.25,10133
-0.0994,8741
0.101,3179
-0.462,10518
-0.18,10280
-0.165,10172
-0.0225,6741
0.124,1926
-0.073,7806
-0.162,8621
-0.544,10392
0.104,1337
-0.0199,6194
0.258,1143
0.138,2262
0.0887,3175
0.0181,4383
0.0437,2706
-0.0597,7425
0.0475,4024
-0.28,9967
-0.052,7051
0.019,4656
-0.34,11000
0.125,1887
-0.0701,9149
0.062,3330
-0.285,10338
0.394,959
0.2,852
0.348,731
-0.0273,5870
-0.0518,7409
-0.121,7511
-0.0351,6045
-0.121,7090
-0.0286,6405
-0.119,8689
0.26,1036
0.127,3602
0.169,1893
-0.00776,5591
-0.104,8569
0.0303,4097
-0.00226,5357
0.0827,3715
-0.0383,5986
-0.301,10344
0.0638,2329
0.16,1257
0.152,2062
0.0284,4764
-0.093,6607
-0.228,8671
0.0512,4231
0.0453,3614
0.0615,2645
0.271,1385
0.167,2780
0.165,1917
-0.146,9833
-0.131,10046
0.0407,3808
0.0434,4313
0.143,2564
-0.0391,6302
0.21,2081
-0.0274,6959
-0.00489,5167
-0.171,8730
-0.169,7810
0.00238,4845
0.421,419
-0.507,8046
0.549,816
0.194,1143
0.315,396
0.00583,5326
0.0182,4589
-0.141,8843
-0.0478,6460
0.0845,3180
-0.773,9468
0.205,2418
0.109,1715
0.0382,3795
0.208,2631
-0.279,8897
-0.131,6912
0.2,2888
-0.0297,6232
-0.13,8901
-0.203,10258
