coef,rank
0.0362,4595
-0.0548,6645
0.0499,3721
0.138,3139
-0.278,5956
-0.224,6638
0.375,1962
-0.108,8204
-0.0237,5969
-0.278,10299
0.138,2490
-0.156,8103
0.14,1855
-0.114,9423
0.297,291
-0.0925,7512
0.273,2390
0.153,3399
0.0108,5010
-0.0574,8655
-0.0633,7082
-0.0637,7365
0.992,28
-0.384,10045
-0.0447,6662
0.166,1993
-0.235,8943
0.0542,3965
0.154,1032
1.14,380
0.0539,4140
0.0667,3301
-0.0952,7396
-0.201,7584
-0.0281,5722
-0.113,7311
-0.00504,5633
0.117,1333
0.4,103
-0.123,7065
0.198,1746
0.247,1274
-0.0688,7704
-0.0248,6911
-0.0951,7422
0.498,24
0.432,349
0.272,1543
-0.0324,6991
-0.061,8591
-0.00817,5423
0.115,2663
-0.126,7696
0.212,1739
-0.302,10296
0.0346,3853
-0.0109,5452
-0.0361,5593
-0.13,6816
-0.0699,6318
-0.0763,8649
-0.00516,5791
0.229,1811
-0.357,10665
-0.184,10592
-0.145,10457
0.0158,4844
-0.00392,5647
0.285,398
0.23,424
0.0639,3666
-0.296,8135
-0.203,10277
-0.129,8923
-0.136,8720
0.00888,4997
-0.482,10403
-0.0767,8039
0.315,230
7.78e-05,5444
-0.0483,7104
0.324,372
-0.197,7701
0.0126,4933
-0.0216,6349
0.117,1948
-0.186,9808
0.0837,3973
0.122,2533
0.406,792
-0.121,9660
0.0922,1661
-0.0265,5855
0.153,2326
-0.333,9987
0.782,25
0.207,1851
-0.171,10180
-0.0809,6304
-0.0658,8357
-0.041,6248
-0.185,9143
-0.138,9544
-0.228,10661
0.066,3347
-0.23,9834
-0.0112,5239
-0.361,10403
0.243,1395
0.0665,3737
-0.318,10521
0.141,2066
-0.263,7295
0.238,1866
0.0108,5146
-0.00597,5832
0.448,425
-0.0814,7789
-0.0767,8305
-0.0439,6266
-0.0341,6198
-0.0148,5884
0.000294,5377
0.03,4362
-0.0967,6839
-0.17,7007
-0.0196,6090
0.0603,3914
-0.288,10143
0.173,1654
-0.111,7562
0.113,3166
-0.032,6510
0.381,114
-0.268,9473
0.0713,2916
-0.343,6474
0.176,3218
0.0791,2569
0.0982,2525
0.13,3497
-0.0604,7923
-0.0541,6215
0.0557,4146
-0.0152,5626
0.0555,3999
-0.0362,5673
-0.288,10521
-0.0179,6224
-0.0695,6397
-0.0746,7721
0.109,1851
0.71,2157
-0.263,10150
-0.319,8918
-0.129,8179
-0.152,9827
-0.194,9818
-0.134,7500
-0.157,9014
0.0916,3151
-0.0956,8218
0.0817,3598
-0.119,10206
0.176,1566
0.0328,4837
-0.0398,6817
-0.0565,7556
-0.177,9211
0.187,769
0.0284,4720
-0.121,6794
-0.0222,5999
0.00886,4828
-0.0515,8365
-0.0192,5734
0.124,1664
-0.0999,7442
0.31,2494
0.127,856
0.237,583
0.268,1056
-0.334,10891
0.191,1389
-0.054,7253
-0.204,11019
0.0681,3228
-0.374,11000
0.0298,4538
-0.147,9556
-0.225,7213
0.0457,3888
-0.111,8893
-0.088,9741
-0.108,8663
0.0656,3789
0.817,64
0.212,750
-0.0788,6930
-0.0555,6539
-0.132,9737
0.233,1557
-0.244,10486
0.328,1581
-0.0724,8171
0.0479,4090
0.266,977
-0.324,8971
0.235,1042
0.639,28
-0.0506,6935
-0.0451,7238
-0.0261,6051
0.116,3139
-0.251,9650
0.0246,4516
-0.00413,5829
-0.151,9824
-0.223,10006
-0.0527,6657
-0.107,6886
-0.25,8990
0.151,2364
-0.0934,8815
-0.129,10162
-0.143,7922
-0.247,9083
-0.0124,5860
-0.0342,6640
0.0262,4391
0.111,1640
-0.091,7399
0.0717,3937
0.253,1205
0.578,220
-0.0109,6064
-0.201,9561
-0.0676,6656
-0.0574,6087
-0.0123,5175
0.0865,3540
-0.277,5828
0.153,3364
0.224,791
-0.186,9431
0.0803,3740
-0.102,8773
0.0107,5229
-0.258,10101
-0.0293,6089
0.873,1608
0.441,709
-0.0113,5750
-0.0866,8967
0.708,228
0.906,89
-0.191,7759
-0.0817,5440
-0.0531,6942
0.0663,3297
-0.0102,5720
-0.118,8688
0.135,2722
-0.25,10168
0.0403,4256
-0.027,5932
0.194,2389
-0.0881,7924
-0.0984,8057
-0.12,7208
0.264,812
0.059,2687
0.174,1347
-0.264,10290
0.279,1209
-0.0408,6367
0.032,4282
0.019,4736
-0.109,7883
0.0476,4167
-0.0483,6396
-0.214,10263
0.173,1355
-0.0298,6157
0.12,2764
-0.00712,5448
-0.284,9976
0.314,470
0.15,853
0.158,1846
0.00701,4911
0.0946,3676
-0.124,7744
-0.228,9480
-0.0548,7906
0.246,267
0.147,3270
-0.186,9622
-0.183,8148
0.0479,4186
-0.0977,7919
-0.0714,7509
-0.136,8923
0.0396,4171
0.246,1009
-0.213,8000
0.054,2830
-0.112,7441
-0.209,10283
0.637,273
-0.172,7841
0.0256,4180
-0.0222,6172
-0.00143,5372
-0.108,8377
-0.113,6597
0.059,4385
-0.268,10135
-0.133,7449
0.322,1335
0.207,2326
-0.0875,7724
0.32,989
0.33,2268
-0.0398,6816
0.14,2099
0.172,1132
0.0102,4834
-0.0249,6236
0.337,1643
0.113,1487
-0.173,10039
-0.228,9100
0.0469,4276
0.0753,3216
-0.164,7175
-0.158,9901
0.00784,5079
0.129,1707
-0.0275,6240
-0.185,9807
-0.197,8771
-0.0217,6155
-0.443,10435
-0.4,10260
-0.0628,8238
-0.215,10922
-0.148,8287
-0.104,8493
0.0223,4714
-0.588,8569
-0.264,7487
-0.303,5447
0.115,3652
0.0917,4003
0.52,1792
0.0518,4375
-0.212,9415
-0.0691,7210
-0.186,9407
-0.16,10660
-0.00146,5205
-0.149,5444
0.546,133
0.0227,4709
-0.138,7996
-0.00795,5738
0.0384,3728
-0.33,8906
0.0149,4999
-0.397,11011
0.223,1327
-0.206,8800
0.00116,5276
-0.107,7965
0.319,1167
-0.179,8150
-0.594,10467
-0.123,8105
-0.00699,5657
-0.391,10302
0.0207,4314
0.423,391
1.17,74
-0.0429,6677
-0.097,8167
-0.0698,7248
-0.129,8139
-0.159,6469
0.212,1666
-0.103,8606
-0.0633,7089
-0.168,9326
-0.27,8925
0.161,2140
-0.105,6369
-0.353,10867
-0.0451,6975
-0.401,9856
0.00327,5258
-0.263,9946
0.214,1145
-0.0311,6122
-0.0592,7116
0.186,1805
0.142,2535
0.0763,3851
-0.0419,5381
-0.0448,9409
0.0233,4482
-0.318,10536
0.524,437
0.245,1396
0.148,2630
-0.139,9827
0.0369,2989
-0.0398,9831
-0.171,9125
-0.216,7929
-0.284,10598
-0.309,9016
0.0739,2394
0.253,1413
-0.13,7886
0.421,362
-0.323,8815
0.049,4445
-0.159,10136
-0.0847,7215
0.0668,4084
0.022,4734
0.254,998
-0.0445,6812
0.0138,5060
-0.087,7461
0.149,2121
-0.295,10155
-0.0552,7148
0.222,2001
0.146,1536
-0.00255,5528
-0.233,5236
0.41,1382
0.14,2792
-0.169,7407
0.096,2315
0.0231,4997
0.218,2046
-0.248,7963
-0.157,8054
-0.106,6575
-0.0174,6007
-0.295,9121
0.199,2589
0.00037,5258
-0.0877,6627
0.107,2930
-0.122,9977
-0.084,9112
-0.218,9649
0.27,1083
0.0721,3649
-0.202,10228
0.0833,2516
-0.372,10363
0.0844,3799
-0.134,7602
-0.162,9197
-0.0728,6540
-0.112,8228
-0.0527,7067
0.279,1216
0.123,2671
-0.199,10456
0.00695,5036
-0.167,9294
0.242,1004
-0.0949,7899
0.28,2145
-0.00292,5182
0.0778,3495
-0.0655,7661
0.196,2351
0.148,1369
0.00635,5049
-0.212,8702
-0.00647,5509
0.129,1821
0.0427,3938
-0.074,7456
0.048,3876
-0.0331,6284
0.228,930
-0.021,7696
0.0212,4951
-0.165,10170
-0.0647,5899
0.663,431
-0.0816,8165
0.00161,5222
-0.0326,6612
0.158,1991
-0.0343,5913
-0.27,7889
0.0056,5012
0.0242,4003
-0.0488,7131
0.107,3734
-0.195,9576
-0.0626,5574
0.151,2543
0.103,3375
0.0968,2090
0.305,2272
-0.47,10083
0.644,608
0.0775,4251
0.111,1450
0.131,1546
-0.0878,8449
-0.0139,5584
-0.0189,5456
0.103,2936
0.0421,3672
-0.104,7943
-0.361,8627
-0.199,8362
-0.12,7383
1.2,483
0.0443,3739
-0.0864,7938
0.0124,4776
-0.129,8499
0.144,1949
0.0281,4877
-0.0601,7266
0.0723,2202
0.00147,4559
0.103,3939
-0.719,10312
0.904,962
-0.164,9808
-0.372,10472
0.0398,4064
-0.117,7796
-0.246,9844
-0.121,8318
-0.0577,6879
0.0773,3613
-0.249,10472
-0.137,8776
0.963,177
-0.0311,5456
-0.165,9593
-0.195,9067
0.169,1883
0.059,3633
-0.183,9172
0.0622,3783
-0.136,8696
-0.217,9266
0.028,4557
-0.0143,5644
0.302,863
-0.153,8770
-0.193,10423
-0.0351,6569
0.0168,5042
-0.0421,6555
0.152,2871
0.102,1925
0.236,589
0.315,1163
-0.136,8526
-0.113,8118
-0.0266,5805
0.192,1880
0.253,602
-0.0408,7090
-0.0927,6233
0.0658,3503
-0.175,8374
-0.641,9929
0.0316,4422
0.323,273
-0.0732,6203
-0.143,9695
-0.0901,8495
0.197,1729
0.144,1516
-0.173,9961
-0.0594,7191
0.193,675
0.0692,4137
0.0403,4747
-0.0944,9743
-0.223,9717
0.0412,4457
-0.209,9932
0.015,4935
-0.272,10719
0.149,1970
-0.0539,6991
-0.264,9834
-0.0313,5587
-0.161,9219
-0.164,8270
0.156,1462
-0.112,9266
-0.125,6832
-0.0888,8984
0.22,2618
-0.539,9964
-0.0919,8204
0.0419,4248
0.0886,3477
-0.265,10578
-0.0941,6562
-0.249,9906
-0.141,9009
-0.132,9563
-0.0104,5835
0.327,213
0.175,1707
-0.174,9348
0.129,1823
0.0294,4699
-0.0714,7844
-0.123,7198
0.181,3517
-0.179,10141
-0.0331,6713
-0.0585,8139
-0.00841,5901
-0.0812,6971
-0.136,8039
-0.117,9471
0.0311,3729
-0.218,10520
-0.332,10233
-0.264,9625
-0.0705,6316
0.266,1079
-0.123,7943
0.268,1612
-0.0313,6062
-0.0953,6764
0.332,196
-0.124,9596
0.111,2082
4.13,55
0.104,2287
0.42,980
-0.318,10089
0.146,905
-0.256,8510
-0.648,9759
0.00767,3848
0.35,1738
0.154,3587
0.179,2644
-0.268,9936
0.276,386
0.227,990
-0.149,9717
0.00756,4976
0.185,2406
0.708,307
0.0613,4120
0.145,1463
0.175,1401
-0.0579,7426
-0.182,8711
0.0143,4845
-0.105,7046
-0.227,10686
-0.14,8890
0.347,438
-0.144,7075
-0.0695,6652
-0.0558,6756
0.266,1382
0.264,201
0.208,656
-0.149,7406
-0.128,9427
-0.0247,5981
0.268,1676
0.183,1022
0.233,1721
-0.0279,6060
0.203,3018
0.503,69
-0.00804,5386
-0.161,9386
-0.0603,6963
-0.113,7260
-0.177,8699
-0.113,7460
0.122,3321
0.167,2433
0.311,300
-0.105,7875
-0.146,6064
0.341,872
-0.223,9417
0.109,2561
-0.00327,5419
-0.122,9342
-0.0839,7409
-0.0185,4954
0.25,2774
-0.0792,7926
0.213,219
-0.0292,6602
-0.25,9974
0.0826,1803
-0.155,7690
0.0663,3545
0.0308,4512
-0.0534,5701
-0.156,8249
-0.0388,5849
-0.169,8842
0.155,2482
-0.0724,7919
-0.172,8210
-0.18,8068
0.886,755
0.614,257
0.296,60
0.0437,4680
-0.156,8488
-0.173,9890
-0.313,10887
-0.388,9759
0.379,317
0.354,293
-0.17,9353
0.123,1901
-0.308,8227
-0.309,7084
-0.0315,6528
-0.104,9017
0.00878,5004
0.283,508
-0.123,8101
-0.128,7202
-0.188,10286
-0.00335,5387
0.0148,4716
-0.388,10198
-0.127,8456
-0.00759,5671
-0.0848,8277
0.0982,1631
0.0336,4221
0.164,2732
0.0873,2033
0.301,672
0.0796,4033
-0.0989,8864
-0.0115,5526
0.171,2055
0.144,2641
-0.221,8086
-0.318,10741
0.0369,4571
0.00511,5021
-0.0685,6018
0.38,844
0.0266,4558
-0.122,9449
0.0882,4143
-0.358,9470
0.319,962
0.171,2533
-0.0588,6595
-0.0806,8049
0.327,554
0.172,2674
-0.167,10424
-0.0854,5732
-0.264,8571
-0.062,6917
-0.13,10066
-0.0029,5634
0.262,1606
-0.0588,7003
-0.146,7280
0.1,2399
0.0863,2892
0.0216,3529
-0.0215,8739
-0.00396,5879
-0.0162,8281
-0.027,9777
0.979,1709
-0.148,8654
-0.0857,5307
-0.205,5660
0.201,3316
-0.359,10893
0.144,2776
-0.262,7388
-0.0755,6800
0.509,1073
-0.0295,6325
0.385,640
-0.697,8183
-0.191,9751
0.258,1544
-0.0792,9235
-0.0087,5192
0.146,2158
-0.451,10627
0.0699,4175
0.0844,4142
-0.0828,6631
-0.28,10682
0.0501,4261
-0.0885,4900
-0.222,8472
-0.369,10612
0.482,2477
-0.219,9819
-0.059,7286
-0.271,9694
0.125,2695
-0.0292,6848
0.14,1107
-0.205,9167
0.0575,4249
-0.146,9218
0.0691,4121
0.379,296
-0.0786,8302
0.0386,3248
-0.0811,7209
-0.119,8528
-0.239,9854
0.317,1535
-0.0209,5544
0.165,1522
0.000863,5223
-0.164,9063
-0.0499,6593
-0.0544,7484
0.105,2123
0.325,314
-0.227,10263
-0.142,9778
0.479,486
0.462,1200
-0.0769,7400
-0.0921,7887
-0.3,6311
-0.0944,8320
0.111,3199
-0.0048,5356
-0.107,8533
0.00424,5039
-0.427,10507
0.0989,2285
-0.0168,5236
-0.00642,5333
-0.0218,5966
-0.0157,5751
0.0212,4813
0.08,3342
0.102,3109
-0.406,10201
0.0893,2413
-0.0982,8927
0.279,2791
-0.172,8401
-0.177,9829
-0.121,7974
-0.141,9200
0.0612,3318
-0.0572,4417
-0.114,5061
-0.138,9402
0.534,1795
-0.0556,6534
0.00926,5105
0.0106,4997
-0.188,10063
-0.23,9066
0.0258,4341
0.0306,4670
-0.0422,6731
-0.22,6767
-0.904,10044
-0.77,9505
-0.366,10433
-0.229,9598
0.0822,3498
0.212,2886
0.213,1149
-0.0157,5771
0.177,1504
0.0913,2882
-0.109,7879
0.241,1285
0.294,471
0.356,286
0.0505,3956
0.0542,3871
-0.297,9891
-0.203,10218
0.0913,3594
-0.128,7976
0.426,168
0.0312,4881
0.64,643
-0.0714,6278
-0.372,10897
0.124,2857
-0.0214,5860
0.218,998
0.0419,4471
0.1,2709
-0.0472,6256
-0.163,10329
