coef,rank
-0.401,10283
0.125,2693
0.0429,3962
-0.474,10615
0.00372,4152
2.9,6
0.085,4115
0.00357,5302
0.00495,4974
-0.184,9052
-0.0666,6669
0.258,1497
-0.13,8816
0.3,42
0.127,2154
0.189,1935
0.0517,4407
-0.46,9775
0.0242,4439
-0.0481,8207
-0.0615,7039
-0.125,9173
-0.29,8919
-0.184,7867
-0.106,8239
0.193,1646
0.223,1991
-0.246,9650
0.136,1381
-0.0725,5138
-0.242,9925
-0.0552,7107
-0.102,7526
-0.289,8700
-0.256,10001
0.423,620
-0.133,9051
-0.0948,9113
-0.397,11006
-0.0659,6104
0.488,143
-0.16,8474
-0.145,9678
-0.0392,7682
-0.282,10355
-0.0179,5667
-0.31,10331
0.331,1130
-0.153,10646
-0.0593,8523
0.121,3200
0.0358,4609
-0.00479,5328
0.255,1338
-0.072,6576
-0.0866,8656
-0.158,9294
-0.0602,5981
0.474,1063
-0.137,7576
0.0836,2012
0.0434,4101
0.0868,3736
-0.0504,6221
0.00836,5091
-0.0295,6692
0.265,675
-0.105,9205
0.133,2109
-0.219,10667
-0.102,7835
0.33,2251
-0.0329,6213
-0.136,9073
0.195,1555
-0.00799,5315
-0.0537,5820
0.146,1499
-0.0436,6608
-0.11,8879
-0.181,10053
0.0921,3026
0.313,2124
0.189,2672
-0.0807,8508
-0.115,8980
-0.0277,6218
-0.113,7266
0.107,2794
-0.138,7355
-0.0822,8619
-0.0325,7067
0.222,1465
-0.165,8719
0.337,1116
-0.329,10251
0.0849,3620
-0.0693,7795
0.377,1176
-0.157,10474
0.118,2586
0.136,2600
-0.129,9350
-0.182,10188
-0.105,8281
-0.0276,5883
-0.0791,6262
-0.255,9483
0.132,2782
0.0741,3575
0.348,523
-0.109,8047
0.05,4397
0.0473,4415
-0.0275,6588
-0.1,9450
0.129,3158
0.0572,3929
-0.0962,8893
-0.306,10397
-0.0548,6744
-0.0442,7130
-0.166,10262
-0.243,10910
-0.0608,6248
-0.0968,6106
-0.0878,8543
0.358,420
0.0346,4774
-0.0713,6845
0.0597,4193
-0.187,8937
0.0189,4729
-0.17,9849
-0.0815,6564
0.0291,4282
0.842,1757
-0.467,10224
-0.0633,7564
0.165,1267
0.114,3704
0.0855,2458
-0.242,9291
0.0279,4757
-0.079,7326
0.0428,4369
-0.407,10592
0.112,2927
-0.101,8929
0.656,103
-0.123,8936
-0.0195,6206
0.495,2629
-0.0239,5596
-0.397,9672
0.0514,4094
-0.0292,6402
-0.148,9073
0.0616,4295
0.0389,4365
-0.0768,7514
-0.161,9710
-0.019,5859
-0.0367,7285
-0.0319,5994
-0.0153,6026
0.16,1133
-0.0857,8506
0.183,2038
-0.246,10864
0.237,1172
0.0939,3767
-0.00583,5408
-0.00215,5257
0.0553,2326
0.108,2201
-0.022,6096
0.0557,4227
-0.348,8985
-0.258,11013
-0.0715,7752
0.214,1543
0.0927,3064
-0.261,10596
0.114,1460
0.0149,4213
0.24,395
0.0808,3110
0.0955,3366
0.00909,5140
-0.192,6847
0.0726,3159
0.128,1790
0.0572,2630
-0.133,9273
-0.127,8030
-0.434,10449
0.165,1301
-0.148,8280
0.323,655
0.0938,2180
-0.0517,6200
-0.211,10115
-0.0201,5610
-0.00828,5577
0.0356,4431
0.118,2874
0.0937,3989
-0.164,9203
-0.0855,7296
-0.0181,5866
-0.0058,5607
0.188,1276
0.00645,5188
0.147,2761
0.138,2480
0.00541,5297
-0.0669,7746
0.421,142
-0.149,8688
-0.175,8013
0.131,3179
-0.205,9574
-0.0129,5803
0.089,1754
0.142,2839
0.651,191
0.255,876
-0.198,10570
-0.116,9683
0.0362,3991
-0.232,9964
0.334,495
0.156,2382
-0.136,7612
-0.0162,6365
-0.0727,6867
0.016,4904
-0.2,8222
-0.157,8486
-0.212,9043
1.3,883
-0.0389,5683
0.218,861
-0.164,9083
-0.0147,5785
0.0485,3597
-0.0223,6058
-0.0484,6475
-0.0723,7263
-0.148,6211
-0.0624,6259
-0.0337,6660
0.187,374
0.838,121
-0.0681,6129
-0.147,7138
-0.245,7316
0.31,316
0.0854,2783
-0.0311,6341
0.106,2705
0.2,1762
0.209,1533
-0.0567,7043
-0.0145,5618
-0.27,8946
0.0609,3874
-0.0192,6026
0.222,1896
0.363,277
-0.0696,8766
0.309,289
-0.00888,5366
0.117,3242
0.0853,3107
0.295,509
-0.0567,6212
0.293,755
-0.199,9388
0.0588,4326
0.00574,5298
-0.236,10480
0.176,2452
0.0537,4071
0.374,719
0.0607,3967
0.135,2373
-0.00924,5937
0.0313,4582
-0.0108,5256
-0.255,9442
0.267,1319
0.071,3864
0.101,1929
0.11,1993
0.949,50
-0.258,10473
0.651,187
-0.345,9887
0.119,2370
0.0887,2663
-0.116,8474
-0.213,9392
-0.0716,7135
0.552,478
0.00677,4876
-0.215,9265
-0.126,8981
0.615,323
0.057,4067
-0.0467,6617
-0.0785,8305
0.124,2136
-0.202,10020
0.12,3732
0.168,2820
0.0508,4395
0.0138,4914
0.141,3085
0.154,2974
0.126,2589
-0.0179,5393
0.35,2155
-0.0195,6087
0.103,2776
-0.0534,6988
0.141,2036
0.0511,3102
0.166,3062
0.0462,3393
0.268,328
0.231,2051
0.383,755
-0.0816,7793
0.232,2566
-0.0621,7362
0.201,533
0.00181,5297
-0.122,9108
0.159,1718
0.0253,4668
0.0137,4844
-0.31,9438
-0.292,9247
-0.00301,5489
-0.0946,9186
-0.167,8653
0.0493,3722
-0.0445,6519
1.14,1026
0.629,942
0.0424,3346
-0.113,5128
-0.255,8353
0.937,721
-0.234,9395
-0.000177,5389
-0.12,8413
-0.0335,6026
-0.03,6920
-0.158,10718
-0.346,7143
-0.47,10950
0.271,1112
0.411,568
0.118,2897
0.0406,3646
0.115,3358
0.322,687
-0.233,10415
0.208,1479
0.463,435
0.0398,3926
-0.0818,7392
0.019,4724
-0.291,9740
0.268,2674
-0.329,10681
-0.0728,7908
-0.122,7051
-0.0457,7648
0.222,1625
0.234,2780
0.179,1169
-0.0171,5829
-0.137,8931
0.428,235
-0.402,9130
0.0518,4093
0.0347,4019
-0.0511,6706
0.184,1643
0.242,2225
-0.0576,6744
-0.243,8339
0.115,2687
-0.0311,6487
0.377,1531
-0.0857,7843
-0.249,9793
-0.138,8732
0.202,1098
0.243,549
0.274,886
-0.244,9570
-0.182,8788
0.464,1488
0.0954,187
0.166,1248
-0.265,10088
0.134,3418
0.0466,4336
-0.0707,6615
0.163,935
0.0383,2913
-0.0247,8521
-0.0451,6323
-0.299,8894
0.225,985
0.343,1574
-0.0528,7651
-0.129,7726
-0.182,8795
-0.169,8412
0.662,642
-0.0108,5681
0.176,848
-0.0163,5452
-0.00503,5360
-0.232,9362
0.0962,3310
-0.124,9433
-0.165,10056
-0.146,8686
-0.073,7025
0.414,459
0.0896,2841
-0.245,9174
0.125,1934
-0.027,6675
0.325,2468
0.0758,4311
0.145,2739
-0.281,8806
-0.0555,7343
-0.138,8333
0.168,2658
0.508,1095
-0.278,9716
0.521,615
-0.131,9154
-0.173,7562
0.121,3556
-0.0532,6765
0.512,573
-0.0533,6663
-0.0491,7654
0.0584,2828
-0.109,7722
0.0983,3258
-0.0409,6569
-0.117,8690
-0.0664,7900
0.361,1016
-0.261,9793
-0.295,9832
-0.0806,7593
0.0367,4624
0.0351,4286
-0.0732,7697
-0.269,9872
-0.101,7278
-0.0543,7143
0.231,847
-0.116,8163
-0.2,9833
-0.0802,7501
0.158,3414
-0.135,8893
0.0525,4123
-0.0025,5430
-0.0704,6016
0.057,3484
-0.172,8649
-0.141,7543
-0.0255,6034
-0.191,10268
-0.266,10944
-0.0656,7179
-0.0317,6463
-0.101,7973
0.207,1149
0.00879,4735
0.0874,3275
0.227,391
-0.111,6538
0.25,2344
-0.0399,6881
-0.000198,5283
0.0164,4818
0.258,889
0.301,690
0.208,3206
-0.339,10878
-0.0224,6363
0.133,1217
0.21,2662
-0.0912,7710
0.155,3331
0.0588,4095
0.691,93
-0.00114,5587
-0.559,10392
0.0277,4744
0.0889,4184
-0.441,10299
-0.107,9312
0.0491,3669
-0.121,9262
-0.0334,6284
-0.436,10611
-0.124,8073
0.0169,4536
-0.128,8419
0.28,2766
0.198,2425
-0.329,10040
0.572,1787
-0.178,10330
-0.286,10815
0.0173,4656
0.312,645
-0.0533,6677
-0.105,7075
-0.0932,8306
-0.0144,6209
-0.189,5809
-0.813,10637
0.0221,4799
0.899,973
-0.186,10099
-0.0938,6938
-0.00581,5462
-0.00353,5154
-0.247,9853
-0.1,7904
-0.132,8892
-0.189,9292
0.354,252
-0.217,10072
-0.272,8139
-0.251,7500
-0.0719,7393
0.0709,3645
-0.313,10524
-0.282,10493
0.249,1032
-0.117,7837
0.052,3922
0.131,2737
0.000664,5263
0.166,1227
0.08,3508
0.256,1061
-0.17,10133
0.187,866
-0.34,10962
0.075,3297
0.0487,4363
-0.0401,6874
-0.0513,7156
0.0438,4508
0.249,903
-0.212,9809
0.183,1782
-0.212,9664
0.0942,2793
-0.0314,6701
0.306,1979
-0.113,8186
-0.246,9456
0.103,4198
-0.0772,7780
-0.178,9615
0.254,1914
0.19,728
0.0917,2441
0.0949,3288
0.00906,5078
0.0111,4922
0.204,1239
-0.059,7305
0.136,3258
0.181,3046
-0.0655,8702
0.256,1156
0.491,317
0.215,1083
0.0699,3804
-0.205,10111
0.034,4493
0.019,4788
0.0927,3641
0.224,2002
0.0447,4333
0.423,720
-0.027,5963
-0.136,9786
-0.38,10001
-0.166,10620
-0.407,9976
0.0767,3935
0.0225,4796
-0.0194,6095
-0.0244,5884
0.0131,4739
0.526,320
0.311,865
0.00476,5101
-0.0211,6217
0.0322,3852
-0.0661,7486
-0.0958,7995
0.0873,3302
-0.0577,7022
-0.0912,6847
0.11,1666
0.136,3229
0.316,2760
-0.135,9432
-0.027,6452
0.0155,4661
0.00325,5501
0.259,1505
0.0941,3361
-0.0553,7498
-0.0149,6273
0.153,1375
-0.0879,6729
0.156,2833
0.177,2367
-0.327,10598
-0.313,10574
0.315,1245
0.0686,3635
-0.248,8962
-0.198,9988
0.0906,2307
-0.153,9630
-0.527,7450
-0.0136,6084
0.191,2651
0.0559,4160
0.109,1645
-0.247,8405
0.0529,4510
-1.07,9817
0.382,1559
0.131,3778
-0.0202,5402
-0.113,7652
0.228,711
0.191,1396
-0.153,9803
0.0336,3486
0.0987,3684
0.142,3303
-0.017,5044
-0.0145,5982
0.106,2608
-0.16,10039
0.204,2028
0.0344,4297
0.0202,4869
-0.192,10312
0.313,446
-0.326,10692
-0.471,10634
-0.269,9853
0.23,1350
0.214,1869
-0.0559,7437
-0.0369,6815
-0.0561,5968
0.0818,2862
-0.0342,6170
0.261,1735
-0.0188,6091
0.648,100
