coef,rank
0.0764,4030
0.292,718
0.136,1516
0.223,2246
2.04,430
-0.551,9918
-0.695,10784
-0.116,8384
0.129,1438
0.156,2002
-0.19,9136
0.394,594
0.0663,3317
0.176,585
0.214,877
-0.449,10977
-0.512,10299
1.3,67
-0.0836,9000
-0.139,10729
0.221,841
-0.151,9764
-0.209,7948
0.249,2199
-0.175,9600
-0.278,10267
-0.196,8381
0.0768,3523
-0.0261,6656
0.8,954
-0.201,9397
0.175,1094
0.0153,5064
-0.117,6489
-0.0181,5508
0.385,796
0.314,298
0.0296,4052
-0.0507,6723
0.479,567
0.199,1740
0.112,2971
0.196,673
0.0308,3701
0.0806,3558
0.053,3763
-0.11,7601
0.377,875
0.00598,4939
0.0688,2087
0.271,1372
-0.148,9362
0.352,692
0.0383,4484
0.357,489
0.0852,2180
-0.183,9760
0.159,2737
0.353,1674
-0.182,8290
0.0405,3516
-0.082,8387
-0.217,9128
0.0943,3361
-0.113,9363
-0.124,10115
0.0827,3217
-0.0611,7835
-0.273,10825
0.0893,2498
0.42,133
-1.15,11029
-0.0708,7401
0.0133,4909
-0.388,10975
-0.235,9314
0.3,2000
0.147,1472
0.0683,3358
-0.09,8323
-0.129,9185
0.123,2430
-0.725,10912
-0.176,7763
-0.0484,7391
-0.0294,6320
-0.306,10822
-0.192,8570
-0.181,9123
-0.064,6111
-0.0422,7187
-0.111,9921
-0.00262,5337
-0.104,7512
0.569,251
-0.378,10572
-0.295,10119
-0.0983,8667
0.162,2941
0.194,435
0.0153,4868
0.315,670
0.0579,3581
-0.00116,5300
-0.107,8314
-0.147,8515
0.374,1247
0.152,2747
-0.259,9952
0.176,1770
0.383,380
-0.0619,6857
-0.526,9725
-0.0123,5487
-0.183,10467
-0.192,10825
-0.0482,6297
-0.243,10569
0.0315,4139
-0.123,7937
-0.0778,7302
-0.141,10034
-0.000502,5414
-0.172,10396
0.318,1338
-0.493,10140
-0.0833,8412
-0.00668,5480
-0.069,6825
-0.0158,5468
0.345,777
-0.229,9591
0.0995,2279
0.00839,5261
0.251,1753
0.0629,3185
0.691,2004
-0.636,10852
-0.115,9113
-0.219,10476
-0.279,9588
-0.0106,6010
-0.084,6786
0.183,1868
-0.0304,6042
-0.0991,8375
0.0459,4264
-0.0211,5799
-0.113,9214
0.0519,4264
0.0127,4962
0.0444,3787
-2.98,11025
0.162,2081
0.484,1080
-0.124,8059
-0.206,10540
-0.0657,7203
-0.362,10301
0.198,1408
-0.0447,6638
0.0587,3629
-0.124,8328
0.024,4120
0.0741,3435
0.169,2033
-0.0156,5946
-0.051,7362
-0.11,7961
-0.0426,6933
-0.0179,5793
0.564,509
-0.029,6237
-0.0177,5864
-0.0255,6930
-0.0557,6872
0.0874,2528
0.107,3299
-0.56,10455
-0.0583,8006
-0.115,8877
0.24,1314
-0.0435,6473
-0.193,9902
0.216,295
0.0672,1727
0.0846,2764
-0.0216,6061
0.203,1905
-0.119,8954
0.261,2703
-0.043,6801
0.437,14
0.024,4285
-0.255,10814
0.352,474
0.215,2255
0.379,67
0.0401,4495
0.0226,4769
-0.161,10293
0.115,3074
0.191,1045
0.085,4070
0.237,164
-0.112,8515
-0.105,7748
-0.364,9388
0.334,364
-0.284,10354
0.34,100
-0.235,10957
0.0751,3344
-0.324,10417
0.0704,4004
-0.0652,6408
-0.144,10779
0.0537,3714
-0.0175,5731
-0.214,9690
0.214,2058
0.277,1627
0.23,1384
-0.0783,8288
-0.0301,6729
0.0459,4345
-0.138,7404
0.0205,5035
0.135,1497
0.00529,5256
-0.161,10458
-0.313,10654
-0.26,10364
-0.361,10819
