coef,rank
-0.408,10333
-0.105,7800
0.146,1346
-0.306,9415
-1.01,10004
-0.0965,5426
0.393,1854
0.18,1587
-0.0949,8385
0.0832,3254
-0.242,9880
0.147,2750
-0.135,8941
-0.0678,7980
-0.235,10569
-0.167,8940
0.248,2599
-0.45,9705
-0.0668,8371
-0.147,10807
0.014,4903
-0.169,10043
-0.371,9737
-0.192,7972
-0.162,9406
-0.201,9303
-0.376,10352
0.077,3517
0.00698,5341
0.0232,4402
-0.0306,6021
0.335,141
0.243,1463
-0.245,8188
0.0457,4147
-0.399,10553
0.0699,3537
0.0141,4680
-0.000656,5290
-0.323,9858
0.727,11
0.23,1436
0.0717,3046
8.91e-05,5451
0.0807,3555
0.0437,3985
0.127,3015
0.0263,4466
-0.0433,7495
0.0694,2068
-0.204,9038
0.0927,3160
-0.319,10311
-0.378,10723
-0.307,10337
0.0887,2077
0.0172,4603
0.551,313
0.0267,4794
-0.304,9914
-0.113,9753
0.187,873
-0.275,9817
0.158,2358
-0.0635,7833
-0.162,10679
0.0255,4605
-0.124,9644
-0.236,10603
-0.00548,5516
-0.0955,7662
-0.226,7349
-0.175,9878
0.104,2423
0.135,2426
0.111,3254
-0.363,9562
-0.0232,6316
0.146,1719
0.152,1368
-0.0879,8178
0.692,2
0.29,2297
-0.22,8417
-0.0649,7969
0.206,659
0.302,468
0.0841,3972
0.126,2454
0.0975,3560
0.0104,4999
0.0916,1681
-0.0538,6438
-0.0685,6728
-0.203,8433
-0.273,9637
-0.126,7708
0.0349,4063
0.507,604
0.102,1887
-0.202,9687
-0.169,8878
-0.0546,7272
0.011,4915
0.0023,5124
0.413,304
0.0557,4265
-0.36,10395
0.189,1984
0.19,1589
-0.124,7794
-0.0898,7609
-0.0886,5609
0.684,85
-0.162,10196
-0.0224,6597
0.268,1506
-0.21,10272
-0.102,9067
0.0303,4667
-0.142,8807
-0.136,9936
0.0433,3821
-0.0761,8212
-0.15,7701
-0.14,6615
-0.0513,7272
0.115,2849
-0.211,9256
-0.22,9784
0.39,558
-0.226,9549
-0.0157,5954
-0.197,10182
0.0395,4462
0.0292,4279
-0.619,8345
-0.0907,6307
-0.056,7313
-0.0297,6354
-0.0121,5666
-0.0304,6798
0.237,1819
-0.0516,6703
0.481,64
0.0891,3084
0.285,1268
-0.0305,6031
-0.113,9212
-0.11,7131
-0.0275,6272
-0.149,10075
-0.154,5202
-0.178,8969
0.141,3542
0.0708,3679
0.235,469
0.439,101
0.677,145
0.0778,3456
-0.167,9438
-0.0316,6402
0.317,569
-0.0133,6077
0.106,2781
-0.231,10184
0.0181,4730
0.0394,3836
0.22,1559
0.0801,2746
-0.0493,6554
0.428,976
-0.146,9727
0.0401,3680
0.00337,5127
-0.0592,6970
0.0056,5103
0.16,2492
0.0107,5131
-0.102,9595
-0.0754,7869
-0.126,8294
