coef,rank
0.169,2855
-0.0856,7334
-0.0443,7024
-0.114,6850
-0.726,8800
0.266,3106
-0.355,8834
-0.0142,5831
0.11,1834
0.0667,3625
0.139,2485
0.215,1885
0.267,502
0.0943,2056
0.13,2086
-0.21,9618
0.138,3587
-0.225,7328
-0.0694,8494
0.0504,2971
0.154,1654
-0.11,8770
0.59,407
-0.318,9470
-0.304,10820
0.156,2159
-0.178,8117
-0.304,10263
-0.0584,7842
-0.551,9460
0.0108,5067
0.0655,3336
0.0515,4342
0.161,3115
0.0301,4487
0.0516,4363
-0.153,9451
0.00873,4913
-0.0213,5881
0.0309,4539
0.112,3071
0.0363,4419
0.0186,4696
-0.0125,6185
0.517,81
0.182,1295
-0.109,7599
-0.483,10790
0.0941,1433
0.0588,2504
-0.446,10869
0.0407,4474
0.171,2322
-0.195,8959
-0.0768,6688
-0.166,10411
0.18,1225
0.0422,4325
0.38,1524
0.122,3080
0.103,1526
0.0113,5215
0.00703,5108
-0.156,8330
-0.00333,5525
-0.0966,9384
0.143,2048
-0.12,9548
0.105,2677
-0.00841,5618
0.4,177
-0.263,7753
0.122,1947
-0.169,9731
0.198,1524
-0.104,7226
0.702,338
-0.185,10319
0.0451,4006
0.218,552
0.0167,5162
-0.12,8391
-0.133,6902
0.616,265
-0.0623,7874
-0.155,9826
-0.0707,7399
0.364,965
-0.151,8539
-0.169,7836
0.206,407
0.0432,3333
0.133,2625
-0.0597,6537
-0.358,10196
-0.303,9993
-0.178,8619
-0.0199,6035
0.384,1135
0.112,1604
-0.127,8371
-0.003,5345
-0.12,9111
-0.0217,6014
0.256,481
0.145,2502
0.23,2302
0.201,2144
-0.000635,5268
-0.0824,7191
-0.306,10428
-0.025,5877
0.171,3492
0.122,3292
0.0632,3289
-0.0428,7472
0.274,1454
-0.0304,6392
0.298,47
-0.115,7769
-0.0609,6906
0.0375,3770
0.0295,4292
0.0246,4550
-0.229,8890
0.167,3284
0.0806,2520
0.0249,4719
0.0688,4139
0.102,2841
-0.17,8637
0.716,53
-0.138,9596
0.0928,2908
0.386,800
-0.0946,8534
-0.09,4759
0.0769,4290
-0.111,8993
-0.0586,7220
-0.13,7601
-0.0364,7032
-0.205,8781
0.161,2198
-0.233,10207
-0.0284,6427
-0.315,9954
-0.238,10052
0.0533,3776
0.117,3295
0.0537,3684
0.189,615
0.389,2921
0.104,2958
0.781,300
-0.077,7070
-0.2,10489
-0.199,9880
0.373,952
0.153,2094
0.0401,4350
0.0772,3133
-0.111,8078
0.0669,2245
-0.139,8596
0.206,1528
0.0211,4635
0.161,857
-0.00738,5691
0.19,742
0.187,1791
0.234,2224
0.0447,3709
-0.0406,6734
-0.115,10452
-0.165,9631
0.126,1632
-0.319,10520
0.595,1064
-0.126,10145
0.00652,5327
0.12,2970
-0.031,6144
0.0529,4001
0.0278,4033
0.0833,1176
-0.0541,7229
-0.048,6827
0.321,898
0.108,2344
0.236,2859
0.0184,4714
0.0071,5179
0.071,2075
0.111,2126
-0.115,7750
0.388,988
-0.0371,6585
0.00655,5173
-0.112,7761
0.106,1873
-0.0849,6840
0.0336,4072
-0.0856,6552
0.141,979
0.0866,3118
0.119,2869
0.105,3844
0.106,2951
0.277,1075
0.202,784
-0.307,11029
0.276,467
-0.221,9338
-0.156,8252
0.23,1336
-0.0458,8149
0.0477,3881
0.0374,4342
0.0174,5016
-0.169,7920
-0.00393,5113
0.238,1327
-0.0191,6052
0.00198,5179
-0.0661,6526
-0.371,10250
-0.16,9310
-0.203,10618
0.112,1614
0.1,1902
0.0312,4564
0.0849,3633
-0.0831,7211
-0.389,10569
0.0205,4313
0.097,2988
0.143,2477
0.251,2185
-0.0266,5530
-0.0519,6123
-0.644,9196
0.0126,5026
-0.0368,6483
-0.0726,6993
-0.0725,7081
-0.109,8946
-0.119,8391
-0.125,8088
0.0497,4022
0.17,4344
-0.142,7571
0.0221,4444
-0.132,10025
-0.0959,6676
-0.265,8726
0.105,3695
0.0973,3698
-0.0135,5775
0.1,2445
-0.0125,5794
-0.0169,5950
-0.144,8703
-0.109,7896
-0.182,9907
-0.196,9528
-0.135,7044
0.0218,4907
-0.0619,7174
0.208,2050
-0.0858,7784
-0.0404,7472
-0.118,8438
-0.392,10937
-0.159,8560
-0.0908,7684
0.161,1740
0.143,2662
-0.37,10882
0.0712,3665
-0.185,8880
-0.119,8688
-0.153,9317
0.136,3048
-0.211,9642
0.0931,3595
0.33,819
-0.16,9163
-0.0993,9304
-0.14,8935
-0.13,7835
0.31,1203
0.113,3265
-0.0541,6342
0.076,2625
-0.0287,6446
-0.294,9286
0.151,1819
-0.126,7247
0.0631,3963
-0.184,9649
-0.0593,7128
0.0927,2886
-0.0999,7284
0.063,3848
-0.124,6702
0.194,244
0.0022,5114
-0.149,9435
-0.0325,5684
0.0274,4529
-0.13,9095
0.0492,3335
-0.00836,5585
0.0274,4774
0.678,475
-0.111,7293
-0.0774,7065
-0.113,7138
0.01,4905
0.018,4975
0.117,2777
0.375,697
1.03,218
0.0048,5127
-0.211,10159
-0.0573,7117
0.0446,3931
-0.166,10544
0.402,1238
0.11,1562
-0.256,10810
0.113,3441
-0.24,9214
0.123,2122
0.485,998
-0.0303,6275
-0.152,10083
-0.0234,6198
-0.0529,7138
-0.147,9204
0.224,1824
0.0629,3127
0.458,871
-0.0413,5683
-0.00392,5538
0.0397,3576
0.332,603
0.0306,4273
0.0867,3179
-1.12,10677
-0.108,5848
-0.509,7065
-0.237,6184
-0.322,9101
0.845,883
0.364,901
0.114,3210
0.208,1261
-0.0406,6190
-0.00127,5493
-0.00471,5383
0.551,2087
0.249,1419
0.0693,3795
-0.2,9023
-0.0036,5618
0.0887,2021
-0.485,10372
0.0985,3304
-0.109,8480
-0.0545,6548
0.114,3282
0.0474,3680
-0.0637,6946
0.449,493
-0.363,10347
-0.0872,6039
0.133,2633
0.0344,4199
-0.15,7473
-0.0372,7231
0.1,3286
0.0574,4476
-0.121,8857
0.154,1609
-0.177,9669
-0.192,9327
-0.309,8200
0.133,2707
-0.0638,7441
-0.19,9965
0.12,2692
0.293,1806
0.267,892
-0.449,10418
0.000665,5298
-0.0382,6740
0.18,3046
0.0972,2792
0.0457,4243
0.109,2640
-0.213,10127
0.128,1979
-0.109,8041
0.098,3213
0.132,2940
0.0452,4481
0.0689,643
0.0486,3697
-0.334,10628
-0.153,8038
-0.223,9484
0.0616,4006
0.247,252
0.00907,4725
0.0135,3851
0.0231,4647
-0.259,8439
-0.0862,7392
-0.141,6923
-0.179,10698
0.13,2885
-0.0832,6932
0.332,765
-0.232,7722
-0.0582,6647
-0.239,10876
-0.126,8219
-0.249,9388
-0.103,7206
0.164,2031
-0.0865,8378
-0.0557,7384
-0.0631,6895
0.0045,5155
-0.295,10154
-0.0379,6582
0.0965,3596
-0.169,10186
0.108,1457
-0.227,5163
-0.593,10877
-0.268,9787
0.377,1449
0.198,621
-0.0531,6637
0.141,3071
0.534,997
0.226,1713
0.188,2816
0.0734,3351
0.19,2657
0.207,2494
-0.0594,6933
-0.156,7628
-0.0124,5705
-0.014,6043
0.0838,1997
0.41,424
0.229,1428
-0.0744,7408
-0.122,8816
-0.0475,7216
-0.285,9588
-0.106,7341
0.218,2070
0.253,1319
-0.364,10487
-0.038,6260
0.0689,3371
0.00901,5015
0.00979,4826
-0.104,8669
0.0658,3506
-0.173,9399
-0.047,6722
-0.113,8321
0.0156,5288
0.0991,2445
-0.078,7627
-0.0436,6912
-0.307,9478
0.023,4593
0.399,413
0.0724,4037
0.186,1227
0.294,190
-0.162,10128
-0.0142,5609
0.0452,3958
0.0365,4474
-0.0955,7919
-0.0067,6297
-0.0661,7371
-0.0845,8350
0.13,3530
0.278,2132
-0.0261,6405
-0.101,8411
-0.0394,6880
-0.233,10043
-0.167,8715
0.283,2687
-0.236,10175
