coef,rank
0.236,2126
0.186,1758
-0.0498,7204
0.306,1555
1.25,1078
0.395,2437
-0.254,7812
-0.11,8242
0.0794,2578
0.582,26
0.285,868
-0.09,6910
0.0174,4704
-0.046,7180
0.0541,3909
0.0848,3652
-0.298,8482
-0.191,6930
-0.0547,7874
-0.027,7161
-0.0941,7957
-0.0856,8049
-0.162,7332
-0.016,5521
0.0463,4123
-0.317,10566
-0.206,8537
-0.124,7673
0.061,3315
1.18,342
-0.165,8832
-0.308,10943
-0.00159,5405
0.693,364
-0.172,8739
-0.239,9189
-0.0273,6303
0.0527,3157
-0.0357,6285
-0.0451,5753
0.0254,4796
0.141,2553
-0.0694,7721
-0.112,10339
0.136,2544
-0.156,9180
-0.0796,7011
-0.0394,5508
-0.0989,9608
-0.0343,7299
-0.148,8120
0.0591,3980
-0.337,10444
0.299,979
-0.0522,6123
0.0596,2950
0.196,1036
-0.106,6736
-0.0334,5526
-0.163,8006
-0.0837,8876
0.0515,3867
-0.0329,5885
-0.279,10096
0.00453,5243
0.105,1317
-0.14,8837
-0.067,8038
0.211,952
0.0417,3905
-0.0464,6423
-0.335,8494
-0.192,10130
-0.0742,7506
0.00109,5457
-0.0552,6243
0.403,1308
-0.0781,8070
0.109,2431
0.00195,5384
-0.0765,7889
-0.0224,5899
0.0819,4277
0.0584,4267
-0.0748,8322
-0.0929,8363
0.157,1953
0.076,4106
-0.0553,6373
-0.145,7472
-0.164,10442
-0.0619,8351
0.0518,4158
-0.263,10105
0.15,2907
0.0202,4742
0.131,2902
-0.124,9268
0.16,2964
-0.137,10213
0.0676,3574
0.0913,3369
0.0153,4940
0.229,526
0.154,1524
0.0496,4268
-0.0148,5306
-0.0134,5482
-0.0077,5411
0.353,361
-0.0603,6462
-0.0475,6480
0.489,1673
0.155,2864
0.0902,2519
0.141,849
0.692,62
0.0707,3583
0.0851,2350
-0.0603,6623
0.282,688
-0.0527,7475
-0.0303,6582
0.0658,3102
0.395,876
0.264,2520
0.0458,3639
0.0849,3417
0.139,2954
0.0327,4324
0.00365,5227
0.12,3045
0.029,4402
0.094,2879
0.204,2212
0.0536,3474
-0.307,6234
-0.591,10736
-0.137,9638
-0.0569,7174
-0.0882,6948
0.123,1526
-0.381,10519
-0.00861,5694
0.00682,5026
-0.105,8512
-0.0471,5860
0.0998,3128
-0.191,10542
0.186,2408
-0.0391,6639
0.181,687
-0.68,7978
0.122,2645
0.0337,4700
0.252,1052
0.174,1044
-0.174,9492
-0.34,10124
0.0701,3631
-0.036,6434
0.0373,4251
0.0134,5087
0.0991,1264
-0.112,8033
-0.0241,6249
-0.121,9252
0.0577,3207
0.101,3356
-0.0049,5615
0.542,58
-0.0855,6251
-0.12,9137
0.0825,2386
0.0276,3717
-0.0663,7177
-0.109,8909
-0.146,8311
-0.0456,5732
-0.0716,8549
0.153,1605
0.193,1778
-0.19,9686
-0.148,9110
-0.0677,7784
-0.156,10894
0.0924,2551
0.00907,5129
-0.0818,6794
0.182,1045
0.376,1973
-0.0562,7230
-0.137,9544
-0.0481,8249
-0.00439,5387
-0.185,9078
-0.0418,5504
-0.117,8811
-0.266,9989
0.289,859
-0.0611,7783
0.327,834
0.159,1441
-0.405,10276
0.106,1605
-0.0673,7391
0.229,1312
0.0278,4707
0.0959,3147
0.325,725
-0.112,8778
-0.0917,8917
0.305,331
0.164,2447
-0.0652,6492
-0.0796,6751
-0.0211,6777
-0.0349,6691
0.13,2433
0.116,2994
-0.294,9657
1.23,6
-0.21,9637
-0.0661,7860
