coef,rank
-0.205,8321
0.0765,3637
-0.00533,5656
-0.268,8996
-0.257,5807
-0.484,9421
0.29,2485
-0.0711,7337
0.0405,3734
0.303,593
0.299,774
-0.345,10396
0.201,1016
-0.0146,5941
0.196,1072
-0.0679,7003
-0.203,7351
0.356,1953
-0.0676,8411
-0.0658,8994
0.0191,4743
0.0485,3717
-0.093,6358
-0.538,10752
-0.16,9377
0.0592,3882
0.00525,4985
0.0888,3326
-0.106,9243
-0.252,6845
0.0592,4028
-0.0235,6100
0.187,2064
-0.556,10693
0.19,1718
-0.0268,5798
-0.173,9779
0.0738,2453
0.0665,3509
0.474,585
-0.000629,5366
0.182,1970
-0.0118,5722
-0.0823,9567
-0.188,9203
0.0467,3906
-0.266,9949
-0.308,9618
-0.197,10951
0.169,233
-0.288,10041
0.0684,3750
-0.105,7313
0.266,1237
0.132,2508
0.0522,3248
-0.0181,5641
-0.0332,5545
-0.48,10455
-0.146,7736
-0.0266,6580
-0.0383,6978
0.255,1552
0.266,1190
0.198,445
-0.146,10491
0.086,3163
-0.0283,6605
0.0918,2991
0.0424,3889
0.29,609
-0.433,9361
-0.0311,6150
-0.172,9777
0.173,1841
0.137,2869
-0.343,9364
0.249,396
-0.154,9475
-0.13,9375
0.107,2781
-0.11,8148
0.14,3627
-0.379,10121
-0.111,9364
-0.188,10339
0.0682,3730
0.166,2787
0.0607,3690
0.551,317
0.0794,2602
-0.0828,9143
0.13,2663
-0.254,9994
-0.354,10162
-0.239,9206
0.0887,3570
0.00743,5034
-0.165,7543
-0.166,10591
-0.112,8002
0.109,3040
0.127,1835
-0.0283,6242
-0.0557,6871
0.366,446
-0.248,8669
0.0666,4030
-0.134,8010
-0.0405,6211
-0.0681,6638
-0.215,10008
-0.413,8838
0.131,3153
0.184,739
-0.012,6097
0.0862,3825
0.281,474
-0.0905,8758
-0.0848,7148
0.31,521
-0.00433,5474
-0.0479,7249
0.279,105
-0.134,7442
0.352,1874
-0.0413,6880
-0.193,9279
0.318,1037
0.283,667
-0.415,10899
-0.0112,5485
-0.0827,8209
-0.0476,6951
-0.0285,5639
-0.0941,8516
-0.604,8255
0.369,1701
0.0759,2656
-0.213,10428
-0.441,10669
0.0203,4746
-0.169,8230
-0.0174,5901
0.135,2248
0.145,1909
-0.33,10088
-0.175,9181
-0.196,10598
-0.215,8818
0.353,84
-0.0436,7103
0.178,3657
-0.0399,5984
0.291,2257
-0.213,9609
0.182,956
0.000196,5420
-0.111,7143
0.114,2733
-0.216,10148
0.0234,4644
0.0153,5039
-0.0417,7573
-0.247,10275
-0.352,10886
0.173,934
-0.0736,8149
0.352,513
0.0507,3638
-0.0406,6347
0.331,1525
-0.236,10774
0.0389,3722
0.00252,5170
-0.0798,7584
-0.13,9403
-0.0766,6969
-0.297,8480
-0.0188,6204
0.0232,4810
-0.0509,6638
0.201,1317
-0.132,8774
0.126,1227
-0.105,10237
0.211,613
0.00977,5112
-0.0367,5866
-0.194,10269
-0.215,7122
0.00643,5107
0.15,1391
-0.00828,6062
