coef,rank
-0.0568,6055
0.124,2715
0.0153,4902
-0.0325,5553
-0.963,9870
-0.361,8131
0.0228,4728
-0.131,8705
-0.0643,7422
0.233,1109
0.0193,4719
-0.194,8737
0.238,669
0.115,1518
0.267,445
0.329,695
0.455,1304
-0.274,7910
-0.0161,6233
-0.107,10234
-0.186,9880
0.097,2411
-0.169,7431
0.0784,4144
-0.184,9761
-0.229,9720
-0.173,8038
-0.217,9241
0.0546,3550
-0.444,8651
0.0142,5012
-0.0289,6284
-0.0605,6691
0.45,1081
0.0918,3252
-0.0619,6443
0.091,3037
-0.0458,7280
0.0442,4053
0.211,2300
-0.0408,6217
0.0174,4792
-0.0601,7401
0.103,972
-0.497,11023
-0.173,9488
0.0497,4367
-0.101,6542
-0.225,11006
0.0738,1927
-0.166,8435
0.106,2844
0.623,74
-0.337,10498
0.0625,3669
-0.0283,6424
0.0194,4544
0.141,2942
-0.281,8783
-0.0904,6710
0.0486,3184
-0.0189,6280
-0.191,8715
-0.337,10537
0.00488,5230
0.0866,1773
0.00921,5043
0.126,1472
-0.177,9925
0.0469,3744
-0.00483,5352
0.0467,4477
-0.0627,7165
-0.116,8620
-0.162,9201
-0.187,8638
-0.312,9057
0.124,1933
0.0782,3125
-0.103,8675
0.0855,3292
0.2,1347
0.0234,4956
0.121,3467
0.131,1388
0.132,1650
-0.0922,7925
-0.061,6403
-0.0856,7106
0.0281,4572
0.211,370
0.0647,2498
0.163,2202
0.0299,4574
0.00146,5040
0.135,2996
-0.0881,6970
-0.0592,7430
0.00851,4938
0.11,1663
0.0557,3844
-0.191,9242
0.00455,5298
0.129,1748
0.159,1455
0.288,883
0.00161,5041
-0.222,9044
0.412,399
0.279,762
-0.0241,5670
-0.14,8740
0.536,1456
-0.144,7802
0.232,360
-0.00864,5952
-0.105,7342
-0.208,10245
0.116,1568
-0.145,8343
-0.164,9223
-0.00853,5648
0.0509,3544
-0.139,9824
-0.373,10285
0.703,554
-0.0719,8008
-0.137,8310
-0.0421,6320
