coef,rank
-0.386,10164
0.304,631
0.0313,4353
-0.123,6992
-0.511,7515
-0.415,8741
1.03,174
-0.19,9772
-0.137,9479
0.103,2907
-0.188,9112
-0.106,7219
-0.00578,5360
-0.166,10395
0.0275,4686
0.362,519
-0.279,8280
-0.237,7483
-0.00772,5866
0.0548,2771
-0.137,8945
-0.212,10563
0.263,1998
-0.153,7464
0.0133,5011
-0.137,8140
0.0944,3601
-0.208,9109
-0.024,6570
-0.462,8799
0.112,2980
0.0371,4169
-0.0082,5553
0.107,3698
0.106,3019
-0.132,7624
-0.14,9188
-0.0614,7918
-0.152,9154
0.235,2059
0.248,1200
-0.254,9846
-0.103,8730
-0.0421,7805
-0.0523,6486
-0.0124,5525
0.196,2029
-0.0981,6479
-0.00789,5686
0.108,956
0.027,4764
0.189,1376
-0.382,10670
0.711,19
0.0396,4123
-0.0373,6800
-0.142,8950
0.252,1818
-0.329,9307
0.116,3168
-0.0124,5896
-0.0949,8750
-0.105,7244
-0.0561,6342
-0.127,9724
-0.0108,5788
0.00142,5248
-0.142,10036
0.109,2598
0.0363,4077
-0.114,8100
-0.704,10711
-0.0358,6296
-0.0553,6978
0.101,3088
-0.122,7518
-0.198,7689
-0.0167,6071
-0.0423,6569
0.086,2803
-0.00316,5771
-0.144,8904
0.405,1503
0.698,156
0.0475,3711
-0.114,8939
-0.184,9780
-0.238,9203
0.0251,4491
-0.0143,5271
0.0141,4848
0.00909,4974
0.703,16
-0.257,10029
-0.153,7657
-0.235,9134
0.276,1172
0.194,647
-0.204,8115
0.123,1349
0.333,389
-0.223,9710
0.0985,2480
0.0775,2953
-0.199,10149
-0.0498,6410
-0.38,10014
0.496,310
0.0995,3315
-0.107,7758
-0.348,10682
0.193,1314
-0.134,6016
-0.162,8093
0.205,550
0.0296,4150
-0.0142,5641
-0.132,8968
-0.0627,7793
0.0279,4716
-0.00911,5602
-0.0499,7360
-0.105,9041
-0.0421,7038
0.529,354
0.531,1079
-0.193,10626
0.0364,4451
0.337,908
-0.303,10612
0.0567,4242
0.189,2120
0.0663,3177
-0.125,8969
-0.271,9506
0.0392,3934
-0.531,7773
-0.639,10861
0.0172,4571
0.322,145
1.02,11
0.0313,4327
-0.302,9900
-0.0364,6355
0.302,481
0.184,1286
-0.446,10757
-0.0812,7250
0.0281,4559
-0.136,7585
-0.00773,5628
0.0561,3405
0.0945,3998
-0.166,8748
0.166,3305
-0.14,8425
0.0675,3264
-0.261,10536
-0.296,9733
0.308,526
-0.00539,5543
0.0141,4929
0.212,1453
0.0349,3570
-0.0545,6600
0.126,2787
0.113,1932
0.0303,4166
-0.0631,6916
0.09,2483
0.00554,5223
0.378,1224
0.122,1634
-0.115,9181
0.103,803
-0.103,8208
0.0724,2940
-0.105,7558
-0.156,6938
0.0101,4797
0.0383,4351
-0.0812,7329
-0.0129,5672
-0.0392,6478
0.104,1673
-0.0371,7450
0.0192,4721
0.0116,5066
-0.195,8851
-0.203,10373
-0.145,6283
0.235,472
0.0948,2531
0.0386,3489
-0.0858,7993
0.25,1159
-0.439,10480
-0.123,8947
-0.12,7756
0.188,1870
-0.1,8999
0.391,518
0.0422,3834
0.61,372
0.0496,3257
-0.167,9613
-0.123,8107
0.0945,3975
-0.241,10263
0.188,1974
-0.189,10258
-0.0713,8252
0.0535,3857
-0.21,9198
0.0394,4511
0.0249,4509
-0.0366,7646
-0.173,10173
-0.0157,5677
-0.0315,6146
0.168,2560
-0.167,7747
0.0973,3306
0.0405,3777
-0.148,10470
-0.135,7786
0.164,2819
0.0245,4934
-0.111,9024
0.0667,2925
0.0617,3072
-0.276,10399
0.324,560
0.0931,3478
0.306,1240
0.0269,3957
0.0578,3774
0.213,1558
-0.226,8527
0.0936,3033
0.206,1884
0.213,2934
-0.198,7809
0.092,2902
-0.0287,5841
-0.0751,7151
0.1,2150
-0.0511,6776
0.0408,4504
-0.0707,7218
0.426,3140
0.186,2636
-0.0478,7207
0.0232,4380
-0.105,6822
-0.29,9026
0.279,1965
0.199,2895
0.125,2236
-0.187,10004
-0.0686,7443
-0.305,10873
0.0878,3647
0.00996,5158
-0.0932,8051
-0.109,7849
0.0914,3658
0.196,1325
0.388,167
-0.404,10637
0.32,460
0.0191,4513
-0.0132,5470
-0.0911,7389
-0.318,10430
0.0814,3194
-0.189,9525
-0.142,7820
-0.107,7839
-0.0647,6776
-0.197,9049
0.193,1140
-0.228,10405
-0.0627,6836
-0.198,9467
-0.613,11022
-0.155,8116
-0.178,9477
0.118,1406
0.147,2025
0.0203,4647
-0.289,9821
-0.452,10902
-0.101,7278
0.0144,4945
0.106,2078
0.254,2142
0.062,3545
-0.184,8172
-0.146,7320
-0.0157,5749
-0.117,8854
0.0463,3999
-0.224,9545
0.317,514
1.02,29
-0.0599,7870
0.27,1029
0.00621,5145
-0.553,10891
-0.0305,5476
-0.113,8661
6.63e-06,5268
0.0297,4506
-0.175,9666
-0.152,7128
-0.0679,6573
0.193,1978
0.195,2244
-0.261,9255
0.00365,5236
0.0737,3678
-0.144,7642
-0.312,8713
-0.172,10333
0.272,576
-0.0207,5963
-0.211,9925
0.0231,4217
0.0822,4095
0.172,556
0.102,2424
0.102,3593
0.338,1001
-0.0436,6649
0.0192,4740
-0.114,8917
-0.12,9478
0.00137,5317
0.268,267
0.0201,4875
0.177,2336
-0.141,9877
-0.0327,5671
-0.164,7556
-0.0578,8012
-0.0915,9099
-0.322,10532
-0.0642,7333
0.0187,4801
1.05,1179
1.29,93
-0.523,7174
0.511,2031
-0.231,8052
0.319,2703
0.232,1923
0.0629,4139
0.0134,5031
0.0198,4644
0.103,1357
0.0356,3314
0.674,1760
0.135,2857
-0.21,9244
-0.0753,6842
-0.223,10042
0.123,1238
-0.327,8879
0.269,1036
0.142,2211
-0.243,10039
-0.0944,6928
-0.0977,8589
-0.0886,7564
-0.00308,5088
-0.261,9364
-0.0817,5987
0.113,3021
-0.0373,6742
0.0418,4463
0.0806,1908
0.85,4
0.143,3636
-0.0233,6071
-0.391,11021
0.0159,4772
0.0338,4469
0.103,3898
0.0542,4047
-0.159,9902
-0.0397,6392
-0.107,8077
0.0163,4911
0.105,3090
0.00893,4828
0.331,415
0.248,289
-0.133,6936
0.0607,3645
-0.117,7667
0.0557,3873
