coef,rank
0.122,3449
-0.0638,6854
-0.0481,7143
-0.244,8716
0.139,3414
0.282,3017
-0.475,9856
0.0197,4848
-0.111,8850
0.609,16
-0.0529,6361
0.0858,3643
-0.0329,6180
-0.0386,6886
-0.0525,7100
0.189,1933
-0.462,9999
0.422,1616
-0.102,9500
0.0313,3930
-0.0838,7662
-0.0525,7030
-0.517,10594
-0.141,7307
0.32,307
-0.227,9697
-0.0876,6609
-0.282,10051
0.00948,5241
1.74,79
-0.25,9988
0.0421,4024
-0.131,8131
0.421,1201
-0.183,8933
-0.172,8259
0.128,2274
0.0749,2417
0.0488,3929
-0.26,9103
-0.0693,6815
0.101,3165
0.0889,2563
0.0902,1302
-0.00705,5449
-0.213,10127
0.226,1693
-0.188,7919
0.0595,2466
0.00959,4876
0.153,2724
0.0544,4091
-0.0896,7009
-0.0584,6474
-0.111,7411
0.0574,3032
-0.101,7986
-0.141,7308
-0.377,9765
-0.191,8426
-0.115,9820
-0.0868,8541
-0.18,8568
0.0103,4928
-0.0604,7731
-0.045,7391
-0.137,8773
-0.237,10913
0.0584,3831
0.00138,5291
-0.246,10255
1.53,30
-0.0966,8154
0.146,1621
0.0424,4400
0.0332,4566
-0.136,6869
0.144,1537
-0.074,7494
0.211,629
-0.18,10039
-0.0738,7265
-0.162,7264
-0.0795,6311
-0.0313,6756
-0.148,9701
0.19,1484
-0.0172,5641
0.124,2488
-0.0408,5694
-0.0743,8356
0.0596,2681
0.22,1485
-0.0776,6951
-0.205,8459
0.0899,3616
-0.0437,6071
-0.128,9387
-0.428,10453
0.0396,3968
-0.0204,5763
0.122,2833
0.131,1770
-0.11,8725
-0.0849,7727
0.0418,4436
-0.135,7101
-0.509,10934
0.233,1477
-0.12,8030
-0.0848,6971
-0.014,5588
0.888,517
-0.192,8611
-0.0297,6664
-0.178,10731
0.332,967
-0.14,9160
0.236,208
-0.117,7822
0.00171,5345
-0.118,9531
-0.129,9623
0.0331,4244
0.192,2489
0.125,3646
-0.115,9320
0.233,1234
-0.127,7886
-0.212,9680
0.0624,4150
0.265,1368
0.351,48
-0.00934,5809
0.0947,3619
0.0983,2252
-0.279,6040
0.00436,5152
0.118,1608
0.24,493
0.268,1801
0.0461,3781
0.425,561
-0.0546,6781
-0.159,9156
-0.217,10420
-0.311,9906
0.195,1659
0.0281,4558
-0.0294,5722
0.0975,2517
0.0601,3285
0.218,3498
0.145,2292
-0.213,7722
-0.234,9883
-0.181,10272
0.383,202
-0.276,9473
0.00641,5144
0.0932,3115
-0.152,9563
0.0926,3365
-0.168,10856
-0.192,9561
-0.0853,7704
-0.0675,7766
0.0469,3571
-0.0978,7704
0.0598,3355
-0.0867,7399
-0.0556,5794
-0.0537,7126
0.00353,5029
0.0746,1571
0.128,1865
-0.0484,6973
-0.253,9951
-0.273,8220
-0.162,10659
0.109,2464
0.291,883
0.188,1477
-0.164,9403
0.171,644
0.0283,3470
-0.00589,5506
0.0187,4857
-0.171,8437
0.0509,3840
1.41,56
-0.00678,5560
0.0261,4519
0.0521,2854
0.0128,4839
0.181,1876
0.364,1130
0.135,1782
0.335,782
0.0104,5037
0.0763,2634
0.287,1117
0.181,1160
-0.0596,6187
-0.0753,8286
0.0192,4872
0.182,1858
-0.384,9590
0.0575,4005
-0.0877,7350
0.129,1787
-0.0529,7541
-0.0261,6053
-0.151,8211
0.034,4621
0.00406,4935
-0.0766,9461
0.143,1556
-0.169,9211
-0.171,9073
0.265,1544
-0.0805,6391
-0.232,9944
-0.0278,6395
0.0914,1682
0.402,597
-0.169,7908
0.0829,3514
-0.126,9407
-0.0256,6571
-0.0253,6566
0.0429,4323
-0.0596,7054
-0.18,9199
0.624,162
0.0103,4858
-0.00713,5216
0.26,1079
0.273,2006
-0.178,8872
-0.0618,6313
-0.368,6662
0.202,2886
0.0933,2861
0.205,1225
0.0995,3390
-0.0945,8570
-0.306,10742
0.243,1345
-0.207,10012
-0.676,9106
0.399,911
0.184,582
0.0277,4186
0.569,530
-0.353,9713
-0.178,7586
0.333,2066
-0.297,10847
0.148,1538
0.23,758
-0.248,10577
-0.256,10243
-0.0926,7534
-0.065,7297
-0.207,9693
0.684,160
-0.0147,5920
-0.0163,5956
0.052,4235
0.368,259
-0.0746,8932
0.00735,4900
-0.341,10783
0.141,2863
-0.0604,6862
0.0167,4672
0.341,705
-0.213,9750
0.139,2437
0.0721,4091
0.000136,5453
-0.185,9841
0.349,778
-0.177,9115
-0.2,8911
-0.0428,5884
-0.138,8737
0.0949,1978
0.206,1217
-0.138,7993
0.0566,4277
0.0544,4291
0.368,630
0.0164,4859
0.0113,4999
-0.0592,6085
0.148,1861
0.228,2110
0.54,370
-0.0591,6901
-0.143,9427
0.401,67
0.156,2157
-0.12,8248
0.0814,3781
0.0171,4403
0.259,1125
-0.0217,5971
-0.154,7435
0.0112,4766
0.166,1022
-0.0327,6560
-0.161,9629
0.134,2264
-0.268,8548
0.224,2169
0.177,2190
0.0596,4126
-0.218,8652
0.0687,4171
-0.0641,7134
-0.296,9842
-0.368,9247
-0.227,10825
-0.00614,5545
0.0478,3860
0.0988,2766
0.0212,4298
0.0073,5102
-0.156,10315
0.142,1582
0.41,855
0.0865,3627
0.207,828
-0.045,5575
0.145,1337
0.143,1258
0.0459,3856
0.0695,3172
-0.209,10125
1.01,1
-0.00325,5472
0.176,2904
-0.141,7193
0.0263,4108
0.0387,3611
0.298,767
-0.0722,7600
-0.168,9400
0.371,2847
0.276,2652
0.617,1960
2.98,19
0.0683,4297
-0.562,9694
0.369,867
0.268,1186
0.151,2005
-0.2,9645
-0.031,6971
-0.11,9942
0.15,3537
-0.196,8968
-0.23,9565
-0.08,6924
-0.23,10122
-0.0657,8230
0.251,2148
-0.227,9693
-0.281,10753
0.255,1006
-0.0399,5932
-0.0237,6107
-0.261,10387
-0.146,7576
-0.00453,5138
-0.411,9403
0.286,802
0.0278,4411
-0.388,10281
0.0625,2515
0.0943,3388
0.173,3352
-0.0813,7797
-0.0819,7759
-0.212,10193
0.0466,4195
-0.172,6619
0.0865,3490
-0.065,7485
0.144,1714
0.0764,3656
0.395,1105
0.277,810
-0.012,5120
-0.0869,7397
-0.124,9296
0.698,401
0.0843,3074
-0.198,9107
0.0324,4452
-0.086,7641
-0.137,9178
-0.27,10371
-0.346,10500
-0.217,9308
-0.0164,5142
0.0532,1241
-0.0151,5706
-0.28,10232
-0.116,7416
-0.0646,6584
-0.326,10499
0.0255,4528
-0.0275,7152
-0.0322,9248
0.127,2418
-0.15,7093
0.438,88
0.592,538
-0.0581,7865
-0.236,9446
0.151,2414
-0.24,9544
-0.233,7737
-0.279,10145
-0.0143,5998
-0.135,8409
0.248,1669
0.1,3341
-0.18,9447
0.054,3079
-0.0893,8419
0.0904,3439
-0.048,6416
-0.0387,6060
-0.0035,5490
-0.0213,5568
-0.04,6937
-0.126,10028
-0.198,4881
0.723,338
-0.0677,6527
0.227,2548
0.0838,2629
-0.086,7278
0.316,1170
0.0968,3914
-0.058,6174
-0.374,9883
0.0309,4518
0.106,3664
-0.204,8519
-0.0496,6667
0.116,3620
-0.269,10490
-0.0596,8096
-0.071,8638
-0.0399,6228
0.107,3073
-0.134,8809
-0.0747,7548
-0.0229,6244
-0.406,10559
0.223,1816
-0.285,9726
-0.0956,7913
-0.373,10543
-0.21,10017
-0.181,10120
0.0625,4010
0.0466,4094
-0.0394,6654
0.0945,2863
0.141,1905
-0.00451,5640
0.0314,4182
-0.177,8028
0.0152,4620
0.0697,3693
0.2,497
0.0883,3624
0.141,1493
-0.33,10534
0.122,3381
-0.0512,6788
0.0404,4106
-0.0905,8527
-0.0568,6928
0.00106,5334
0.197,1344
0.0535,3901
0.0174,3865
0.215,1147
-0.0917,8558
0.422,1160
-0.479,10190
-0.113,9007
-0.0664,7491
-0.0275,6421
-0.0996,7625
-0.243,9831
-0.328,8509
-0.145,8756
0.00625,4883
0.0284,4158
0.202,2727
-0.262,10347
0.092,3930
0.00531,5214
-0.0473,5719
-0.0264,6616
-0.302,8394
0.0797,4200
0.845,263
-0.179,7624
-0.0562,7498
0.0378,4067
-0.0391,6890
0.0478,3512
-0.243,8923
0.162,1945
0.00414,5029
-0.204,9694
0.295,2676
-0.0309,5627
-0.151,7906
0.0266,4592
0.151,1197
-0.186,9885
-0.164,8700
0.0349,4708
0.028,4445
-0.329,10017
-0.0889,8189
0.0342,3790
-0.416,8208
-0.202,6467
-0.385,8290
-0.211,6678
0.075,3090
-0.196,8602
-0.159,9540
0.0618,3799
-0.00103,5190
-0.107,8047
-0.0329,6096
-0.207,9542
-0.00941,5747
-0.0539,6776
-0.738,10849
0.131,4132
0.0968,2622
-0.252,9804
-0.287,10313
0.0253,4375
-0.167,8882
0.268,883
0.0313,4411
-0.184,8778
0.0356,4353
-0.0326,6232
-0.0334,5862
-0.103,7748
0.113,2170
0.0747,3087
0.17,1642
0.0107,5026
1.72,0
0.237,222
-0.188,10180
-0.0323,5887
-0.145,8710
-0.119,8238
-0.0274,5827
-0.303,10565
0.301,322
-0.196,10779
-0.324,8967
-0.00954,5426
-0.0625,6202
0.483,1854
-0.159,9734
-0.0512,6668
0.0937,3644
-0.0128,5853
-0.147,9791
0.121,2796
-0.0664,7551
-0.0118,5716
-0.0476,6858
-0.178,10201
-0.15,7348
-0.335,9698
-0.0391,7498
0.0745,3730
-0.0379,5883
0.0824,3223
-0.277,10104
0.505,19
-0.0867,7804
-0.00809,5623
-0.173,8553
0.536,305
0.248,906
-0.28,9814
0.117,2167
-0.0814,8372
-0.0729,6042
0.106,1498
-0.214,7946
0.113,3668
-0.2,10253
-0.248,10713
0.35,499
0.0533,3733
-0.112,6883
0.149,2511
0.15,1749
0.0307,4345
0.225,117
0.125,2172
-0.0759,7522
-0.074,7295
0.0164,4674
-0.116,7273
0.108,1722
-0.107,6937
-0.19,6406
-0.0997,8610
0.0684,2594
0.128,932
0.0698,3368
-0.0337,6090
-0.159,8479
0.0208,4602
0.0217,4233
0.313,165
0.243,1487
0.197,2314
-0.125,7273
0.127,2843
-0.109,7639
0.302,1360
-0.122,8273
-0.0099,5346
0.0406,4064
-0.0212,6218
-0.0502,6852
-0.458,6849
-0.107,9097
0.116,3500
-0.315,10069
-0.0303,7020
0.668,601
0.997,805
-1.16,10100
0.0272,4702
0.0837,4169
-0.0302,5567
0.366,702
0.0235,4881
-0.22,10333
0.167,1279
-0.00425,5712
-0.0178,5885
-0.632,10956
-0.35,9139
-0.0782,8101
-0.243,10506
0.0788,2800
0.0681,3988
0.17,1394
-0.304,9906
0.046,3734
0.027,4739
0.236,1143
0.148,2766
0.489,295
-0.00509,5570
0.272,1332
0.00415,5269
-0.113,9068
-0.15,7409
0.00791,5216
0.147,2792
-0.0607,6477
0.182,1036
-0.251,9512
0.0298,4771
0.122,3702
-0.013,5665
0.197,2280
-0.0668,7150
-0.169,9568
-0.257,9489
0.206,1609
0.0518,4232
-0.0456,5954
0.348,794
-0.0096,5472
-0.0225,5988
-0.21,6747
0.112,3285
-0.158,8442
0.0165,4776
-0.296,10815
-0.231,10808
0.172,1475
-0.906,10985
-0.287,5529
-0.0323,6473
0.0368,3788
-0.00134,5555
-0.359,10746
-0.0938,9371
-0.0858,6656
-0.0892,7554
0.104,2299
0.28,1922
0.192,2122
-0.245,9718
-0.00255,5408
-0.0414,6234
-0.0828,8211
-0.0854,6828
-0.29,9529
0.175,3712
0.887,27
-0.128,9611
0.112,3250
-0.141,8235
0.0117,5130
-0.000287,5512
-0.0623,5862
0.0247,4639
0.29,595
-0.531,11030
-0.0207,5943
-0.425,9412
0.0218,4511
0.0414,4170
0.0274,4261
0.199,911
-0.138,8807
0.282,750
-0.102,6731
-0.0557,7352
-0.0781,7528
-0.12,8134
0.155,3126
-0.218,10005
0.155,1310
0.0475,4049
0.0178,4471
-0.0419,6325
0.817,52
-0.0436,7493
0.358,411
0.172,2727
0.146,1059
0.0606,3852
0.135,2562
-0.124,7980
0.11,3717
0.293,665
-0.124,7867
-0.0114,5430
-0.222,8064
0.544,296
-0.128,8300
0.0936,2285
0.716,164
0.083,4051
0.0195,5031
0.0448,4394
-0.17,8676
0.205,784
-0.0868,7290
0.178,2597
0.0376,3987
0.435,1806
-0.509,10554
0.0646,4023
-0.0698,8499
-0.134,8599
0.236,1825
-0.206,10146
-0.148,7322
-0.248,10777
0.37,64
0.0194,3721
-0.0277,9460
-0.0376,9461
0.00137,5068
-0.00512,6476
0.0362,4315
-0.088,7331
-0.472,9080
4.42,10
-0.342,6302
0.0214,4642
-0.308,10331
-0.482,9565
0.0801,3834
1.13,63
-0.00925,5720
0.106,3333
0.312,2815
0.163,1897
-0.0882,6754
0.0276,3972
-0.059,6614
-0.00386,5345
-0.327,9878
-0.237,9116
-0.249,7999
-0.161,7998
0.133,2143
-0.224,9337
-0.517,8555
-0.236,8651
-0.235,9439
2.37,392
-0.0502,6535
-0.158,9563
-0.3,9996
-0.116,8451
0.122,1670
-0.131,9782
0.472,347
-0.0216,5501
-0.034,6394
-0.252,8256
0.061,4041
0.00343,5362
0.0431,3024
-0.164,9055
0.126,2064
-0.121,8057
-0.24,8978
0.0355,4263
-0.0872,7797
-0.0578,6366
0.0245,4983
-0.0372,6290
-0.00898,5912
0.00818,5212
-0.0159,5680
-0.179,9587
-0.0174,6039
0.147,2924
0.242,2566
-0.0583,6911
-0.0603,6890
-0.405,7400
-0.131,9193
-0.199,8558
-0.0274,5814
0.228,701
0.104,2881
0.0146,4738
-0.114,9435
0.299,1554
-0.00451,5272
-0.123,9281
-0.0494,6889
0.221,747
-0.0378,6166
0.282,874
0.188,2744
0.027,4487
-0.132,9753
-0.2,7404
-0.0439,6020
0.179,1322
0.0642,3950
0.122,1944
-0.107,9290
2.7,499
-0.0445,4735
-0.251,10782
0.337,2721
0.132,2176
0.0498,3386
-0.0707,6338
-0.00779,5507
-0.179,8340
0.0372,3824
-0.138,9639
-0.0585,7268
-0.487,9229
-0.202,6326
-0.631,8710
0.409,650
-0.107,7566
-0.00833,5461
0.148,3409
0.0299,4656
-0.0595,7265
-0.12,8671
0.106,2566
-0.198,9531
0.0881,3413
-0.153,9172
-0.0963,7981
-0.114,8546
-0.0736,7211
-0.113,7283
-0.128,8901
0.125,3051
0.188,1907
-0.385,10889
-0.241,10337
0.687,532
0.296,1586
-0.145,8683
0.353,701
-0.0503,6676
0.0669,3569
0.123,3053
