coef,rank
-0.219,8507
-0.051,6561
0.153,1221
0.00836,4936
-0.635,8301
0.978,663
-0.226,7509
0.113,2646
0.145,1148
0.163,1903
-0.191,9163
0.0758,3790
-0.154,9316
0.076,2547
-0.113,8716
-0.22,9760
0.648,657
-0.0253,5021
0.0467,3451
0.0353,3724
0.502,23
0.14,1552
-0.338,9445
0.165,3101
0.259,635
0.653,19
0.156,2716
0.238,1290
-0.109,9298
-0.177,6142
-0.0365,6165
0.0308,4372
0.0769,3813
0.132,3385
0.313,663
-0.0881,6906
0.13,2229
-0.104,9362
-0.0554,6832
0.153,2916
0.105,3193
0.452,250
-0.0737,7860
-0.0314,7260
0.0297,4600
0.225,779
-0.0215,5831
0.0161,4614
-0.101,9665
-0.0748,9133
-0.178,8638
-0.149,9393
0.0822,3671
-0.229,9425
-0.11,7370
0.0968,1848
0.0361,4057
0.0406,4350
0.0382,4647
-0.139,7629
-0.0614,8066
-0.0346,6853
-0.153,8159
-0.0425,6036
0.102,1943
0.112,1168
-0.171,9418
-0.105,9203
0.0949,2909
0.232,410
0.126,2449
0.303,2417
0.0504,3636
0.0459,3935
-0.121,8407
-0.205,8883
-0.306,8998
-0.0796,8121
-0.0562,6949
-0.0574,7336
-0.0373,6761
-0.23,10221
-0.0921,6364
0.123,3430
0.104,1966
0.0857,2673
-0.0173,5971
0.259,1749
-0.18,9098
-0.323,9793
-0.0291,6674
-0.0494,7818
0.0228,4767
0.227,1373
-0.0586,6059
-0.0753,6546
-0.0872,6958
0.249,264
0.0613,4169
0.0614,3148
-0.177,9297
-0.211,9552
-0.103,8719
0.111,2131
0.126,1992
-0.13,8160
0.388,1166
-0.0949,7004
-0.195,9072
0.221,1270
-0.0411,6037
-0.0903,7626
0.718,871
-0.111,7275
0.114,1938
0.00813,5155
-0.131,7812
0.0623,3801
-0.0912,8780
-0.349,10668
0.197,1485
0.0763,2504
-0.15,10020
0.0633,3198
-0.0926,6768
-0.106,6211
-0.0148,5891
-0.191,9240
0.246,1611
-0.0109,5349
-0.0665,6655
-0.0534,6377
-0.0254,6296
-0.147,9431
0.0535,4238
-0.142,9648
-0.456,7269
-0.133,6797
0.0954,2107
-0.0573,7188
0.467,531
0.0668,3020
-0.0292,5752
0.0233,4894
-0.00719,5419
-0.00591,5784
0.194,2133
-0.301,10622
-0.00356,5696
0.129,3119
0.0408,4058
-0.0251,6416
-1.65,10634
-0.126,7917
-0.0758,6003
0.243,1136
-0.162,10001
0.235,969
0.0282,4779
0.128,2495
-0.1,8098
0.132,1925
0.135,2567
-0.0242,6662
-0.244,10253
0.0189,5189
0.105,2126
0.000781,5302
-0.134,8441
0.195,677
0.0283,4722
0.267,1966
-0.103,8683
0.104,1855
0.0634,2002
-0.199,10178
0.218,447
0.0492,4378
0.203,3313
0.136,734
0.0774,3241
-0.194,9552
0.24,932
-0.0288,6162
-0.0319,6374
0.0121,4377
-0.244,10812
-0.0474,6805
-0.0518,6175
-0.206,10403
0.209,3046
0.136,1710
0.185,924
0.0121,4925
0.106,2243
-0.168,8784
-0.0466,5569
-0.000549,5416
-0.198,9095
-0.0111,5511
0.0261,4343
-0.0467,6085
-0.22,10236
-0.338,9765
-0.146,10190
-0.256,10669
0.0346,4632
-0.194,7370
0.319,440
-0.484,11001
0.0273,4346
0.0548,3147
0.291,391
-0.0379,6041
0.25,1588
0.446,204
0.118,732
0.023,4749
-0.185,9463
-0.199,9514
-0.12,7103
-0.22,8567
0.311,714
-0.138,9890
-0.0493,7609
-0.0742,6689
0.614,233
0.135,2438
0.154,1172
0.053,3384
0.184,475
0.108,3050
0.124,2902
0.0517,4280
0.0829,3841
0.226,42
-0.0374,5974
-0.108,7541
-0.304,9426
0.0769,3326
-0.297,10086
-0.586,8743
0.02,4936
0.251,566
0.117,2482
0.00618,5319
0.0309,4166
0.131,2551
-0.132,8201
0.158,1750
-0.282,6999
-0.174,8088
0.162,798
-0.079,8692
-0.551,10874
-0.0784,6269
0.0753,4061
-0.127,5944
-0.0679,7348
0.172,1156
0.0323,4433
-0.00865,5698
0.189,1895
0.0113,5119
0.00952,5105
0.296,615
-0.143,7177
0.0137,5129
0.0124,5230
0.63,123
0.109,2967
-0.145,10617
-0.134,8795
0.33,430
0.16,2579
-0.0576,6793
0.0686,3451
-0.313,10177
0.0753,3732
-0.0442,6268
-0.0281,6010
0.0156,4989
-0.061,7020
-0.415,10886
0.14,2414
-0.257,9656
0.126,2864
0.00169,5354
-0.243,10982
-0.137,8835
-0.101,7213
0.00603,5155
-0.398,10748
-0.147,8153
0.264,87
-0.0893,8461
0.467,819
0.327,292
0.0512,4329
-0.017,5130
-0.356,10956
0.057,3490
0.0184,4757
0.0785,3417
0.208,1374
-0.157,7165
0.0253,4034
0.00711,5002
-0.106,8491
0.0754,4120
-0.277,9365
0.0465,3531
-0.155,10230
0.143,1808
0.019,4999
-0.55,10653
-0.277,9639
0.0104,5217
-0.208,8680
-0.176,8007
-0.251,9303
-0.226,10169
0.76,31
0.371,2023
-0.0912,8590
-0.219,10234
0.11,2207
0.403,124
-0.044,7080
0.209,2647
-0.132,9888
-0.116,8960
-0.147,7864
0.00518,4964
0.131,1963
0.177,3029
0.0592,3284
0.248,234
-0.0883,8299
0.365,61
0.0589,3843
0.32,985
-0.0765,8132
0.11,3634
0.176,2753
-0.144,10445
-0.145,10252
0.0771,3477
-0.123,9038
0.156,1914
-0.0364,4711
0.859,444
-0.286,5318
-0.124,5213
-0.375,9652
0.404,2276
0.0186,5007
-0.0249,5912
0.0215,4819
0.307,458
0.129,837
0.0611,2248
-0.214,5981
0.343,723
-0.233,9592
0.142,2982
