coef,rank
-0.0694,6268
0.0968,3226
0.321,94
-0.106,6730
-0.162,5175
-0.141,5838
-0.216,7400
-0.248,10463
-0.138,9518
-0.0503,6168
0.00944,4960
0.707,39
-0.0922,7863
0.167,694
-0.0986,8362
0.299,874
0.541,988
-0.112,5948
0.0473,3426
0.143,398
-0.193,9987
-0.19,10359
0.0473,4335
-0.347,9745
0.395,106
0.174,1880
-0.0732,6370
-0.341,10526
-0.0477,7474
-0.223,6579
-0.0634,6745
-0.0599,7248
-0.0294,5996
-0.392,9717
-0.0924,7118
0.426,615
-0.0462,6851
0.0792,2272
-0.232,10320
-0.262,9114
0.267,1036
0.135,2628
0.0457,3801
-0.00825,5934
-0.0702,6872
-0.221,10205
0.233,1610
-0.173,7655
-0.126,10259
0.0654,2223
-0.09,7027
-0.0288,6428
-0.0766,6728
-0.153,8308
-0.226,9463
-0.0454,7141
-0.0688,7108
-0.0322,5533
-0.422,10100
-0.0111,5276
-9.4e-05,5304
0.0172,5018
0.0535,4302
-0.0166,5484
0.139,1134
0.128,848
-0.0642,6979
0.105,1974
-0.123,8883
0.368,37
0.0343,4391
-0.0924,5887
-0.0199,5772
-0.0196,5870
0.343,417
-0.104,7218
-0.162,7229
0.0932,2610
-0.0567,6962
-0.204,10498
-0.14,9385
-0.127,8555
0.465,1183
-0.308,9506
-0.0783,8432
0.0244,4520
0.146,2116
-0.632,11014
0.0253,4485
-0.249,8927
0.123,1490
0.0757,2133
-0.224,9626
-0.0743,6880
-0.223,8716
0.0745,3858
-0.197,8936
0.000216,5290
-0.0988,6564
-0.0557,8010
0.46,91
0.12,2866
-0.0935,8464
-0.127,9128
-0.131,8913
0.214,1593
-0.31,9405
0.651,80
-0.324,10498
-0.244,10108
0.501,127
-0.255,10406
0.463,1796
-0.429,10790
-0.138,9820
0.144,816
-0.00181,5417
0.2,1198
-0.037,6851
-0.106,7609
0.184,1654
0.105,1711
-0.0814,8379
-0.118,9390
-0.154,7773
0.352,1876
0.147,1012
0.182,1840
-0.194,9020
-0.19,9332
-0.17,8645
0.123,2997
0.189,783
-0.0692,7596
0.358,979
0.0322,4173
0.313,2917
-0.331,9112
-0.0505,7130
0.11,2245
-0.162,8066
0.217,350
-0.248,9347
0.255,1084
-0.105,7993
0.00592,5451
-0.0942,6747
0.227,1291
-0.0942,8716
0.126,3173
0.0801,2968
-0.135,9784
0.16,3724
0.291,755
1.15,51
-0.267,10238
0.214,639
0.052,4157
0.07,4140
-0.131,8517
-0.139,8945
0.1,2561
-0.161,9023
0.139,531
0.39,170
0.068,3997
0.0303,4312
0.0101,4949
-0.391,10900
-0.0683,7840
-0.0189,5817
-0.204,8015
0.144,1252
0.0313,3988
0.0361,3257
-0.0717,7336
0.188,737
-0.12,7833
0.138,3888
0.0313,3874
-0.044,6944
0.156,2309
0.0944,3019
-0.0305,6222
-0.136,9729
