coef,rank
-0.44,10505
-0.202,9542
0.0342,4257
-0.147,7386
-0.438,7021
-0.466,9251
0.0766,4200
-0.0842,7630
-0.136,9466
-0.0995,7404
-0.128,7953
0.102,3381
0.0707,3217
0.00633,5062
-0.0507,7053
-0.214,9668
0.346,1915
0.288,2370
-0.0196,6400
-0.0277,7205
-0.11,8358
-0.0756,7733
0.482,723
-0.207,8166
-0.0455,6688
-0.222,9622
-0.281,9508
-0.387,10746
0.0539,3571
-0.0343,4839
-0.156,8684
0.103,2399
0.185,2097
-0.181,7296
-0.0386,5958
0.082,3874
0.0516,4064
0.0211,4414
0.178,1462
0.311,1420
-0.331,10605
-0.17,8658
0.0438,3863
-0.0632,8799
-0.0868,7230
-0.244,10447
0.321,834
-0.0341,5428
-0.114,10012
0.123,709
0.0726,3964
0.199,1244
-0.125,7681
0.429,371
-0.0803,6764
-0.227,10918
-0.12,8492
0.134,3018
0.418,1321
0.0382,4434
0.0169,4544
0.134,1694
-0.307,10144
-0.0956,7156
-0.106,9188
0.00837,4859
0.2,1273
0.228,291
-0.0683,7542
-0.0386,6709
-0.159,9015
-0.0188,5125
0.0365,4024
-0.00988,5615
0.194,1571
0.0478,4310
0.575,628
0.126,1893
-0.112,8495
0.317,144
0.254,604
-0.119,8369
0.00609,5170
-0.0159,5329
-0.0656,7994
0.0058,5112
-0.212,10143
-0.178,8361
-0.0775,6924
-0.0973,6666
0.00974,5025
-0.0423,7506
-0.103,7468
0.325,626
-0.172,7946
0.122,3169
0.0492,4256
-0.044,6886
0.322,1514
-0.115,9798
0.166,1837
0.14,2519
-0.0979,8589
0.0217,4584
-0.223,10392
-0.0675,6817
-0.305,9326
0.187,2299
-0.0319,5928
-0.032,6021
0.0899,3320
-0.0552,6670
-0.0783,5504
0.36,936
-0.102,9010
0.243,98
0.122,3267
0.0506,4106
-0.0152,5960
0.112,3134
-0.133,8630
0.101,1808
0.0987,2139
0.0708,2943
-0.31,9787
0.198,3028
0.00287,5228
-0.277,10250
-0.0983,7380
-0.0909,7309
-0.0185,5687
-0.246,9807
0.103,2166
0.387,101
-0.000818,5127
-0.0249,6178
0.0164,4143
-0.142,6928
-0.00785,5475
-0.175,9925
0.193,2676
-0.0458,7399
-0.0585,6305
-0.104,7910
-0.0463,6442
-0.155,9582
0.138,2856
0.269,890
-0.0266,6553
-0.225,8957
-0.195,10198
-0.0293,6554
0.294,3221
0.0809,3381
0.23,2758
-0.0493,6392
0.201,755
-0.0901,7819
-0.264,9335
-0.104,7942
0.117,2669
0.0185,4793
-0.0593,6859
-0.108,9982
-0.0499,6490
0.334,463
0.0842,2645
-0.0639,7819
0.142,2645
-0.024,6305
-0.19,9433
0.537,578
0.0067,4962
-0.174,10308
0.031,3546
0.0163,4597
0.203,586
-0.242,9808
-0.108,6386
-0.0554,7864
0.233,616
-0.149,8722
0.191,1431
-0.142,8966
-0.0358,6542
0.021,3879
-0.105,8783
-0.0407,6618
0.108,3161
0.124,1981
-0.238,7346
0.0974,2508
0.131,1746
0.0608,2479
-0.0624,7278
-0.248,9960
0.126,3160
-0.134,9180
-0.246,9764
-0.0882,7308
-0.163,10318
0.0306,4545
-0.0723,7082
-0.217,8434
0.084,2133
-0.135,9024
-0.0168,5735
-0.524,10495
-0.0759,7274
-0.283,10339
0.0787,2946
0.118,1365
0.00775,5044
-0.0786,6833
-0.02,5608
0.204,1601
0.0582,2531
-0.0159,6026
0.164,1895
-0.241,10022
-0.315,9877
0.00738,4929
-0.144,8591
-0.0187,6040
-0.111,9743
-0.078,6752
0.183,2602
0.164,1921
-0.0387,6815
0.127,1261
0.0277,4368
-0.268,10346
-0.152,9026
0.00642,5267
0.625,160
0.0198,4348
-0.0404,6039
-0.322,10543
-0.146,7469
-0.302,10420
-0.229,9335
-0.145,4649
0.758,342
-0.00806,5616
-0.256,10319
-0.139,8461
0.136,1413
0.0414,4440
-0.179,9029
-0.216,10124
0.0504,4997
0.0612,4301
0.0153,4690
-0.132,10020
-0.396,10243
-0.545,10821
0.162,3035
0.436,1570
0.317,292
-0.15,9346
0.023,4711
-0.0821,7795
-0.0407,6516
-0.0581,6738
0.0244,4703
-0.0394,6226
-0.0386,5546
0.264,649
-0.126,8671
-0.181,8265
-0.201,9885
-0.0641,8529
0.12,2195
0.126,2516
-0.0217,5848
0.0498,3919
0.164,1709
0.0703,3777
-0.0221,5908
0.115,2849
0.142,2953
-0.17,9689
0.222,814
-0.207,9328
-0.0161,5636
0.0471,4390
-0.128,7607
0.19,1586
0.00509,5263
-0.0175,5881
0.501,106
0.0954,3660
-0.148,8189
-0.246,9695
-0.223,10928
0.0965,2309
0.0105,5022
-0.0422,6303
-0.106,6942
-0.115,6816
-0.118,8417
0.0511,3649
-0.285,10785
-0.239,9724
-0.38,10915
0.0188,4642
-0.0683,8183
0.0776,3554
0.0498,3863
-0.18,7819
0.143,2929
-0.119,8828
0.036,3814
-0.11,8553
-0.0492,6847
0.404,1396
-0.217,8908
-0.4,10897
0.245,1755
-0.00896,5191
0.0379,4643
0.0711,3737
-0.29,9781
0.345,2193
