coef,rank
0.206,2424
0.122,2756
-0.111,9077
-0.121,6974
-0.238,5685
-0.257,7006
-0.44,9638
0.0359,4429
-0.00641,5361
-0.0669,6630
0.0147,4827
0.0207,4777
0.173,1375
-0.186,10601
-0.0376,6638
0.165,2271
-0.246,7886
-0.00874,4823
0.153,702
0.108,989
-0.0366,6355
-3.26e-05,5256
0.368,1280
0.0943,3937
-0.0337,6351
0.0696,3658
-0.207,8551
-0.106,7257
0.0218,4775
0.0233,4400
0.19,1779
-0.111,8671
-0.153,8553
-0.172,7197
0.000516,5133
-0.099,7077
0.241,707
-0.132,10011
-0.00721,5460
-0.11,6858
-0.0143,5639
0.239,1366
-0.133,9433
-0.101,10127
0.124,2747
-0.216,10160
0.486,212
0.0357,4299
-0.168,10776
0.0454,3077
0.224,1827
0.0594,3968
0.249,1426
-0.0507,6308
-0.447,10947
0.0784,2381
-0.0805,7445
0.0682,3951
-0.0838,6164
-0.154,7883
0.0511,3087
-0.027,6568
0.0506,4350
0.221,1590
-0.138,9930
0.0265,4007
0.0821,3233
0.000849,5487
-0.156,9577
-0.0296,6353
-0.0293,5986
-0.317,8349
0.197,840
-0.133,9016
-0.0526,6787
0.052,4234
-0.48,10395
-0.151,9820
0.176,1242
-0.0791,8006
0.329,204
-0.108,8095
-0.0683,6069
0.226,2272
-0.188,10658
-0.0446,6809
0.0547,4064
-0.121,7407
-0.0515,6276
0.314,1320
-0.0323,6792
-0.0329,7079
-0.0123,5528
0.0858,3407
-0.0917,6635
-0.0925,6897
0.262,1288
-0.0496,7089
-0.0784,6258
-0.00375,5788
0.218,1178
0.091,3377
-0.000884,5476
-0.118,8914
0.0653,3365
-0.0346,6073
-0.47,10570
-0.159,8090
-0.0614,6576
0.437,143
0.00653,5025
0.00455,5082
0.29,2718
-0.0356,5898
-0.07,8043
-0.00391,5742
-0.404,10706
0.152,1894
-0.119,9527
0.106,3243
-0.211,9918
0.104,1745
-0.0408,6974
-0.145,9930
0.224,2132
0.0268,4669
-0.125,9542
0.251,1079
-0.0722,6878
0.185,1507
-0.0314,5938
-0.206,9260
0.00855,5068
-0.0824,7939
0.0196,4795
0.122,1786
-0.429,7072
0.378,1643
0.0641,3028
-0.196,10240
-0.116,7399
