coef,rank
-0.146,7450
0.0453,4287
-0.114,9160
0.0357,4554
-0.749,8925
-0.662,10473
0.464,1488
-0.0607,7063
-0.0634,7396
-0.059,6425
-0.21,9462
0.301,1137
-0.159,9393
0.0947,2047
0.00121,5513
0.5,165
-0.324,8721
0.304,2258
0.115,1365
0.0328,3844
0.118,2301
-0.0204,5950
0.0635,4096
-0.336,9647
0.0562,3868
0.0802,3445
0.297,1359
-0.0411,5908
0.219,401
0.173,3411
-0.146,8508
-0.0715,7583
-0.021,5806
0.0517,4353
0.167,2032
-0.552,10987
0.13,2215
0.126,1140
-0.293,10775
0.253,1896
-0.036,6116
-0.206,9222
0.112,2033
-0.113,10352
-0.331,10681
0.156,1648
-0.355,10622
0.715,76
-0.116,10043
0.032,3698
0.385,628
-0.108,8539
-0.0163,5549
-0.123,7746
0.179,1909
0.0166,4528
0.0353,4090
-0.0552,5904
0.141,3470
-0.219,8875
0.0651,2608
-0.116,9285
0.151,2737
0.297,933
-0.0679,7989
0.0869,1762
0.000877,5260
0.0157,4888
0.26,545
-0.0411,6797
0.0816,3274
-0.641,10530
0.0512,3614
-0.0156,5769
0.161,2046
-0.109,7295
-0.143,6960
0.0694,3245
-0.0022,5381
-0.0938,8439
-0.0718,7760
-0.00565,5434
1.49,9
-0.428,10425
0.0718,2895
0.131,1660
0.131,2370
-0.317,10007
0.347,357
0.381,915
0.0121,4937
-0.0922,9446
0.089,3420
0.0109,4967
-0.00837,5206
0.152,2778
0.0935,3478
-0.0884,8377
-0.259,8870
0.0279,4445
0.288,615
0.345,518
0.0485,3871
-0.118,8915
0.112,2243
-0.144,8453
-0.172,7646
-0.151,7989
0.293,1005
-0.00904,5462
0.183,1906
0.0258,4548
-0.553,9906
-0.118,7398
-0.0813,8400
-0.0482,7701
-0.182,8635
-0.0939,8111
0.0225,4488
-0.109,7661
0.0448,4298
0.0872,2176
-0.0164,6037
-0.00766,5814
-0.131,7397
-0.278,8275
0.0276,4280
-0.187,9180
-0.283,10087
0.0468,4002
0.277,1209
0.28,1238
0.115,1904
-0.182,10020
-0.214,8724
-0.182,10277
-0.484,7474
-0.209,7746
-0.0977,8633
0.09,2723
0.0822,4178
-0.128,9870
-0.382,10523
0.137,2527
-0.178,9474
-0.101,8414
-0.234,8977
0.153,2241
0.009,5284
0.17,2592
-0.213,10393
-0.16,10244
0.445,2757
-0.0795,6874
9.14e-05,5085
-0.144,8500
0.0144,4957
0.0696,3719
0.124,3351
0.183,1617
0.191,1434
-0.13,9077
0.153,2271
0.0656,2297
-0.0277,5881
0.0215,5124
-0.102,8794
-0.156,10232
-0.189,9390
-0.0572,7467
-0.0697,7012
0.135,3255
-0.136,9517
-0.159,10073
-0.0257,6945
0.249,445
-0.132,9438
0.195,1977
0.73,672
-0.0434,7332
-0.0944,8365
