coef,rank
0.0386,4559
-0.15,8687
0.0692,3126
0.00723,4959
-0.226,5602
1.52,158
-0.508,10057
-0.279,10682
-0.144,9641
-0.124,7932
-0.000627,5200
0.159,2576
-0.17,9591
0.085,2294
-0.223,10463
0.301,857
-0.306,8556
0.159,3339
-0.0942,9295
-0.179,10964
0.101,2656
0.328,123
0.282,1835
0.14,3373
-0.208,10089
-0.045,6132
-0.468,10781
-0.0982,7096
-0.0838,8641
0.488,1877
0.452,182
-0.22,10522
-0.262,10130
0.494,904
0.129,2610
0.186,2401
-0.0853,7946
-0.069,8189
-0.109,8182
-0.234,8755
-0.0499,6387
0.0358,4431
0.0148,4815
0.0555,2503
-0.0981,7479
-0.263,10613
-0.0955,7345
0.267,1592
0.0322,3618
-0.0571,8426
0.0425,4477
0.304,353
-0.0999,7203
0.527,148
0.0612,3694
0.0107,4766
-0.13,8700
0.433,677
-0.456,10323
-0.285,9709
-0.0373,7072
-0.0642,7822
-0.563,11004
0.138,2638
0.17,721
-0.0141,5945
0.18,1527
0.103,2036
-0.0291,6356
0.173,957
0.0693,3551
-0.464,9607
0.0977,2426
-0.0527,6910
0.0105,5204
0.112,3244
0.128,3622
-0.127,9328
0.0405,4130
0.159,1265
0.172,1499
-0.162,9249
-0.182,7519
-0.252,8853
0.116,1688
-0.0884,8215
0.175,1698
-0.0549,6292
0.0342,4274
-0.211,8422
0.0209,4598
-0.149,10574
-0.165,8700
0.0731,3659
-0.218,8644
-0.332,10285
-0.203,9033
-0.0396,6721
-0.131,7029
-0.0789,8800
-0.00204,5303
-0.162,8783
-0.00382,5552
-0.0917,8259
-0.192,10046
0.0355,4575
-0.159,7445
0.0513,4321
-0.224,9503
-0.171,9058
0.0978,3178
-0.279,10611
0.217,3185
-0.125,7503
0.12,1814
-0.0258,6777
-0.246,9426
0.188,1354
-0.138,9965
0.0201,4897
0.123,2642
0.155,810
0.0672,3011
0.0494,3655
0.274,1662
-0.1,6143
0.0842,2408
0.017,4931
-0.278,10039
0.251,890
-0.263,9964
0.101,3338
-0.368,11028
-0.0696,7609
-0.0538,6070
0.0269,4355
0.321,2875
0.177,3211
-0.0421,6813
-0.138,9307
0.106,3812
-0.148,10226
0.464,410
0.0214,4943
-0.229,10170
0.0785,3371
0.224,1796
-0.104,7759
-0.223,10796
0.314,1253
0.0102,5044
-0.0606,7732
0.51,2590
0.2,1565
0.0454,4554
-0.112,7811
0.042,4069
0.0154,5054
0.0222,4885
-0.251,10304
0.24,888
0.352,129
0.095,3317
0.0317,3728
-0.214,9886
-0.275,10572
0.203,589
0.1,1980
0.123,2964
-0.163,10119
0.13,2638
-0.129,6918
0.022,4414
0.051,3306
-0.0971,10072
0.114,2102
