coef,rank
-0.491,10734
0.3,662
0.0688,3142
0.186,2604
-0.0458,4440
-0.299,7461
0.456,1537
0.0411,4287
0.234,331
0.0465,4018
-0.0202,5674
0.109,3273
0.111,2369
-0.139,10000
-0.0009,5580
0.048,4362
0.265,2454
-0.341,8687
-0.0783,8806
-0.0293,7305
-0.189,9924
-0.0147,5743
0.312,1632
0.607,399
-0.189,9837
0.0641,3773
-0.289,9588
0.253,1173
0.0861,2542
-0.269,7016
0.0713,3767
0.152,1437
-0.376,10847
-0.156,6994
0.0546,3975
0.144,2924
-0.0181,6016
-0.0912,8990
-0.313,10853
-0.0122,5212
0.156,2361
-0.16,8461
-0.0438,6868
-0.0158,6376
-0.0406,6198
0.0273,4425
0.186,2150
-0.0998,6503
0.165,335
0.00394,5163
0.0764,3904
0.207,1135
0.142,2738
-0.11,7510
0.0962,3066
0.0436,3546
-0.282,10759
-0.242,8813
-0.273,8699
0.14,2823
0.00172,5223
0.211,605
-0.0601,6428
-0.029,5738
0.0934,2172
-0.0971,9402
-0.0818,7485
-0.00315,5621
0.187,1221
0.0135,4842
0.00562,5077
0.0522,4416
-0.162,9663
0.153,1517
0.0649,3863
0.125,3057
0.496,891
0.122,1964
-0.226,10487
-0.264,10877
-0.0776,7921
-0.142,8868
-0.258,8407
-0.698,10997
-0.084,8623
-0.103,8648
0.0999,3019
0.456,533
0.382,248
-0.199,8260
-0.0437,7238
0.0837,1880
0.0943,3328
0.194,1739
0.129,3167
-0.0382,5831
0.0123,4949
-0.112,9015
0.185,2694
0.111,1636
-0.0628,6786
-0.0909,7347
-0.0608,7464
0.0379,4092
0.0498,3771
0.0799,3654
-0.392,10100
0.153,2733
0.338,692
0.0823,3419
0.0163,4814
0.0478,4049
0.139,3716
0.204,2225
-0.187,10523
-0.0758,8724
-0.159,8270
-0.0897,7992
-0.122,9584
-0.00155,5386
0.0863,3402
0.0124,4758
0.0771,2723
-0.0812,8373
0.338,1199
-0.0333,5331
0.024,4417
0.139,2411
0.00957,5237
-0.0831,7141
-0.295,10281
-0.111,7551
-0.119,9203
-0.109,8584
0.15,2863
-0.0876,8305
1.29,1106
-0.514,10468
-0.0637,7584
0.149,1498
-0.012,5663
0.0733,2816
0.139,3005
-0.0278,6135
-0.0213,5809
-0.00018,5625
0.376,713
0.206,1520
0.0119,5174
-0.0431,5942
-0.0395,6648
-0.00446,5617
-0.474,6919
-0.289,10387
0.0129,4944
-0.138,8375
-0.162,9999
-0.102,8101
-0.0557,6233
-0.226,10034
-0.0332,6343
-0.123,8921
0.0814,3605
-0.0515,8008
-0.232,10133
-0.0229,6220
0.314,84
0.317,44
-0.313,10613
0.00166,5402
-0.334,10759
0.0567,4234
-0.0219,5990
-0.0111,5590
0.0603,2116
0.129,1834
0.173,902
0.226,1650
-0.323,8733
-0.0816,8915
0.129,2046
0.536,98
-0.0812,7439
-0.0391,6477
-0.00703,5365
-0.0867,9768
0.0728,3082
-0.121,8822
-0.164,8324
0.0332,4384
-0.38,8870
-0.254,10789
-0.0818,8108
0.0342,3728
0.108,2201
-0.00956,5405
-0.0735,5997
-0.0144,5858
0.193,2042
0.124,2823
-0.0847,8546
0.433,366
0.0054,4841
1.03,27
0.03,3998
-0.0538,7000
-0.306,10602
0.168,3220
-0.0288,6072
0.00244,5372
0.0784,2953
0.101,1775
-0.137,9001
-0.0383,6054
0.148,2750
-0.287,10230
0.107,961
-0.0417,6923
-0.0131,5608
0.515,131
-0.0822,6427
-0.383,10281
-0.255,10181
-0.2,10695
0.0511,3042
-0.368,10561
-0.121,7101
0.311,493
0.0239,4585
0.0665,2934
0.00739,5159
-0.107,7768
-0.0572,6989
-0.0471,6469
0.461,480
0.0263,3988
0.0424,4099
0.338,545
-0.312,9497
-0.222,9576
-0.0171,5486
1.58,593
0.607,624
0.119,2303
-0.158,8977
0.134,2762
-0.0495,7140
0.0378,4523
-0.0703,6939
0.0953,2932
-0.661,9045
0.446,685
0.0186,4564
0.0244,4327
0.0631,4281
0.427,1161
-0.0857,6241
-0.0325,4922
-0.0162,5859
0.11,2239
-0.0601,7200
-0.0185,6006
-0.0563,6869
-0.127,8296
0.145,1872
-0.0111,5544
-0.106,6609
0.039,4458
0.0962,3134
0.562,224
-0.0193,6074
0.11,1106
-0.185,9767
0.0274,4466
-0.0373,6177
0.0821,3176
-0.0592,6745
0.0545,4034
0.0269,4806
-0.0596,6646
0.181,2383
0.0479,4045
0.163,1494
-0.19,9087
-0.0423,6254
-0.207,9012
-0.103,7102
-0.357,10914
-0.023,6560
-0.0616,7002
-0.132,7881
-0.0656,6392
-0.479,10940
-0.282,10095
-0.00937,5983
0.0435,3850
-0.192,8004
0.179,1443
-0.33,9930
0.107,3372
0.14,1978
0.0802,2846
0.101,2707
-0.023,5599
0.0511,4128
-0.0587,5777
0.0235,4124
-0.0611,6405
-0.0487,6823
-0.178,7780
0.389,937
-0.127,9021
-0.0227,6187
0.203,995
-0.0612,7197
-0.0962,6374
-0.0814,6775
0.193,1987
-0.273,9519
-0.0632,6111
-0.182,8349
-0.0911,7793
0.0974,3425
-0.175,7143
0.173,658
0.208,1145
-0.088,8065
-0.164,9112
0.252,98
0.0809,4109
0.0668,2721
-0.169,9980
-0.217,8965
0.0924,3540
0.117,2253
0.251,2391
-0.0893,8204
0.0985,2159
-0.253,10850
-0.0985,8476
0.05,4057
-0.202,8862
0.0884,2408
-0.0744,6286
-0.0421,5695
-0.116,9928
-0.0624,8084
-0.0624,6476
0.0741,3026
-0.163,9304
-0.197,5786
-0.334,8185
-0.411,6291
0.627,1686
-0.013,5268
-0.00127,4727
-0.111,7427
0.0774,3872
-0.109,8154
0.0524,3845
0.0915,1655
0.0651,2088
0.0436,4118
0.0743,3873
-0.306,10347
0.409,576
-0.104,8050
0.142,903
1.23,34
-0.0699,6879
0.00273,5527
0.0186,4788
-0.408,10633
0.185,794
0.212,1443
-0.0383,5690
-0.447,10754
-0.146,6706
-0.0772,7124
-0.0326,6568
-0.0125,5281
0.0173,4472
-0.195,8990
-0.121,6480
-0.0105,5693
0.126,2078
-0.0785,7506
0.02,4750
-0.0748,5544
0.42,334
-0.00696,5431
0.0499,3806
0.0334,4691
-0.289,9138
-0.2,9618
