coef,rank
0.663,176
0.103,3098
-0.00167,5519
-0.125,7031
-0.201,5439
0.669,1347
0.0838,4128
-0.0936,7859
0.0596,3118
0.207,1359
0.0321,4436
-0.012,5404
-0.134,8923
-0.0412,6986
-0.137,9229
0.466,221
-0.583,10601
-0.162,6574
0.231,140
-0.0352,7605
-0.129,8793
0.0662,3207
0.502,641
-0.0817,6462
-0.104,8207
-0.011,5380
-0.00465,5151
-0.0911,6947
0.15,1090
-0.286,7197
-0.121,8036
-0.211,10443
-0.0452,6352
-0.227,7946
0.0665,3734
0.393,757
0.495,21
-0.0111,5763
0.00826,5047
0.143,3042
-0.138,8226
0.0595,3976
-0.0965,8561
-0.0807,9497
0.419,245
0.0204,4596
0.295,1035
-0.0864,6277
-0.0285,6791
-0.111,10228
-0.309,10241
-0.013,6021
0.193,2048
-0.244,9632
-0.0915,7005
-0.145,10118
-0.145,9023
-0.0964,6580
-0.0603,5871
0.0608,4056
-0.104,9515
0.189,853
0.237,1722
0.129,2771
0.0238,4483
-0.0785,8759
0.0193,4767
-0.0184,6221
0.138,2029
-0.0894,8371
-0.159,9026
-0.484,9760
-0.109,8475
0.036,4222
-0.0824,7530
-0.0929,6993
0.656,399
0.22,611
-0.115,8588
0.104,2345
-0.279,10850
-0.157,9174
0.544,843
0.0294,4667
0.0392,4041
0.0409,3993
0.215,1183
-0.271,9588
0.259,863
0.48,495
0.0595,3223
0.108,1275
-0.111,7632
0.13,2653
0.289,1469
-0.073,6506
-0.166,8411
-0.0943,8560
0.207,2462
-0.218,10908
-0.000333,5258
-0.0101,5536
-0.00705,5659
0.153,1360
0.106,2368
-0.0277,5886
0.256,2046
-0.132,7697
-0.245,9793
-0.0342,6068
-0.00249,5190
0.015,4800
-0.17,6350
0.59,180
-0.0678,7974
0.12,1222
0.204,2178
-0.135,9051
-0.184,10578
0.129,2860
-0.0244,5959
0.173,576
0.0813,2607
0.0631,3201
0.176,2686
-0.133,6530
0.000678,5304
-0.0753,7023
0.494,283
-0.0646,6718
0.337,809
-0.062,6541
0.0759,2881
-0.0823,7936
-0.209,8651
0.0139,4819
-0.066,4625
-0.0335,5633
0.168,822
0.0703,3232
0.394,873
-0.101,9248
0.282,1431
0.176,1969
0.126,2416
-0.111,8682
0.0891,3579
0.575,35
0.204,708
-0.128,7448
-0.00869,5668
-0.121,9503
0.0738,4092
0.358,429
-0.0475,5665
-0.253,10081
-0.133,9464
-0.11,8284
0.319,1288
-0.0748,7251
0.108,2832
-0.0643,7388
-0.0487,6588
-0.137,10548
-0.012,5477
0.122,2843
0.0747,2905
-0.0259,6376
-0.0623,6901
0.0764,2858
-0.212,9751
0.274,1902
0.0457,3668
-0.0805,8144
0.0488,2622
0.134,1723
0.135,1471
-0.204,9294
1.01,236
0.0867,1779
-0.0227,6290
-0.0256,6042
-0.0611,6921
-0.196,9942
-0.0683,7805
-0.0296,7056
0.055,3612
0.31,278
-0.211,9103
-0.185,10139
-0.244,7419
-0.0626,7446
-0.0662,7651
0.00332,5386
-0.116,8862
-0.116,7795
0.0257,4487
0.159,1376
-0.173,8729
-0.00459,5365
0.123,1506
0.343,741
0.066,3227
-0.453,10548
-0.114,9522
0.3,344
-0.297,10541
-0.235,7938
0.0868,3326
-0.237,9890
-0.138,9398
0.093,1968
0.0277,4499
-0.136,7953
-0.299,10145
-0.0556,6197
0.0186,4528
0.0933,2654
-0.0563,6734
0.0012,5359
0.355,956
-0.153,7521
-0.146,8617
0.0278,4213
-0.0395,7172
-0.127,7620
-0.0672,6204
-0.0051,5674
-0.0604,7555
0.0289,4282
-0.038,7058
0.739,32
0.0461,4494
-0.00387,5508
-0.169,8139
-0.11,10205
-0.0628,6620
-0.192,9133
0.0974,3859
-0.194,9135
0.107,3184
-0.278,5838
-0.433,10254
-0.283,10836
-0.243,10200
0.228,1455
-0.0324,6537
-0.174,9415
-0.107,7717
-0.128,8641
0.445,3048
0.0504,4464
0.000692,5282
0.0113,4894
-0.242,8743
-0.654,10978
0.478,790
-0.132,5994
0.133,2058
0.132,1802
-0.195,10134
0.0489,4016
0.198,1791
-0.0516,6594
-0.0338,6384
0.0394,4286
0.231,2043
0.11,2785
-0.0823,7675
0.109,3325
0.0617,4055
0.0125,4809
-0.114,8357
-0.334,10752
0.425,412
-0.219,10116
0.174,1574
-0.24,9389
-0.127,8306
-0.117,7905
0.234,1757
-0.133,9027
-0.0704,7301
0.0941,3747
0.389,304
-0.0804,6837
0.226,1576
0.24,998
0.0428,3743
-0.0205,5944
0.371,418
0.113,3412
-0.393,10725
0.216,1753
0.0283,4374
0.0935,2386
-0.347,9830
0.441,75
-0.415,10532
0.101,3447
0.274,525
0.0444,3816
-0.158,9328
-0.314,10441
0.167,1913
0.375,1152
-0.135,10136
-0.187,8831
-0.0328,6335
0.0577,4372
0.895,65
0.0778,2700
0.111,1575
-0.103,8373
-0.0448,6726
0.0777,4185
0.122,3416
-0.07,6918
-0.124,7318
-0.268,9351
-0.0877,6813
0.115,2800
-0.219,8838
-0.33,8903
-0.00932,5692
-0.0292,6225
0.0925,2598
0.348,240
0.043,3384
-0.521,10759
0.028,4072
0.0386,4163
0.127,3238
0.0544,4152
-0.0197,5937
-0.0303,5394
-0.134,9380
-0.0455,7180
-0.094,8464
0.128,1745
-0.158,9399
-0.22,9105
-0.14,9854
-0.00403,5203
-0.0252,5462
0.0712,2269
-0.194,10819
-0.19,9025
0.105,2248
0.174,1630
-0.31,6610
-0.389,8760
3.64,104
-0.0975,5022
0.209,2840
0.782,1016
0.0395,4615
0.0885,3648
0.00712,5206
0.00313,5058
0.0208,4390
-0.0891,9347
-0.284,6577
0.0054,5169
-0.26,9931
0.222,1953
-0.187,9583
-0.0645,8190
-0.248,7835
0.266,1073
0.155,1968
0.0546,4007
-0.176,8358
-0.00662,5552
0.24,1132
-0.0893,6582
0.188,2360
0.216,3088
0.0963,3344
0.132,1603
-0.325,9743
-0.00864,5828
-0.197,9018
-0.236,7831
-0.159,9626
0.0539,3783
-0.0639,7082
0.0504,4120
-0.229,7263
0.063,3895
0.314,89
-0.0513,6716
-0.265,10500
-0.0329,5607
-0.0457,6484
0.252,2140
0.704,5
-0.0174,6002
0.151,3337
0.0976,2783
-0.00304,5245
0.145,2023
0.0976,2814
0.214,778
-0.334,10772
0.201,1808
-0.178,8716
-0.356,8878
0.0305,2692
-0.00983,5534
-0.156,8596
0.0775,4240
-0.104,7358
-0.342,10614
-0.0133,5980
0.0124,4521
-0.0115,7043
0.279,697
-0.417,9947
0.00407,5027
-0.268,8569
-0.0746,8488
-0.173,8479
0.0387,4351
0.166,2269
-0.0647,5705
0.584,76
0.061,3325
-0.248,10175
0.394,674
-0.224,9267
0.0715,3833
-0.0804,8176
-0.116,9118
0.242,1263
-0.0681,6899
-0.138,7966
0.0388,4257
-0.0279,5677
-0.18,10312
-0.116,9825
3.97,23
-0.468,10487
0.0897,3575
0.337,1701
0.0641,3150
0.179,2274
0.513,302
0.0661,4239
-0.174,8344
0.0979,3834
0.268,439
-0.24,8454
-0.213,8639
-0.1,7982
-0.502,10763
0.149,2200
-0.0605,8117
0.0414,3520
0.163,2354
-0.267,10120
0.103,2965
0.0903,2702
0.0997,2061
0.113,3400
-0.228,9404
-0.506,10929
0.0773,3988
0.047,4445
0.094,2900
0.194,984
0.0482,4273
0.0177,4676
-0.0587,7313
0.00439,5097
0.0599,3542
0.317,478
-0.207,10174
0.0369,4965
-0.0391,6267
-0.168,9496
-0.0259,6278
-0.187,7840
-0.167,10155
0.0217,4759
0.116,3443
0.232,772
-0.149,9618
-0.168,10233
-0.0911,7958
0.0398,4116
0.227,1036
-0.301,10839
0.00687,4932
-0.0286,6360
-0.2,10594
-0.14,6976
-0.41,9707
-0.111,8951
0.138,1720
0.051,3597
-0.046,6297
0.0126,4830
0.0532,4463
-0.0292,5910
0.0371,3443
0.077,2508
-0.266,8569
-0.217,9858
0.049,4364
0.417,406
-0.143,7430
0.0854,2405
-0.429,9575
-0.23,7701
-0.406,10011
-0.161,7404
-0.0806,8426
-0.0655,7746
0.138,1604
0.04,3753
0.436,744
0.0747,3489
0.147,1100
0.126,2602
-0.307,8051
-0.036,5724
0.41,987
-0.634,9916
0.137,1407
0.275,519
-0.215,9559
0.19,1780
0.0131,4837
-0.112,7186
-0.0779,7840
0.0217,4404
-0.573,9639
-0.102,5524
-0.327,7830
-0.19,6516
-0.00448,5503
-0.0903,6871
-0.0432,6650
0.246,1191
-0.00658,5313
-0.118,8269
0.0958,2527
-0.387,10868
-0.0988,8049
0.0706,3558
0.117,3862
0.476,1987
-0.00186,5284
-0.135,7999
0.4,258
0.161,1835
-0.211,9630
-0.0109,5374
0.19,1343
0.0552,4022
