coef,rank
-0.139,7320
0.192,1666
-0.0203,6201
-0.0662,6080
-0.188,5337
1,611
0.495,1325
0.109,2729
0.155,1011
-0.349,10766
-0.338,10681
-0.606,11024
0.224,788
0.055,3188
-0.0936,8222
-0.0523,6652
-0.0867,5961
0.313,2201
0.00857,5108
0.00242,5509
-0.102,8182
-0.0733,7650
0.319,1578
-0.128,7113
0.191,1285
0.516,96
-0.309,9813
0.372,451
-0.0181,6326
0.435,2089
0.19,1773
-0.119,8869
-0.0341,6088
0.339,1661
-0.156,8451
0.0412,4537
0.0683,3579
0.232,145
0.314,351
-0.0244,5391
0.0991,3303
-0.0759,6843
-0.00795,5593
0.0612,2279
0.191,1779
0.111,2433
-0.443,10922
0.0217,4538
-0.0147,6054
-0.0434,7770
0.0251,4795
-0.0682,7555
-0.256,9672
-0.512,11004
-0.428,10907
0.107,1592
-0.123,8561
0.0876,3662
-0.742,11002
-0.132,7483
0.0315,3876
-0.0546,7505
0.119,3196
-0.367,10710
-0.00253,5492
-0.035,6942
-0.142,8892
-0.105,9211
0.134,2092
0.0623,3257
0.139,2213
-0.182,6855
-0.0758,7549
-0.0843,7770
-0.0166,5896
0.138,2840
-0.324,9183
0.1,2445
-0.0693,7356
-0.0806,8051
0.102,2920
-0.289,10692
0.488,1082
-0.126,7040
-0.154,10280
-0.0541,7120
0.186,1522
-0.365,10393
-0.0252,5659
-0.0965,6649
-0.0529,7568
0.201,154
-0.0808,7044
-0.0112,5439
0.283,1519
-0.0455,5993
-0.19,8836
0.125,1678
-0.292,9281
-0.136,10189
-0.0566,6645
0.0598,4005
0.0188,4819
-0.134,9302
0.323,202
0.143,2540
-0.212,8181
-0.293,9871
0.104,3232
-0.259,10282
-0.172,8696
-0.143,8804
0.636,1103
0.0769,3931
-0.0437,7165
-0.0624,8248
-0.0121,5593
-0.146,9266
-0.0993,8982
0.0776,3757
-0.0152,5769
-0.0487,7317
0.115,1779
0.0247,4549
-0.197,8400
-0.335,8909
0.0823,2457
0.186,1787
0.181,2359
0.185,1512
-0.37,10764
-0.05,6302
-0.246,10846
0.0506,3980
0.0759,3912
-0.0684,7704
-0.472,7372
-0.507,10439
0.179,697
-0.0849,8005
0.145,3262
-0.102,9270
0.0405,4517
-0.0694,7123
0.0582,3843
0.0139,5201
0.485,314
-0.132,8370
-0.108,9085
-0.148,7768
0.0417,4037
-0.177,10454
-0.0164,4527
